Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;114;107;101;109;137;168;178;180;178;150;119;116;138
1387E;109;101;94;101;125;154;169;170;168;;111;108;
1428;108;99;92;100;125;155;165;153;153;139;109;101;125
8175;85;;67;86;102;103;117;134;124;125;88;89;
8178D;85;76;71;92;105;133;167;165;133;126;92;90;111
8025;101;92;93;124;138;181;205;226;197;187;119;120;149
8019;;82;85;;;174;;227;;187;118;119;
6325O;116;100;104;131;140;179;209;224;204;192;129;;
9091O;88;80;80;90;118;147;166;154;150;118;90;87;114
1212E;104;;;104;;166;;;;;108;;
1208H;102;97;99;108;138;170;189;191;188;146;111;111;138
1249I;96;89;90;100;128;160;179;183;173;140;105;102;129
2444;80;68;63;78;90;106;112;107;98;97;79;73;88
4452;117;105;102;126;147;185;214;177;134;134;111;105;138
B954;117;106;108;135;154;197;;237;214;203;137;132;
B893;116;109;112;135;;174;182;;199;185;142;;
B228;118;111;108;135;162;199;236;244;225;199;146;132;168
B278;110;104;101;128;150;170;193;203;195;183;131;121;149
0200E;92;87;91;113;;164;203;211;188;166;116;;
0076;95;91;;124;147;184;224;218;198;173;122;103;
1082;97;91;90;96;128;160;175;180;174;135;106;101;128
2331;81;72;69;83;100;120;136;125;114;97;79;76;96
3469A;109;91;86;105;120;120;124;119;111;124;103;97;109
5973;133;118;116;144;;192;220;;204;182;135;127;
5960;129;114;99;131;142;164;192;186;171;172;128;123;146
5910;129;115;107;140;146;168;197;192;184;175;131;126;151
6001;;;134;163;182;210;254;263;;211;;155;
1111;103;98;98;104;136;169;188;195;184;142;115;111;137
1109;;;;;;;;;;;;104;
8500A;;64;83;109;133;166;204;212;193;178;114;112;
5000C;135;126;109;;160;180;218;228;206;196;137;;
4121;98;86;74;97;107;109;129;127;109;121;97;93;104
5402;116;104;97;;126;122;;;127;;;105;
8096;83;71;63;82;92;103;117;116;107;107;82;73;91
1014;102;97;94;101;132;168;186;193;182;144;111;99;134
1024E;94;89;89;97;129;162;183;191;175;134;105;99;129
0367;92;;91;;142;167;180;179;172;150;;96;
5530E;94;86;73;101;107;106;133;141;112;126;;89;
5514;88;81;68;89;98;115;132;146;111;119;87;84;102
3013;76;65;62;79;92;111;123;112;104;98;76;69;89
4642E;130;114;103;132;143;160;183;184;163;158;122;119;143
9898;86;76;77;92;111;121;137;124;126;125;95;81;104
5270B;96;85;77;99;103;108;131;126;112;;95;93;
9170;90;81;83;94;118;133;155;141;141;122;92;88;112
C249I;175;157;145;155;;194;;232;221;209;183;154;
C649I;161;149;137;152;;191;;;;194;169;144;
C029O;151;;;143;151;177;196;206;;;164;145;
1549;93;82;78;89;109;136;144;137;134;122;93;81;108
9771C;87;83;84;102;122;140;159;163;161;144;102;83;119
1505;99;93;88;96;122;155;171;163;150;133;101;93;122
3191E;82;66;62;82;98;106;114;116;103;108;85;81;92
3129;89;75;67;91;105;103;113;108;102;113;90;83;95
3196;90;78;67;92;101;113;130;124;113;118;91;84;100
3200;90;75;65;87;98;104;125;134;113;120;94;;
3195;90;77;72;93;111;136;161;155;;124;;85;
3175;90;77;68;92;107;103;108;102;99;115;91;84;95
2462;62;50;50;62;74;93;100;95;84;80;62;55;72
6155A;112;103;89;125;141;166;213;229;190;187;125;127;151
6000A;125;118;105;132;155;190;234;251;238;211;149;140;171
7178I;96;86;83;111;126;156;182;200;177;176;111;116;135
7228;100;85;87;115;125;144;176;193;173;176;110;117;133
9263D;85;76;77;87;112;140;;;;;91;81;
1690A;112;100;94;105;129;160;170;159;151;144;112;99;128
1484C;118;107;102;111;138;168;182;171;164;153;118;109;137
1495;113;;97;;126;157;;;157;;111;103;
2867;;77;68;86;100;120;128;124;114;;85;77;
2870;90;77;72;;107;135;;;;112;87;80;
C929I;169;162;151;162;168;205;216;238;229;213;190;;
C430E;37;38;36;46;45;54;54;66;50;67;58;49;50
C139E;;148;140;152;157;;;;;199;;;
C449C;153;142;134;149;150;177;177;199;189;183;166;144;164
C447A;128;132;124;142;145;;;168;179;;152;;
C429I;146;138;;148;152;;;208;;191;;;
2465;81;71;66;80;94;109;113;105;97;94;78;72;88
5796;116;102;87;117;;;198;197;;158;116;108;
5783;125;106;94;122;126;133;156;156;148;159;;120;
2030;75;66;;;88;112;124;112;104;90;74;70;
0016A;89;82;89;120;137;;;;;178;112;97;
9981A;91;79;86;110;132;160;195;200;183;163;109;99;134
9381I;77;66;65;78;93;115;127;128;120;104;78;73;94
8368U;74;63;64;79;94;114;136;139;125;114;78;74;96
3260B;98;83;73;97;108;109;121;122;106;121;94;;
8414A;88;77;78;105;123;159;192;208;182;173;106;108;133
2422;89;77;71;87;101;116;119;117;110;104;85;78;96
2539;84;73;66;83;99;110;108;106;102;94;79;74;90
2614;94;81;75;91;108;123;127;126;115;111;90;81;102
9390;79;68;67;80;88;109;120;116;112;105;79;75;92
9434;88;78;79;92;116;136;155;146;146;132;97;90;113
