Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;12371;17157;36935;48194;;;80762;67738;46069;34753;19289;;
1387E;9799;15522;29581;43959;53480;59644;;63175;43141;31959;16195;15691;
1428;11659;18278;36036;;53885;67230;;71514;;;19092;18091;
8178D;24947;31704;52396;60436;73738;85965;84607;;60524;40349;26436;19844;
8019;26867;34041;52557;;76821;85820;;76170;59959;40708;27884;20626;
6325O;29957;36242;61299;66721;80773;83920;83548;;;45871;32705;27087;
B954;28009;;52225;59364;77048;83693;;74680;57770;;26214;19507;
B228;26516;31110;49817;60704;75783;83849;83947;74936;;37885;26475;22567;
B278;24481;29201;46107;56162;71248;77240;78834;68779;48607;33222;21775;18555;574211
0076;21272;31848;;56955;;78264;83416;71806;53178;27040;23844;20518;
1082;14116;20489;29366;43185;63323;59402;;61909;44079;32732;16495;17515;
3469A;19023;31672;52508;57806;69150;88570;88871;82094;63715;42989;26742;23852;646992
5973;28228;36204;63428;64286;77463;84820;83228;77781;63861;45602;30559;28303;683763
5960;27075;34170;57949;60620;74853;84360;;75878;59737;43564;29367;27964;
1111;16067;21903;34865;50887;66336;64377;63419;65530;46587;36222;19027;;
4121;19817;28122;50640;57018;69015;87413;84773;77279;58813;39642;24728;19077;616337
5402;22748;28672;52117;57978;67667;86519;82570;76414;59883;40042;26738;25466;626814
1024E;14558;20707;31684;45162;58177;60038;54255;;45044;31970;15892;16218;
0367;20069;29759;42546;52387;61451;68352;73197;68896;49156;29370;22587;20428;538198
5530E;25096;30216;53164;60210;71399;87280;84182;78392;61899;43469;25467;26748;647522
5514;27446;30188;56856;;73820;;84732;79186;62493;;28098;29232;
4642E;26694;33779;61010;61637;72939;85903;87689;80431;63977;43505;30239;25965;673768
9170;14898;26039;35935;52196;66610;75436;76329;;48593;35577;19785;;
C249I;44129;44813;62852;75047;80223;85219;;80043;71290;53140;42152;38052;
C649I;43530;43279;58336;67000;68332;87907;83128;;;51083;39985;36851;
C029O;39739;40998;60782;64575;75999;83828;73376;78350;66787;51212;41789;36935;714370
2661;14652;29506;46136;53417;67974;82822;89340;78513;54959;35463;21859;19008;593649
1549;13396;22953;43649;53570;59743;76910;88648;72723;51597;34694;18288;;
9771C;20814;32857;51075;62561;74302;82880;84604;74593;55718;33955;21364;10953;605676
3129;20063;31754;54706;58494;71248;87296;86515;80329;61211;38120;24172;22015;635923
2462;15031;23014;39161;43681;59650;78492;88124;;56526;37406;18371;23623;
7178I;27311;34866;54091;63125;77671;84575;82708;77693;61340;42252;29909;20661;656202
9263D;13065;22257;33669;49434;61546;68667;;71637;46988;33789;14989;13490;
1495;9322;16284;29541;40309;44805;62532;;;42230;;13191;13298;
2867;17912;28574;47040;57736;71439;87683;90864;81178;60002;40507;22105;19425;624465
C430E;50932;53700;78436;89317;97284;100165;99374;91090;82017;60138;45090;39405;886948
C449C;43465;43428;56724;68548;72098;86461;87656;;70803;52520;38837;35895;
C447A;41611;39801;53923;59266;66941;;;76580;69364;48749;33348;;
C429I;44411;49393;;69696;76122;;;80745;;52437;44297;37085;
5783;24667;;54751;56636;70052;;;76768;59862;40917;28017;25744;
2030;19669;30092;41551;;68641;78892;84421;78687;53395;39546;22218;20894;
0016A;22566;33477;49837;60062;71034;80751;;68511;;30642;26121;22657;
9981A;21263;33029;45968;59982;70152;80347;84927;73218;;33741;23579;22695;
8368U;22020;29386;44424;55596;68097;76654;78807;;52999;36046;22727;18550;
3260B;21666;30232;53389;58134;66766;87541;86865;79939;59827;39581;25541;20330;629811
8414A;23886;33777;50173;60899;73647;82204;80426;72417;56144;36890;24829;;
2422;15621;27645;46171;55304;70175;85854;90390;80490;57667;39971;20940;16877;607105
