Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;79;80;76;77;79;82;77;78;84;80;78;77;79
1387E;79;;74;73;74;76;71;72;81;;80;;
1428;90;;80;;76;74;64;60;;80;86;80;
8175;74;;58;58;54;35;33;41;48;66;73;87;
8178D;74;67;61;62;56;46;46;50;50;66;74;86;62
8025;64;55;56;61;58;56;55;64;62;;66;78;
8019;;50;51;;;;;;;;;74;
6325O;;61;60;65;59;60;;59;61;71;67;;
9091O;;81;78;74;71;71;69;63;71;76;83;92;
1212E;77;;;;;;;;;;81;;
1208H;70;72;74;73;76;79;78;76;81;78;76;76;76
1249I;76;79;79;75;76;79;80;78;82;83;84;83;80
2444;82;76;69;70;61;46;38;37;46;63;80;79;62
4452;84;77;72;71;69;56;51;44;44;61;76;84;66
B954;72;66;67;69;67;;;68;67;;75;83;
B893;77;76;77;75;;56;;;65;75;78;;
B228;72;69;67;70;70;65;66;;;;;;
B278;73;71;68;68;65;;;57;65;76;74;;
0200E;71;67;71;75;;63;65;69;70;86;79;;
0076;65;63;;71;69;64;;64;65;78;72;74;
1082;72;75;74;66;68;72;;69;74;75;;77;
2331;88;81;77;76;67;58;55;51;58;67;83;86;71
3469A;87;75;68;67;63;39;31;30;38;61;77;86;60
5973;78;72;72;;;68;66;;68;72;72;74;
5960;;74;66;68;60;50;;48;55;70;77;;
5910;80;72;68;73;64;57;56;54;61;73;75;80;68
6001;;;;;;79;81;83;;85;;;
1111;72;75;75;71;;81;79;79;80;77;80;76;
1109;;;;;;;;;;;;75;
8500A;;;53;57;58;53;56;61;63;74;67;76;
5000C;77;76;66;;;66;70;71;71;83;75;;
4121;82;74;60;61;;34;32;34;39;60;77;91;
5402;;74;;;55;33;;;39;;;;
8096;80;71;60;;;40;35;36;;62;74;72;
1014;76;75;73;65;67;74;72;71;75;77;82;77;74
1024E;73;77;77;70;76;82;82;79;80;78;82;76;78
0367;74;;71;;72;61;;55;;;;82;
5530E;77;73;60;58;51;31;32;38;40;;;;
5514;73;70;57;53;49;36;33;41;39;57;68;74;54
3013;81;75;69;68;60;50;43;42;54;66;78;82;64
4642E;81;73;67;70;64;52;50;50;54;67;72;78;65
9898;81;71;66;62;57;42;;38;;72;84;93;
5270B;76;68;;58;50;32;31;30;36;;68;72;
9170;83;74;70;66;61;52;;47;;71;77;88;
C249I;76;72;67;65;;66;;71;;72;73;65;
C649I;68;68;;65;;;;;;68;68;;
C029O;68;;;62;60;60;;61;;;67;64;
1549;88;78;68;66;;56;47;47;;71;81;88;
9771C;;71;65;61;;45;42;46;57;75;84;95;
1505;88;88;82;79;78;77;;;;;91;89;
3191E;84;67;60;69;63;41;33;36;43;64;78;78;60
3129;78;67;57;63;57;;;30;39;63;77;80;
3196;81;70;57;65;56;37;33;33;41;63;75;77;57
3200;80;65;54;60;53;34;32;35;40;62;75;;
3195;78;67;58;63;;;41;41;;65;;;
3175;82;72;60;65;59;35;28;29;39;64;78;81;58
2462;91;83;84;;75;57;42;41;54;68;88;76;
6155A;67;61;52;59;60;53;;63;61;75;69;79;
6000A;71;67;60;63;67;65;72;73;76;81;76;83;71
7178I;61;52;49;52;49;44;45;52;53;68;63;78;56
7228;65;53;53;56;49;42;46;52;54;70;66;81;57
9263D;83;76;74;66;64;61;;;;;80;88;
1690A;;80;71;70;70;62;54;53;61;75;87;89;
1484C;89;85;79;77;78;77;65;66;75;82;84;80;78
1495;89;;78;;75;72;;;71;;;81;
2867;;79;69;69;;48;42;44;54;;80;88;
2870;81;74;68;;63;54;;;;68;78;84;
C929I;70;73;;;;;;78;75;73;72;;
C430E;34;46;42;41;40;32;24;30;;56;64;61;
C139E;;68;67;66;66;;;;;70;;;
C449C;67;66;64;64;60;59;53;57;59;63;67;61;62
C447A;74;86;;87;84;;;64;;;85;;
C429I;;62;;;60;;;62;;65;;;
2465;81;78;71;68;;47;36;34;44;56;75;74;
5796;;;61;;;;;47;;;71;73;
5783;81;68;60;62;55;38;38;38;45;63;;;
2030;84;77;;;;52;46;;;64;78;78;
0016A;65;58;60;65;59;52;53;56;63;;72;78;
9981A;61;52;56;59;;48;49;53;59;69;67;79;
9381I;77;70;68;61;55;47;42;44;55;66;75;83;62
8368U;71;65;64;60;;44;43;48;57;68;72;81;
3260B;81;69;59;;55;34;29;32;37;61;73;;
8414A;60;52;52;56;55;53;54;61;61;74;67;80;60
2422;91;78;71;70;62;;40;41;;65;82;90;
2539;89;;71;72;65;50;40;40;50;64;80;88;
2614;90;78;69;70;63;48;41;42;50;66;80;93;66
9390;74;67;66;61;51;44;39;40;50;64;74;85;60
9434;75;64;62;55;53;45;43;42;50;69;76;93;61
