Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;2.2;2.6;5.3;;;8.0;10.8;10.1;7.1;6.8;4.3;5.2;
1387E;0.9;0.9;;;;;;;;;;;
1428;1.9;2.7;4.3;5.1;5.4;7.5;10.3;10.1;;5.5;4.3;5.2;
8175;5.5;6.1;8.2;;9.4;;11.8;11.5;10.4;7.1;5.8;4.4;
8025;6.2;6.9;8.3;9.4;;12.4;11.7;11.5;10.2;7.2;6.0;5.2;
8019;5.0;5.3;;;;;;;;;;;
6325O;5.8;5.8;8.8;8.7;10.2;11.7;11.6;11.3;9.8;7.6;6.3;5.9;8.6
9091O;2.5;3.7;3.5;5.3;6.7;6.1;6.8;9.0;6.3;5.6;2.9;2.8;5.1
1212E;2.7;2.4;4.1;4.6;4.8;;;;;5.5;3.6;5.5;
1208H;2.6;3.1;4.4;4.8;6.4;6.6;5.4;8.1;5.0;5.3;2.8;4.5;4.9
1249I;3.3;2.9;4.0;4.3;5.6;5.9;5.4;7.7;5.4;5.4;3.3;5.4;4.9
2444;3.3;4.8;6.4;7.1;8.4;12.0;12.3;12.3;9.8;6.7;4.0;;
4452;3.3;5.3;7.3;8.2;8.3;13.1;12.8;12.5;10.5;7.1;5.6;5.2;8.3
B954;3.3;;6.9;7.3;10.2;12.2;;11.2;10.0;;5.9;4.4;
B893;4.0;4.0;5.7;;9.0;10.7;;11.7;8.3;6.2;4.9;5.2;
B228;5.1;5.1;7.1;7.9;9.6;11.5;11.9;10.8;8.5;6.4;5.6;5.8;7.9
B278;5.0;4.7;6.6;7.8;9.3;11.0;11.6;10.7;8.1;6.0;4.8;4.6;7.5
0200E;5.0;7.1;6.6;7.6;9.3;11.2;11.7;10.5;8.3;3.8;6.0;6.4;7.8
0076;;6.1;6.5;6.7;;;;9.4;;3.2;4.4;4.2;
1082;1.9;2.7;2.0;3.5;5.7;5.6;4.5;7.0;5.8;4.9;3.2;3.9;4.2
2331;2.1;3.7;4.0;5.3;7.9;10.2;11.8;11.1;7.9;6.7;3.8;4.7;6.6
3469A;3.0;5.5;8.0;8.1;8.8;13.2;13.0;12.7;10.9;7.3;5.6;5.6;8.5
5960;;5.7;8.2;7.4;9.6;;11.7;11.8;10.3;8.0;6.0;6.7;
5910;4.7;5.8;9.5;8.2;10.2;12.6;12.1;11.6;10.1;7.4;5.7;6.1;8.7
1111;;3.6;;;7.8;7.4;6.7;8.4;6.4;5.5;3.7;4.8;
1109;;;;;;;;;;;;3.9;
8500A;5.6;7.2;7.7;8.9;9.5;11.9;11.6;10.7;9.4;6.1;5.6;5.5;8.3
5000C;4.8;5.4;9.0;8.4;8.3;10.9;10.6;9.7;8.8;5.2;5.2;;
4121;3.3;5.0;7.7;7.4;8.5;12.9;12.2;12.3;10.7;7.2;5.2;3.6;8.0
5402;4.0;4.8;8.4;8.2;8.7;12.9;12.4;12.6;9.4;7.2;5.9;6.1;8.4
8096;3.5;5.1;6.9;6.3;7.2;9.7;9.9;10.5;8.7;5.8;4.3;4.9;6.9
1014;2.3;3.5;3.7;5.0;6.3;6.4;5.9;8.6;6.6;5.3;3.1;4.0;5.1
1024E;2.6;3.6;3.5;5.2;6.6;6.8;5.2;8.6;6.5;5.4;3.5;4.6;5.2
0367;5.1;6.1;6.6;;;;;;;;;;
5530E;5.0;5.4;8.2;8.2;9.3;12.7;12.0;11.9;10.6;7.9;5.3;6.7;8.6
5514;4.8;4.4;7.9;8.3;9.2;12.1;11.2;11.3;9.8;6.9;5.1;6.5;8.1
3013;;4.7;5.9;6.5;7.9;10.8;11.6;11.0;8.2;5.9;4.1;4.2;
4642E;5.3;6.2;9.6;8.8;9.8;13.1;12.6;12.5;11.1;7.7;6.8;7.0;9.2
9898;3.8;5.9;6.9;7.6;9.4;11.4;12.3;11.8;9.1;;5.1;2.9;
5270B;4.3;5.4;7.7;7.6;;12.7;12.2;12.1;10.4;;5.2;5.6;
9170;3.1;5.2;4.6;6.5;8.0;9.8;9.6;11.0;8.0;6.4;;2.8;
C249I;6.6;5.4;6.4;8.4;7.8;9.8;;9.6;9.3;6.6;6.1;6.2;
C649I;7.6;5.5;5.8;8.3;;;;;;;;;
C029O;7.7;5.7;7.4;8.0;7.9;10.3;9.0;10.2;9.5;6.8;7.2;6.6;8.0
1549;2.1;4.0;6.3;7.0;6.8;10.3;13.0;11.3;9.2;6.7;3.5;3.6;7.0
9771C;3.9;6.9;8.5;9.2;10.1;11.9;12.8;11.8;9.8;5.9;4.0;1.0;8.0
1505;2.0;2.7;4.9;5.4;6.1;7.5;;9.4;;;2.9;3.2;
3191E;3.3;5.8;7.7;6.6;7.9;11.9;11.7;11.8;9.2;5.9;4.5;5.0;7.6
3129;3.5;5.4;7.9;6.6;7.6;;12.1;11.9;;6.3;4.7;4.9;
3196;3.9;5.9;7.7;7.3;8.3;12.3;12.0;11.9;9.2;6.3;5.0;5.4;7.9
3200;4.1;5.9;7.8;7.7;8.1;12.3;12.1;12.1;9.7;6.7;5.2;5.3;8.1
3175;3.8;5.7;7.7;7.6;8.3;12.3;12.4;12.1;9.1;6.3;4.8;4.3;7.9
2462;1.8;3.3;4.3;4.7;6.7;10.5;11.9;11.5;8.6;6.0;2.8;4.9;6.4
6155A;;;8.3;7.4;8.6;12.2;11.4;11.2;10.8;8.1;6.2;4.9;
6000A;5.7;6.7;8.7;8.3;8.4;10.0;8.5;9.0;7.8;6.3;6.1;4.9;7.5
7178I;6.2;6.7;8.7;9.0;10.4;12.3;11.8;11.5;10.2;7.1;6.2;4.5;8.7
7228;6.4;6.4;7.9;;10.2;11.9;11.2;11.1;8.9;6.4;6.2;4.7;
7031;5.7;5.7;7.9;8.2;10.1;11.9;11.4;11.4;8.7;6.9;;4.2;
9263D;1.8;3.3;;;;;;10.6;;6.5;3.0;3.4;
1690A;1.7;3.0;5.4;6.0;5.9;9.6;11.5;10.3;7.9;5.3;2.4;3.2;6.0
1484C;1.5;2.8;5.1;6.9;6.3;9.1;12.2;10.4;8.3;4.9;3.4;4.7;6.3
1495;1.3;;;;;;;;;;;;
2867;3.0;5.2;7.0;8.1;8.7;12.8;13.2;12.6;10.5;7.2;4.5;4.3;8.1
C929I;6.7;5.5;7.0;8.0;8.7;9.8;;8.5;8.6;7.7;6.0;5.7;
C430E;9.2;8.4;10.4;12.0;12.2;13.5;13.0;12.1;12.1;8.9;7.2;6.3;10.4
C139E;5.6;4.3;4.0;7.0;5.8;8.2;;8.6;7.4;5.8;4.9;4.9;
C449C;8.0;;7.0;9.0;8.7;11.7;11.7;11.5;10.4;8.0;6.1;;
C447A;8.1;4.3;4.6;4.8;4.4;;7.9;8.6;8.6;5.6;3.4;;
C429I;8.4;8.1;;8.4;8.5;10.5;;11.0;10.3;7.5;;6.4;
2465;2.7;4.1;5.6;6.8;8.3;11.0;12.4;12.1;9.7;6.8;4.2;5.3;7.4
5796;5.0;5.9;8.2;7.4;9.3;12.5;11.8;11.6;9.3;7.5;6.2;6.5;8.4
5783;;6.2;9.4;8.3;9.7;13.1;12.8;12.5;10.9;7.9;6.6;7.2;
2030;3.8;5.3;5.4;7.1;8.2;10.6;11.2;11.2;8.2;6.9;4.6;5.2;7.3
0016A;4.8;6.7;7.4;7.9;8.7;11.1;11.5;9.6;7.9;4.6;5.9;6.5;7.7
9981A;4.3;6.7;6.8;8.0;8.7;10.8;11.9;10.5;8.3;5.5;5.0;5.7;7.7
9381I;;5.8;5.9;6.9;7.7;9.7;11.1;10.4;8.2;6.5;4.8;4.4;
8368U;4.5;5.7;;7.5;8.6;10.3;11.0;;8.5;5.8;4.2;3.8;
3260B;4.2;5.6;8.6;8.0;8.4;13.0;12.7;12.4;10.6;7.0;5.7;;
