Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;1;0;5;3;5;3;1;2;20
1387E;;;;9;3;;4;10;15;;13;12;
1428;;9;7;7;12;14;8;10;23;8;13;12;
8175;5;4;0;1;0;0;0;0;1;8;1;14;34
8178D;5;1;0;0;0;0;0;0;1;1;1;7;16
8025;0;0;0;0;0;0;0;0;0;0;0;1;1
8019;1;0;1;1;1;0;0;0;0;0;0;0;4
6325O;0;2;0;0;0;0;1;0;0;0;0;0;3
9091O;7;3;1;3;2;2;2;3;4;5;6;19;57
1212E;2;1;4;1;4;4;6;8;8;4;2;0;44
1208H;0;0;0;0;0;2;1;2;2;3;1;1;12
1249I;8;6;5;7;6;9;9;11;6;10;7;5;89
2444;5;3;2;3;0;0;0;0;0;1;7;8;29
4452;4;3;2;0;0;0;0;0;0;1;6;13;29
B954;1;1;1;0;0;1;0;0;0;0;0;0;4
B893;1;2;3;1;1;1;0;0;0;0;2;0;11
B228;1;0;1;0;0;0;0;0;0;0;0;0;2
B278;4;3;3;1;0;0;0;1;1;1;2;4;20
0200E;1;2;1;3;5;0;0;0;1;6;3;4;26
0076;0;0;1;0;;1;0;0;0;0;0;0;
1082;1;1;1;0;0;1;1;1;2;4;2;3;17
2331;4;1;2;2;3;4;0;0;3;5;12;15;51
3469A;4;2;0;0;0;0;0;0;0;0;2;9;17
5973;;1;;0;;;1;;;0;0;;
5960;9;5;7;2;0;0;0;1;1;5;4;2;36
5910;4;1;4;1;1;0;0;0;1;2;1;1;16
1111;0;0;0;0;0;1;1;3;0;4;2;0;11
1109;;;;;;;;;;;;0;
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;0;;;0;;0;;;;;;0;
4121;9;4;1;0;0;0;0;0;0;3;1;15;33
5402;5;2;2;1;3;0;0;0;0;0;2;2;17
8096;3;1;3;1;0;2;0;0;0;4;1;7;22
1014;1;1;0;0;1;0;0;0;0;2;1;1;7
1024E;8;7;7;4;8;9;11;8;10;8;11;5;96
0367;6;0;3;;9;2;1;1;1;9;6;8;
5530E;4;0;0;1;2;0;0;0;0;0;3;6;16
5514;5;1;3;0;1;1;0;0;0;0;1;1;13
3013;;;;;;;;;;;;15;
4642E;3;0;2;2;0;2;;;2;3;2;;
9898;5;2;0;0;1;0;0;0;0;3;4;17;32
5270B;0;0;0;0;0;0;0;0;0;0;0;0;0
9170;7;3;2;1;1;0;0;0;1;1;3;13;32
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;1;1
C029O;0;1;0;0;0;0;0;0;0;0;1;0;2
2661;11;4;2;3;0;0;0;0;0;0;3;7;30
1549;6;1;1;1;2;0;0;0;0;8;10;15;44
9771C;1;1;1;0;2;0;0;0;0;3;8;22;38
1505;2;4;4;3;4;9;4;7;11;12;11;14;85
3191E;14;6;3;5;6;0;0;0;0;7;7;1;49
3129;3;1;0;1;0;0;0;0;0;;0;7;
3196;9;3;2;0;0;0;0;0;0;2;2;11;29
3200;6;1;0;1;0;0;0;0;0;2;1;10;21
3195;2;0;0;0;0;0;0;0;0;2;0;4;8
3175;2;0;0;0;0;0;0;0;0;0;1;4;7
2462;22;20;18;20;15;7;1;1;4;9;21;20;158
6155A;0;1;0;0;0;0;0;0;0;0;0;1;2
6000A;0;1;0;1;2;1;1;0;0;0;0;0;6
7178I;0;0;0;0;0;0;1;0;0;0;0;0;1
7228;0;0;0;0;0;0;0;0;0;1;0;0;1
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9262;5;0;0;0;0;0;0;0;0;0;2;16;23
9263D;5;1;1;1;1;0;1;0;0;4;4;19;37
1690A;2;1;0;0;0;0;0;0;0;4;9;20;36
1484C;4;5;1;0;0;1;1;6;1;4;1;1;25
1495;18;11;10;7;9;5;3;7;9;10;15;9;113
2867;9;3;5;0;0;0;1;0;0;4;9;19;50
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;4;8;11;12;7;2;0;0;0;14;18;16;92
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;4;10;12;8;11;13;9;7;3;8;7;6;98
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;3;2;1;0;0;0;0;0;0;1;5;5;17
5796;3;3;2;1;0;0;1;0;1;0;4;3;18
5783;6;2;5;0;0;0;0;1;0;2;2;1;19
2030;5;3;2;3;0;1;0;0;0;2;8;16;40
0016A;0;0;0;0;0;0;0;0;0;1;0;0;1
9981A;0;0;5;3;1;0;0;0;1;3;1;2;16
9381I;2;1;0;0;0;0;0;;0;3;1;;
8368U;4;1;0;0;0;0;0;0;3;8;0;13;29
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;1;0;0;0;0;0;0;0;0;2;0;1;4
2422;9;2;0;1;0;0;0;0;0;0;7;18;37
2539;9;5;0;1;0;1;0;0;0;0;8;13;37
2614;0;1;0;0;0;0;0;0;0;1;4;15;21
9390;3;0;0;1;0;0;0;0;0;6;0;14;24
9434;5;0;0;0;0;0;0;0;0;5;4;16;30
