Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;20;8;19;20;17;21;17;20;23;23;19;19;226
1428;10;9;14;16;14;18;19;17;19;19;14;;
8175;24;16;20;17;19;19;9;12;22;20;16;19;213
8019;23;20;21;17;20;20;7;13;22;18;16;17;214
6325O;26;23;19;22;19;16;7;8;12;17;20;17;206
9091O;15;10;13;17;19;12;14;19;16;15;16;12;178
1212E;19;13;16;14;16;17;8;18;16;23;17;;
1208H;17;15;;;15;15;12;14;19;22;16;;
1249I;15;10;12;12;16;11;8;13;15;17;16;19;164
4452;16;15;16;22;12;15;5;6;11;15;14;10;157
B954;26;20;24;20;22;15;10;15;23;21;22;19;237
B893;24;15;19;20;19;18;11;15;21;21;22;21;226
B228;;;;;;;;;;;21;18;
B278;26;21;27;22;23;18;9;14;26;21;22;20;249
0200E;23;17;21;21;22;21;18;16;20;15;17;17;228
0076;25;22;25;22;23;22;20;21;24;20;22;17;263
1082;9;10;10;14;18;17;10;20;20;18;12;17;175
2331;13;12;21;15;20;15;21;16;21;19;18;17;208
3469A;14;16;19;15;9;16;7;11;16;13;15;13;164
5960;22;16;20;18;15;10;9;6;10;20;13;17;176
5910;22;15;23;16;15;13;11;11;13;18;14;18;189
1111;16;15;16;17;25;17;11;20;20;20;14;19;210
1109;16;12;14;16;18;13;10;16;16;20;13;17;181
5402;15;14;18;12;14;;;;;;;;
8096;13;14;23;14;15;21;12;12;20;13;9;19;185
1014;14;13;13;18;15;15;12;20;19;18;16;15;188
1024E;15;8;8;19;18;15;12;17;18;15;14;16;175
0367;23;16;19;20;17;19;;13;20;16;17;17;
5530E;23;16;20;20;13;16;6;9;18;20;15;15;191
5514;20;11;20;18;14;12;6;9;15;20;11;10;166
9170;18;18;17;21;18;22;16;17;19;15;18;13;212
C249I;28;25;27;23;26;16;15;14;25;23;27;22;271
C649I;26;26;;25;28;21;19;13;22;29;26;;
C029O;23;22;23;24;25;14;15;9;21;26;27;20;249
9771C;20;14;22;17;19;18;15;16;17;21;10;7;196
3191E;12;12;22;11;12;18;13;13;19;15;10;16;173
3129;13;14;22;13;15;19;10;10;19;14;11;15;175
3196;15;15;22;17;16;21;12;13;22;17;15;19;204
3200;16;16;22;18;18;19;10;14;22;16;14;22;207
3195;15;10;23;16;17;17;9;11;19;17;12;14;180
3175;16;13;25;16;15;18;11;13;22;13;12;17;191
2462;6;10;10;13;13;21;15;18;18;15;10;14;163
6155A;25;21;21;21;16;9;8;15;11;21;13;17;198
6000A;27;20;20;22;18;18;18;21;11;19;23;22;239
7178I;;;;21;22;19;5;15;21;18;17;15;
7228;23;21;20;23;23;20;6;12;25;16;19;14;222
9263D;14;13;15;16;14;16;15;18;19;14;13;14;181
1484C;8;8;15;16;16;17;11;9;18;21;15;13;167
1495;4;9;11;12;14;15;12;13;15;15;20;18;158
2867;8;13;22;18;14;16;9;14;16;17;15;13;175
C929I;25;24;24;30;23;23;28;23;25;27;24;21;297
C139E;24;26;22;24;29;28;19;19;26;29;28;23;297
C447A;24;16;15;21;22;19;14;19;26;21;23;;
C429I;19;24;19;24;25;13;7;10;13;20;22;26;222
5796;23;16;19;13;16;7;7;8;14;20;16;16;175
5783;19;16;16;13;13;14;6;3;12;16;12;15;155
0016A;25;24;24;20;21;20;18;21;23;20;18;22;256
9981A;22;19;21;15;20;22;16;14;22;23;15;16;225
8414A;27;19;17;18;18;21;14;16;21;18;14;17;220
2422;13;14;23;21;18;19;11;12;18;15;14;13;191
2539;10;11;26;19;15;18;11;11;17;17;16;15;186
9390;19;17;22;19;20;22;16;15;25;14;13;18;220
9434;20;17;25;22;23;23;17;17;25;22;17;8;236
