Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;95.0(07);30.0(10);62.0(29);25.6(15);16.2(21);25.4(15);0.4(21);7.2(18);38.0(12);18.6(22);22.6(19);12.0(13);95.0(07/ene)
1387E;;;;28.5(15);14.3(21);;0.3(01);8.4(18);38.0(13);;24.6(19);10.9(13);
1428;77.6(07);27.0(09);33.9(27);26.6(10);23.1(27);17.3(15);0.6(18);7.7(24);26.3(12);29.7(22);23.7(20);12.8(13);77.6(07/ene)
8175;6.6(11);3.6(06);11.2(21);14.9(04);10.3(10);0.0(--);0.6(20);3.2(09);15.8(13);18.1(20);16.3(05);19.8(04);19.8(04/dic)
8178D;4.5(05);4.3(06);9.9(21);19.9(04);12.8(09);0.0(--);0.6(20);6.2(10);2.5(13);17.1(12);14.6(22);18.5(04);19.9(04/abr)
8025;7.2(15);0.8(28);7.8(21);12.0(04);8.6(10);0.0(--);4.4(13);0.8(16);2.2(28);21.2(20);9.2(22);32.2(18);32.2(18/dic)
8019;4.8(15);1.5(28);11.0(21);8.8(04);4.8(11);0.1(04);0.2(31);0.6(16);1.0(27);10.0(20);14.1(27);44.0(18);44.0(18/dic)
6325O;1.3(15);3.1(26);2.7(07);7.4(04);5.1(08);0.0(--);0.1(01);0.2(15);0.3(19);16.1(12);27.2(22);70.6(17);70.6(17/dic)
9091O;24.2(03);72.2(27);31.2(09);11.3(07);8.6(08);17.0(17);3.1(06);4.0(15);18.0(15);6.5(17);33.4(23);6.9(20);72.2(27/feb)
1212E;43.3(07);31.3(26);34.5(20);27.2(16);15.2(21);23.3(16);15.4(30);7.2(24);81.6(15);32.3(13);31.7(04);11.8(16);81.6(15/sep)
1208H;33.5(07);27.8(14);31.7(20);26.3(20);9.6(21);14.1(17);5.8(22);5.1(04);38.6(15);12.5(13);30.1(06);11.1(16);38.6(15/sep)
1249I;19.0(28);46.8(14);45.1(30);23.9(20);23.5(25);16.4(16);6.3(31);14.8(14);53.8(15);14.4(13);28.7(06);12.1(16);53.8(15/sep)
2444;14.6(04);7.0(06);16.8(21);35.0(27);18.8(08);11.8(03);14.6(05);0.2(25);9.6(13);18.8(13);25.6(05);8.7(14);35.0(27/abr)
4452;16.1(10);13.2(26);10.3(21);16.4(19);22.0(07);0.0(--);12.3(05);0.0(--);6.1(13);13.6(11);21.0(25);13.4(15);22.0(07/may)
B954;0.7(03);4.1(14);5.7(08);12.1(04);3.6(10);1.0(28);0.0(--);9.1(10);29.8(23);62.2(09);41.8(28);75.9(18);75.9(18/dic)
B893;3.1(04);13.4(14);16.9(10);14.1(01);5.6(07);2.5(18);0.0(--);0.2(16);15.7(30);5.8(06);19.0(27);36.1(19);36.1(19/dic)
B228;3.4(15);27.2(14);16.4(09);31.1(01);14.6(06);7.4(29);0.0(--);0.4(28);42.7(24);23.9(06);15.5(13);72.4(18);72.4(18/dic)
B278;2.6(15);19.5(14);9.2(09);14.2(01);18.1(06);3.0(28);0.0(--);1.0(28);23.6(30);46.1(19);16.0(23);103.4(18);103.4(18/dic)
0200E;0.7(04);15.0(26);19.2(19);19.2(04);8.6(10);16.3(18);12.1(22);11.9(29);66.0(23);31.7(12);21.9(23);12.6(16);66.0(23/sep)
0076;1.2(04);15.1(26);16.2(16);10.0(04);;24.7(18);7.7(22);0.4(29);17.6(13);47.7(12);40.4(27);13.9(19);
1082;18.2(15);79.8(27);42.0(05);16.5(07);8.2(07);20.9(18);35.3(22);2.6(28);28.0(15);9.3(13);53.2(23);18.6(20);79.8(27/feb)
2331;20.4(04);14.2(13);23.3(19);30.3(19);11.9(06);6.5(17);35.4(06);1.1(08);12.3(13);15.3(13);26.6(05);2.0(04);35.4(06/jul)
3469A;21.4(10);15.6(26);13.6(18);25.0(19);14.8(09);3.4(15);9.4(05);0.2(25);14.4(13);25.8(12);31.4(20);12.0(15);31.4(20/nov)
5973;12.5(04);13.3(10);3.9(18);10.8(19);27.6(10);0.0(--);1.0(19);2.0(25);4.0(13);35.2(23);50.8(25);62.2(04);62.2(04/dic)
5960;6.5(04);9.3(10);17.7(20);13.7(04);32.0(08);0.0(--);0.2(07);0.2(25);2.8(13);43.2(22);39.6(25);19.4(04);43.2(22/oct)
5910;11.6(04);13.2(10);5.2(20);17.2(19);55.8(07);0.0(--);0.7(19);0.3(25);3.5(13);121.0(22);40.5(25);50.5(04);121.0(22/oct)
6001;;;;21.3(04);;0.3(27);1.1(07);0.1(15);3.6(13);24.0(12);57.2(25);42.3(04);
1111;13.4(28);31.5(12);31.0(04);9.6(19);11.2(09);20.4(17);6.9(30);5.0(17);40.3(15);9.6(13);85.6(05);8.2(21);85.6(05/nov)
1109;;;;;;;;;;;;17.7(20);
8500A;0.0(--);3.8(26);25.8(14);7.2(05);9.4(08);0.4(04);0.2(20);3.8(01);26.6(23);4.6(21);78.0(27);41.6(16);78.0(27/nov)
5000C;18.0(20);25.8(26);9.4(07);35.2(04);14.2(08);1.2(27);0.0(--);2.0(26);2.2(13);40.2(12);58.4(21);62.6(17);62.6(17/dic)
4121;5.4(08);6.8(26);7.0(07);41.2(04);8.8(10);1.0(28);1.2(07);0.0(--);7.6(13);24.4(23);25.4(20);8.2(03);41.2(04/abr)
5402;11.2(08);12.9(26);20.1(20);36.9(04);30.8(08);0.0(--);0.0(--);0.0(--);3.0(13);34.4(23);31.1(25);17.0(14);36.9(04/abr)
8096;9.4(04);16.2(13);15.0(19);28.8(04);19.0(10);8.0(03);11.8(08);2.4(09);8.2(01);14.6(13);21.0(20);3.2(03);28.8(04/abr)
1014;31.6(05);54.3(09);39.0(04);15.5(07);21.3(28);18.4(17);5.0(11);11.6(19);32.2(14);21.1(14);65.7(06);3.9(19);65.7(06/nov)
1024E;19.0(14);67.0(12);34.1(05);15.3(16);24.3(21);26.6(17);21.4(11);22.6(28);24.7(17);71.1(13);51.6(23);7.7(19);71.1(13/oct)
0367;6.8(05);9.3(26);9.7(16);;18.8(22);17.3(18);2.7(22);20.0(09);11.1(17);62.0(12);19.1(21);6.9(16);
5530E;7.9(04);7.0(26);7.1(07);21.5(04);13.3(12);0.0(--);0.0(--);0.0(--);0.0(--);15.8(12);50.4(21);11.4(14);50.4(21/nov)
5514;6.6(04);10.3(10);8.8(07);25.5(04);15.4(12);0.7(30);0.8(06);0.7(15);1.8(13);27.4(12);32.7(21);15.5(14);32.7(21/nov)
3013;40.8(04);16.0(12);5.2(19);13.8(04);5.4(29);22.0(29);4.2(06);;6.2(14);13.4(12);21.4(05);2.6(16);
4642E;14.2(08);9.0(26);11.8(19);26.0(19);31.0(07);0.0(--);0.6(07);2.2(15);7.9(13);22.4(22);36.6(20);52.0(03);52.0(03/dic)
9898;13.2(03);34.4(26);37.3(14);47.7(04);13.5(09);6.3(04);7.6(07);2.2(16);11.5(13);18.6(13);49.4(23);2.4(16);49.4(23/nov)
5270B;19.0(04);28.6(26);10.6(07);47.0(04);20.2(12);0.0(--);1.0(07);2.8(10);6.4(13);14.4(23);34.6(21);12.0(14);47.0(04/abr)
9170;22.9(03);26.1(10);11.0(10);6.1(04);4.5(29);4.0(17);14.5(06);8.1(15);4.9(15);4.2(13);27.7(23);3.9(16);27.7(23/nov)
C249I;2.0(05);11.8(18);1.1(31);0.0(--);0.1(08);0.0(--);0.0(--);0.0(--);0.0(--);24.1(25);14.8(06);1.2(01);24.1(25/oct)
C649I;5.3(05);18.3(18);3.0(30);0.2(06);1.8(08);0.4(15);0.0(--);0.3(21);2.8(03);17.2(25);8.0(06);6.1(24);18.3(18/feb)
C029O;0.0(--);25.9(18);1.4(23);0.4(19);1.0(09);0.0(--);0.0(--);0.0(--);0.0(--);29.3(25);10.4(05);2.5(03);29.3(25/oct)
