Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;20.5(24);16.9(05);17.1(15);20.0(19);25.2(04);23.2(20);30.6(16);30.1(12);28.0(06);24.5(28);23.1(02);21.2(06);30.6(16/jul)
1387E;22.1(24);17.3(05);18.5(13);23.0(19);26.0(04);24.3(07);32.3(16);32.6(22);27.7(06);;24.0(02);20.8(05);
1428;20.3(24);;19.6(13);22.1(25);30.2(04);28.9(07);37.6(18);36.6(07);39.0(06);26.7(28);22.4(01);19.6(05);
8175;18.6(24);18.0(02);26.2(30);23.4(26);29.4(27);37.2(24);37.6(11);37.3(28);39.0(06);29.4(04);24.0(02);15.2(29);39.0(06/sep)
8178D;19.9(24);19.0(02);26.9(30);24.0(26);29.5(27);37.2(24);38.3(11);38.3(28);39.8(06);30.8(04);25.2(02);16.7(10);39.8(06/sep)
8025;23.4(09);25.9(13);27.5(25);26.5(16);30.6(28);35.2(13);38.8(31);35.1(17);37.2(05);30.1(11);29.2(03);20.4(02);38.8(31/jul)
8019;23.6(31);25.3(11);27.2(25);;;37.5(13);;35.8(17);;30.9(02);28.4(03);21.0(07);
6325O;;21.3(23);21.7(03);25.3(18);29.9(21);35.2(28);38.2(28);36.0(02);36.1(06);31.6(03);25.2(05);20.9(10);
9091O;16.5(23);17.0(13);20.8(30);20.5(15);27.7(21);34.0(22);38.0(19);36.8(23);36.6(07);27.2(04);22.0(03);15.9(05);38.0(19/jul)
1212E;23.0(24);;25.4(26);18.9(12);;24.1(12);;;;;19.7(03);;
1208H;21.7(24);21.7(08);23.4(26);18.0(14);23.3(08);23.8(14);26.5(19);29.0(15);25.5(10);23.5(23);18.2(11);21.6(05);29.0(15/ago)
1249I;23.4(24);19.9(08);23.4(26);21.2(19);24.9(20);27.6(08);37.0(18);33.5(22);31.0(06);23.2(31);20.5(02);19.2(05);37.0(18/jul)
2444;16.2(23);15.1(01);17.7(26);18.7(26);24.2(20);31.4(28);34.0(28);33.3(03);36.0(06);25.6(04);20.3(02);16.8(26);36.0(06/sep)
4452;22.6(24);20.3(22);21.4(24);26.1(18);31.8(20);39.0(28);41.7(03);41.7(07);43.7(06);33.6(05);24.6(01);19.6(06);43.7(06/sep)
B954;20.8(04);22.0(11);23.6(27);24.1(17);26.6(30);;35.0(31);31.9(20);38.4(05);;24.2(04);19.3(10);
