Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;3.7(16);3.9(19);4.1(01);5.0(01);7.4(01);11.7(02);14.4(13);14.7(21);12.5(21);11.1(03);5.9(22);4.3(31);3.7(16/ene)
1387E;-0.1(16);-0.6(16);0.4(01);1.3(01);2.7(01);7.0(01);10.0(14);10.8(21);8.5(18);;0.7(25);-1.7(19);
1428;-0.3(16);;0.5(01);-0.9(01);3.3(01);8.4(11);9.6(13);10.9(11);7.8(09);4.8(02);0.5(22);-2.3(19);
8175;-4.6(17);-5.0(17);-2.2(12);0.3(02);1.5(02);8.7(01);14.7(17);13.6(13);8.4(16);3.5(30);-1.8(16);-3.2(30);-5.0(17/feb)
8178D;-3.0(17);-2.9(17);-1.1(12);1.6(01);2.9(02);10.6(01);14.9(17);14.5(13);9.8(19);4.5(31);0.1(16);-3.4(30);-3.4(30/dic)
8025;1.0(17);3.1(17);4.4(11);7.0(02);8.4(02);14.8(01);17.4(17);18.3(13);15.0(15);11.2(30);5.6(25);5.5(27);1.0(17/ene)
8019;-0.4(17);2.9(17);4.1(13);;;14.2(01);;19.6(13);;12.6(30);5.9(25);6.1(26);
6325O;;5.8(16);6.6(09);9.4(02);10.6(03);14.7(17);21.7(17);21.4(24);17.3(15);14.6(30);8.5(25);8.0(26);
9091O;-3.2(13);-5.4(17);-2.5(15);-2.6(02);-1.4(02);4.0(01);5.5(15);7.0(12);6.0(19);-0.6(21);-1.4(25);-3.2(30);-5.4(17/feb)
1212E;3.7(16);;1.8(13);4.0(01);;10.1(01);;;;;3.3(25);;
1208H;5.6(16);2.9(17);5.1(01);6.2(01);7.2(01);12.2(01);14.4(03);16.3(10);13.3(14);10.4(21);5.8(24);3.0(31);2.9(17/feb)
1249I;1.8(16);0.2(17);1.0(01);3.0(01);3.3(01);9.2(01);9.9(14);10.5(11);10.9(14);7.5(10);2.3(25);-0.2(31);-0.2(31/dic)
2444;-4.6(17);-6.6(17);-4.2(12);-1.5(01);-0.3(01);5.8(01);9.1(14);9.4(11);6.3(18);3.3(31);-1.3(15);-4.1(31);-6.6(17/feb)
4452;0.7(17);-0.1(17);0.2(12);3.7(02);8.0(02);11.9(17);15.4(02);15.2(21);11.0(23);8.3(15);2.6(16);-1.0(20);-1.0(20/dic)
