Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;12.1;11.0;11.1;12.1;15.2;17.6;19.8;20.1;18.7;16.7;13.0;13.1;15.0
1387E;11.2;10.3;10.2;11.7;14.3;16.9;19.8;19.7;17.8;;11.1;11.1;
1428;9.2;;9.1;10.6;14.3;17.5;20.8;21.3;18.1;15.3;10.3;10.1;
8175;8.3;8.1;8.8;12.6;15.9;22.7;26.4;25.1;21.8;17.2;9.5;7.0;15.3
8178D;8.9;8.6;9.6;13.2;16.4;23.2;26.9;26.0;22.8;17.8;10.4;7.6;16.0
8025;13.8;14.5;14.6;17.1;19.2;23.6;26.3;25.9;24.6;21.1;15.8;13.4;19.2
8019;13.4;14.2;14.4;;;23.9;;26.4;;21.9;16.7;14.2;
6325O;;14.1;14.2;16.9;19.4;23.1;27.9;27.7;25.7;22.4;16.6;14.7;
9091O;7.2;6.3;6.9;9.1;13.7;17.1;19.6;20.3;18.4;12.9;7.7;5.8;12.1
1212E;11.9;;10.1;11.5;;17.4;;;;;11.3;;
1208H;12.6;11.4;11.2;12.5;15.7;18.4;20.3;20.9;19.8;16.3;12.3;12.5;15.3
1249I;10.4;8.8;8.9;11.1;14.6;17.2;19.0;19.9;18.4;15.0;10.1;9.9;13.6
2444;6.1;4.8;5.2;8.1;12.1;18.7;22.6;22.5;18.3;13.8;6.6;6.0;12.1
4452;11.4;11.3;11.8;15.1;18.1;24.4;28.7;28.3;24.6;19.6;12.5;10.1;18.0
B954;13.7;13.4;13.1;16.2;18.1;;25.4;25.2;24.0;;15.7;13.7;
B893;12.5;12.0;11.8;15.1;;22.5;;24.8;23.7;20.5;15.7;;
B228;14.3;13.7;13.8;16.6;18.9;23.6;26.4;25.9;;21.6;17.1;14.8;
B278;11.8;11.6;11.7;15.1;17.6;22.5;25.7;24.8;23.2;19.9;15.2;12.3;17.6
0200E;10.8;11.3;11.1;13.6;16.4;21.6;24.9;24.5;22.4;17.1;12.7;11.5;16.5
0076;12.2;11.9;12.2;14.8;17.5;22.1;25.2;25.4;23.4;18.9;14.3;11.6;17.5
1082;11.3;9.8;10.0;12.3;16.2;18.4;20.5;21.7;20.6;15.9;11.6;11.0;14.9
2331;5.3;4.5;5.0;7.4;11.8;16.9;20.5;20.2;17.6;12.9;6.0;5.2;11.1
3469A;9.7;9.3;10.0;13.1;16.2;23.2;28.2;28.0;23.7;18.5;11.3;9.0;16.7
5973;14.8;14.1;14.1;16.8;19.5;23.1;25.9;;24.4;21.5;16.2;15.1;
5960;12.9;12.2;12.3;16.2;19.4;23.7;27.6;27.7;24.5;20.8;14.2;12.5;18.7
5910;13.7;13.3;12.9;16.3;19.3;23.1;26.5;26.9;24.0;20.5;14.8;13.4;18.7
6001;;;;;;21.7;24.9;25.1;23.4;20.8;;16.4;
1111;12.1;10.8;10.9;12.3;14.9;17.3;19.6;20.5;19.4;16.1;12.3;12.7;14.9
1109;;;;;;;;;;;;11.6;
8500A;12.9;13.5;13.6;16.5;18.8;23.4;26.1;26.0;24.2;20.4;14.7;12.7;18.6
5000C;15.6;14.3;14.7;17.3;18.9;22.5;25.0;25.8;23.9;20.5;16.2;;
4121;8.8;8.6;10.2;13.4;16.9;24.1;28.6;27.5;23.2;17.8;10.1;6.9;16.3
5402;11.7;11.5;12.2;16.3;19.3;25.7;;;26.0;20.9;;11.4;
8096;7.1;6.7;7.8;10.6;14.6;21.3;25.7;25.0;20.5;16.0;8.6;7.3;14.3
1014;11.5;10.1;10.9;13.6;16.7;18.9;21.4;22.0;20.7;16.0;11.4;10.5;15.3
1024E;10.8;9.0;9.1;11.8;14.9;17.2;19.2;20.6;19.1;15.1;10.8;11.0;14.1
0367;9.6;;10.4;;15.8;21.0;;24.5;22.1;16.9;;9.0;
5530E;9.9;9.3;9.9;14.3;17.8;24.3;28.5;27.2;23.4;18.6;10.7;9.5;17.0
5514;9.5;8.7;9.4;13.6;16.9;23.7;27.8;26.3;23.0;18.5;10.9;9.1;16.5
3013;5.3;4.4;5.1;8.4;12.2;17.7;21.9;21.4;17.2;13.0;6.1;4.4;11.4
