Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;11.0;10.8;12.1;13.5;16.9;20.2;23.3;23.8;22.0;18.0;13.6;11.6;16.4
9091O;7.6;7.9;8.9;11.9;;19.4;24.1;26.2;;;9.7;7.6;
2444;;;5.7;;14.7;;;;21.6;14.9;;;
4452;11.1;11.0;12.7;16.6;20.5;;;31.3;27.9;21.2;13.2;10.0;
0200E;8.9;8.5;9.4;13.9;18.3;24.8;28.0;27.0;;;;;
2331;4.8;4.9;5.5;9.5;16.1;24.1;28.4;28.2;22.6;15.1;7.2;5.0;14.3
3469A;10.6;10.3;12.3;15.7;19.8;28.2;33.0;33.6;28.5;21.0;12.9;9.7;19.6
8096;7.9;7.7;;13.8;18.9;27.2;;;25.0;;10.0;7.3;
1024E;9.1;8.4;9.2;12.5;17.0;20.2;;22.8;;;9.9;9.1;
1484C;10.6;10.1;10.5;12.6;15.7;18.7;21.4;21.6;19.6;16.7;12.7;10.3;15.0
2867;8.2;8.1;9.7;14.1;19.4;27.3;32.1;31.9;;18.4;10.7;7.7;
2422;5.9;6.5;8.5;12.6;18.8;27.1;31.9;31.9;25.8;;8.7;5.3;
2539;5.7;6.0;6.7;10.6;15.4;23.3;29.6;28.8;22.7;15.3;;4.7;
9434;8.7;;12.2;18.6;24.5;;;;;;;;
