Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17;18;16;14;12;12;14;11;10;9;11;9;13
1387E;16;14;15;13;12;12;12;10;9;;9;7;
1428;15;13;14;12;;12;11;10;9;6;8;5;
8175;;23;;;;;;;;;;;
8178D;7;10;7;6;6;5;6;;4;2;4;;
8025;8;10;9;9;;9;9;9;8;6;7;;
8019;13;18;14;;;14;;14;;10;13;11;
6325O;15;21;17;19;18;15;19;20;16;15;15;13;17
9091O;15;13;14;13;13;12;14;12;10;7;8;7;12
1212E;14;;;10;;10;;;8;;11;;
2444;10;14;13;13;12;12;10;;10;9;10;7;
4452;11;15;12;12;13;14;11;11;9;8;7;8;11
B954;16;19;14;17;16;14;13;13;12;;15;13;
B893;16;17;17;19;;15;19;19;13;13;16;;
B228;6;7;7;8;8;8;8;7;7;6;7;6;7
B278;13;14;13;15;16;16;16;15;11;11;12;;
0200E;15;15;14;15;14;13;13;13;13;11;16;17;14
0076;15;16;17;18;17;17;17;16;16;14;16;17;16
1082;;14;12;12;14;11;10;;9;7;8;7;
2331;19;19;16;;14;;;17;12;10;;10;
3469A;11;14;11;11;12;10;10;9;9;8;9;7;10
5973;13;;12;15;18;17;19;;;15;13;16;
5960;10;15;11;14;15;13;11;13;10;9;8;8;11
5910;12;18;14;16;18;18;17;19;14;13;12;12;15
6001;;;17;;22;24;;;24;;;;
1111;18;20;19;;15;14;12;12;14;;16;11;
8500A;8;10;9;9;9;8;8;8;9;7;8;8;8
5000C;10;14;10;;11;11;11;13;10;9;10;;
4121;8;10;8;8;9;9;9;9;8;6;6;6;8
5402;8;11;8;;9;;;;;;;6;
8096;6;7;7;8;8;9;7;7;6;5;5;4;7
1014;12;13;12;12;11;9;8;8;9;7;10;6;10
1024E;;;19;;17;;;10;14;12;16;14;
0367;7;;8;;11;11;13;12;10;5;;6;
5530E;6;9;10;11;11;12;11;10;8;6;7;5;9
3013;9;10;8;10;9;8;6;6;5;4;6;4;7
4642E;11;13;13;14;14;13;13;13;12;11;9;8;12
9898;13;17;18;15;17;14;14;11;10;8;8;5;13
5270B;9;14;9;10;;11;10;10;;;8;6;
9170;7;;12;10;13;10;;;8;6;9;8;
C249I;17;25;23;21;23;25;;24;24;16;19;20;
C649I;19;31;27;27;;39;;;;18;18;15;
C029O;16;;22;21;24;28;32;29;25;;16;18;
1549;;;7;7;7;8;8;7;5;4;5;3;
9771C;9;10;13;11;12;11;9;8;8;6;8;5;9
1505;11;9;9;9;7;7;;7;;;5;4;
3129;14;17;15;14;12;12;11;9;10;7;9;7;11
3196;;15;12;11;11;12;10;9;8;6;7;5;
3200;12;18;15;13;;13;12;11;9;7;8;6;
3195;6;9;8;8;7;8;7;6;5;3;4;3;6
2462;18;18;15;17;15;12;11;11;12;12;15;13;14
6155A;;14;17;14;14;15;13;13;13;11;13;11;
6000A;;;16;;;13;;;;;;;
7178I;8;11;10;10;12;12;12;12;9;7;8;6;10
7228;;;;;;;;;;;;6;
9263D;9;13;14;18;16;15;;;;;9;5;
1690A;5;6;5;6;5;5;5;4;4;3;3;4;5
1484C;7;7;7;7;5;6;8;7;5;4;5;4;6
1495;13;;14;;12;12;12;;9;7;10;7;
2867;;19;15;16;14;13;9;8;7;;10;5;
2870;9;10;8;;8;7;6;6;5;4;5;3;
C929I;18;29;26;23;;24;29;25;24;18;21;;
C430E;18;29;28;26;25;25;22;25;20;26;25;31;25
C139E;;24;19;19;20;;;;20;15;;18;
C449C;9;12;11;12;12;10;10;10;11;10;;;
C447A;12;23;19;23;25;;;22;22;;13;;
C429I;21;25;24;18;21;;;25;;16;;;
2465;13;15;11;12;12;12;10;10;10;8;10;7;11
5796;8;11;8;9;11;9;7;8;7;6;8;6;8
5783;10;15;11;12;13;13;12;13;10;9;9;11;12
2030;11;14;11;;11;10;10;10;9;6;9;5;
0016A;11;15;15;13;13;12;12;12;11;8;11;8;12
9981A;9;12;12;11;12;12;12;11;10;8;9;11;11
9381I;8;11;9;11;9;9;9;9;8;6;6;5;8
8368U;7;;9;10;9;8;7;6;5;5;6;4;
3260B;11;16;13;12;12;14;12;13;10;8;9;;
8414A;16;20;15;15;14;14;14;13;13;9;11;8;14
2422;8;11;8;8;8;8;7;7;;5;6;4;
2539;16;21;17;16;13;15;14;14;10;;13;8;
2614;7;9;8;7;7;8;8;9;5;4;6;5;7
9390;8;8;7;7;7;8;8;7;6;3;4;3;6
9434;13;21;21;19;20;18;19;18;14;10;12;9;16
