Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;;;23/80(27);19/74(10);;27/67(14);;21/55(18);30/58(13);;23/74(19);19/59(10);
1428;;;21/74(26);;19/50(09);23/52(14);;;;20/59(23);25/68(20);20/55(13);
8175;26/82(04);29/102(14);30/72(31);;29/87(28);;26/59(30);30/46(20);24/50(14);26/45(06);26/58(05);08/59(17);
8178D;;;29/54(09);99/54(12);;27/49(14);31/51(30);;16/46(13);29/37(06);29/49(08);;
8025;23/64(06);31/67(14);33/53(10);09/54(19);;16/44(16);06/51(03);06/51(05);01/48(28);;30/50(09);;
8019;;;30/65(02);;;07/54(18);;08/63(05);;;30/59(08);99/74(17);
6325O;;32/104(14);32/78(09);;99/100(28);;;07/71(05);;;99/74(07);;
9091O;23/98(10);22/84(09);;22/74(12);;;31/48(13);;22/65(13);;23/67(21);13/99(17);
1212E;26/87(07);;;;;;;;;;;;
2444;24/67(04);26/80(10);31/61(09);99/66(19);18/71(07);30/58(15);18/49(20);;17/48(13);18/59(23);14/58(30);12/51(03);
4452;22/73(04);27/86(26);27/88(31);26/57(04);26/56(28);27/60(15);32/50(05);26/52(04);29/54(15);26/58(14);17/49(25);08/50(17);27/88(31/mar)
B954;28/82(11);24/82(09);29/68(27);;30/85(28);;;07/58(05);99/52(23);;;06/78(18);
B893;34/82(15);;35/84(10);02/78(06);;34/58(20);;;35/71(06);01/63(27);02/78(15);;
B228;;27/69(09);33/51(02);;21/39(12);02/49(16);08/39(09);;27/40(24);22/41(13);18/53(23);;
B278;25/74(07);;32/76(03);;;;;06/67(05);;;;07/54(19);
0200E;27/71(11);25/66(09);34/66(01);07/59(20);27/58(28);34/56(16);32/57(22);21/49(16);;27/56(25);15/77(23);03/82(19);
0076;26/68(11);;29/85(02);08/65(20);25/59(29);06/59(18);;;;34/58(06);22/65(23);03/63(17);
1082;;32/96(27);99/76(09);21/72(10);13/82(08);99/61(16);;31/52(25);31/91(15);15/58(23);;16/63(08);
2331;20/93(10);;21/74(04);22/69(03);14/61(08);23/59(14);24/54(06);01/58(09);;;18/74(21);;
3469A;17/77(11);30/75(14);24/56(31);24/64(16);21/63(09);29/50(15);14/59(03);22/45(27);32/45(13);18/58(23);17/61(20);08/51(17);17/77(11/ene)
5973;24/56(04);;34/55(07);12/62(19);24/79(10);25/79(15);12/76(19);;;09/78(28);;12/59(08);
5960;;29/72(14);;;99/65(08);;;13/58(26);;21/61(23);;99/59(03);
5910;;30/76(14);24/68(19);21/80(20);11/68(04);17/61(09);11/101(19);;12/68(28);12/72(27);;12/65(09);
6001;;;;;;07/85(27);;;09/76(03);;;;
1111;29/93(11);;33/90(09);21/67(10);31/77(22);;34/53(13);08/51(12);30/83(15);25/60(23);28/91(09);99/68(17);
1109;;;;;;;;;;;;17/59(14);
8500A;28/58(05);28/60(14);28/59(05);01/52(08);29/55(28);25/55(15);09/37(22);15/35(05);28/68(23);08/28(09);23/55(05);03/51(19);28/68(23/sep)
5000C;29/76(05);29/76(14);31/67(10);30/68(05);30/55(25);26/56(03);32/52(31);32/55(05);;23/45(11);32/54(08);;
4121;23/69(04);28/63(14);25/54(04);22/48(12);22/46(09);26/46(15);18/92(20);05/55(13);08/50(28);28/39(06);24/53(05);04/53(17);18/92(20/jul)
5402;;;32/58(07);22/61(04);21/54(08);;;;;;;;
8096;31/59(07);;36/53(09);;27/50(28);28/49(15);28/49(27);;;;14/46(26);12/39(04);
1014;21/72(08);18/84(09);22/68(02);17/71(10);16/67(08);23/59(16);18/50(19);28/48(25);21/63(07);99/68(23);17/80(21);19/52(14);18/84(09/feb)
