Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;;;312;276;;230;;203;178;;199;190;
1428;;;289;;211;243;;;;126;169;129;
8175;366;514;379;;335;;327;309;276;228;259;214;
8178D;;;163;135;;149;147;;114;67;86;;
8025;166;216;181;177;;180;179;179;158;;159;;
8019;;;311;;;288;;292;;;310;269;
6325O;;452;321;;365;;;407;;;334;;
9091O;347;276;;251;;;245;;191;;188;158;
1212E;348;;;;;;;;;;;;
2444;235;327;264;265;244;244;218;;192;178;228;174;
4452;246;356;285;269;275;315;262;248;226;183;175;176;251
B954;378;451;310;;333;;;282;258;;;285;
B893;367;;423;419;;298;;;285;303;390;;
B228;;159;156;;152;150;156;;126;139;165;;
B278;274;;260;;;;;294;;;;175;
0076;361;;355;367;355;334;;;;303;365;423;
1082;;294;259;250;274;201;;191;189;162;;166;
2331;450;;375;398;296;339;409;364;;;300;;
3469A;262;333;280;269;262;243;236;226;215;192;227;159;242
5973;298;;283;325;417;383;443;;;359;;355;
5960;;310;;;296;;;257;;177;;168;
5910;;439;324;357;446;387;411;;324;343;;343;
6001;;;;;;553;;;533;;;;
1111;405;;408;336;325;;245;254;288;268;359;237;
1109;;;;;;;;;;;;150;
8500A;201;238;198;191;191;183;173;175;181;155;193;211;191
5000C;231;339;242;226;251;259;256;301;;203;242;;
4121;175;244;181;181;179;184;187;189;160;134;138;136;174
5402;;;165;193;198;;;;;;;;
8096;137;;153;;168;166;160;;;;125;92;
1014;294;294;266;257;245;204;171;175;199;152;237;156;221
1024E;461;446;420;390;383;268;246;238;293;263;373;;
0367;157;;181;;195;;;;;;;;
5530E;133;223;187;192;217;214;201;192;143;129;119;87;170
3013;204;229;180;188;164;138;121;111;111;83;133;81;145
4642E;236;309;271;302;294;275;267;;251;223;217;194;
9898;;;;;;;;;;;186;121;
5270B;204;335;214;231;;237;224;234;204;;195;150;
9170;155;;;206;254;196;;;;150;;179;
C249I;395;592;556;485;514;591;;548;;;;486;
C649I;425;713;618;591;;;;;;382;;341;
C029O;334;;506;;525;656;;671;;;368;;
1549;;;155;140;134;157;146;134;109;88;114;79;
9771C;192;256;;242;253;230;203;;182;145;;119;
1505;238;202;189;186;146;146;;144;;;121;87;
3129;;411;322;294;;;;;;;;;
3196;292;403;308;277;257;274;249;222;186;148;183;;
3195;147;;173;166;154;170;175;158;;90;91;78;
3175;299;428;317;308;259;268;276;248;215;171;222;190;267
2462;408;437;;;;273;267;274;272;295;373;;
6155A;296;348;387;279;297;;283;285;264;226;;274;
6000A;227;;;258;;;;;;;264;;
7178I;174;252;221;;243;240;237;229;194;147;173;144;
9263D;183;;295;;317;298;;;;;;106;
1690A;;114;107;122;101;108;102;95;89;68;68;69;
1484C;165;167;161;175;122;134;162;138;114;104;125;114;140
1495;;;;;232;;;;;;;;
2867;;448;326;355;;254;;181;146;;217;125;
2870;202;235;180;;161;151;;119;;84;130;87;
C929I;;712;;;;;;598;587;441;516;;
C430E;444;;682;638;618;606;522;608;496;630;626;756;
C139E;;549;448;429;463;;;;455;336;;412;
C449C;;;240;259;;238;245;209;230;203;;;
C447A;287;539;;525;576;;;524;;;306;;
C429I;477;554;;;426;;;557;;330;;;
2465;287;344;255;290;258;243;230;208;211;182;227;158;241
5796;;249;;;;;161;177;178;159;179;;
5783;228;;215;244;;274;;;223;214;;;
2030;266;320;;;221;206;197;198;184;133;195;113;
0016A;274;359;357;282;292;;;242;;;254;187;
9981A;213;288;309;259;259;257;252;233;210;171;210;;
9381I;187;236;;215;;173;174;162;;113;140;107;
8368U;;;;;177;156;147;;117;98;129;96;
3260B;239;368;283;;246;288;279;293;211;182;203;;
8414A;364;433;324;;293;271;;;251;;253;207;
2422;178;245;;164;162;;159;150;;105;132;80;
2614;;;;167;152;;183;;126;;;112;
9390;;191;138;145;138;139;140;127;109;67;90;54;
9434;;486;509;436;;;481;442;;;;206;
