Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;21;22;18;20;20;22;20;20;20;19;23;22;5
1387;Min;12378.0;17826.0;27971.0;36949.0;47037.0;57575.0;59842.0;54901.0;37321.0;24441.0;13528.0;9799.0;
1387;Q1;13334.2;19491.0;33278.0;44709.4;53420.4;62502.2;66016.0;57060.2;41574.0;26217.0;14741.6;12675.0;
1387;Q2;15681.0;21121.8;38426.8;47346.2;61914.0;64668.0;68925.0;61900.2;44555.2;28682.0;16947.4;13443.2;
1387;Q3;17211.4;25202.4;40530.2;50150.6;64863.6;69602.0;72698.6;63271.2;47193.6;29536.0;17840.8;14262.4;
1387;Q4;18556.8;27049.8;43919.8;55001.2;68516.0;72542.4;73656.8;64581.6;49970.4;30442.0;20000.2;15640.4;
1387;Max;21236.0;31170.0;50829.0;58637.0;72675.0;75580.0;77527.0;68940.0;52980.0;31630.0;23896.0;18392.0;
1387;Mn;15999.0;22950.5;39932.5;49213.0;62917.5;68081.5;70526.5;62523.0;46281.0;29191.0;17214.0;13895.0;
1387;Md;16199.7;23358.5;39247.7;49035.5;62034.5;67233.0;70158.5;61738.6;45666.0;28633.3;17538.8;13970.4;
1387;S;2605.71;3748.63;5890.53;5484.09;7482.28;5325.66;4555.96;3922.84;4320.18;2198.79;2766.56;2036.20;
1387;Cv;0.16;0.16;0.15;0.11;0.12;0.08;0.06;0.06;0.09;0.08;0.16;0.15;
1387E;N;4;3;4;4;3;3;6;6;6;6;4;4;1
1387E;Min;;;;;;;;;;;;;
1387E;Q1;;;;;;;;;;;;;
1387E;Q2;;;;;;;;;;;;;
1387E;Q3;;;;;;;;;;;;;
1387E;Q4;;;;;;;;;;;;;
1387E;Max;;;;;;;;;;;;;
1387E;Mn;;;;;;;;;;;;;
1387E;Md;;;;;;;;;;;;;
1387E;S;;;;;;;;;;;;;
1387E;Cv;;;;;;;;;;;;;
1428;N;7;7;7;8;5;7;6;7;7;7;7;5;2
1428;Min;;;;;;;;;;;;;
1428;Q1;;;;;;;;;;;;;
1428;Q2;;;;;;;;;;;;;
1428;Q3;;;;;;;;;;;;;
1428;Q4;;;;;;;;;;;;;
1428;Max;;;;;;;;;;;;;
1428;Mn;;;;;;;;;;;;;
1428;Md;;;;;;;;;;;;;
1428;S;;;;;;;;;;;;;
1428;Cv;;;;;;;;;;;;;
8175;N;0;0;0;1;1;1;0;0;1;0;1;1;0
8175;Min;;;;;;;;;;;;;
8175;Q1;;;;;;;;;;;;;
8175;Q2;;;;;;;;;;;;;
8175;Q3;;;;;;;;;;;;;
8175;Q4;;;;;;;;;;;;;
8175;Max;;;;;;;;;;;;;
8175;Mn;;;;;;;;;;;;;
8175;Md;;;;;;;;;;;;;
8175;S;;;;;;;;;;;;;
8175;Cv;;;;;;;;;;;;;
8178D;N;19;17;17;15;14;15;14;12;18;16;18;19;4
8178D;Min;19457.0;25279.0;37655.0;42918.0;;73841.0;;;45782.0;31867.0;19733.0;15661.0;
8178D;Q1;20537.0;28078.8;44400.4;50972.0;;76602.2;;;49875.2;32625.2;21705.4;18537.0;
8178D;Q2;22916.0;31208.6;47671.6;59250.6;;77997.8;;;52799.4;37108.2;23831.2;20560.0;
8178D;Q3;24275.0;33053.2;49967.4;62804.8;;80424.0;;;55034.6;40096.4;26662.6;22773.0;
8178D;Q4;26576.0;35028.2;54695.4;65294.6;;84743.4;;;58256.8;42350.6;28763.0;24283.0;
8178D;Max;33948.0;37475.0;60132.0;67943.0;;85605.0;;;60324.0;45815.0;32353.0;26882.0;
8178D;Mn;23476.0;31732.0;49687.0;61443.0;;78535.0;;;54077.0;39512.0;24254.5;20696.0;
8178D;Md;24084.3;31769.7;49352.5;59300.7;;79761.3;;;53830.2;38497.6;25105.3;21378.3;
8178D;S;3519.50;3667.40;5809.22;7286.70;;3658.01;;;4054.58;4647.57;3539.01;3011.27;
8178D;Cv;0.15;0.12;0.12;0.12;;0.05;;;0.08;0.12;0.14;0.14;
8025;N;4;2;3;2;4;4;4;2;3;3;2;4;1
8025;Min;;;;;;;;;;;;;
8025;Q1;;;;;;;;;;;;;
8025;Q2;;;;;;;;;;;;;
8025;Q3;;;;;;;;;;;;;
8025;Q4;;;;;;;;;;;;;
8025;Max;;;;;;;;;;;;;
8025;Mn;;;;;;;;;;;;;
8025;Md;;;;;;;;;;;;;
8025;S;;;;;;;;;;;;;
8025;Cv;;;;;;;;;;;;;
8019;N;5;7;6;7;4;4;5;6;6;7;8;7;2
8019;Min;;;;;;;;;;;;;
8019;Q1;;;;;;;;;;;;;
8019;Q2;;;;;;;;;;;;;
8019;Q3;;;;;;;;;;;;;
8019;Q4;;;;;;;;;;;;;
8019;Max;;;;;;;;;;;;;
8019;Mn;;;;;;;;;;;;;
8019;Md;;;;;;;;;;;;;
8019;S;;;;;;;;;;;;;
8019;Cv;;;;;;;;;;;;;
6325O;N;10;11;11;12;11;12;12;11;13;7;9;10;5
6325O;Min;;;;;;;;;;;;;
6325O;Q1;;;;;;;;;;;;;
6325O;Q2;;;;;;;;;;;;;
6325O;Q3;;;;;;;;;;;;;
6325O;Q4;;;;;;;;;;;;;
6325O;Max;;;;;;;;;;;;;
6325O;Mn;;;;;;;;;;;;;
6325O;Md;;;;;;;;;;;;;
6325O;S;;;;;;;;;;;;;
6325O;Cv;;;;;;;;;;;;;
9091O;N;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;Min;;;;;;;;;;;;;
9091O;Q1;;;;;;;;;;;;;
9091O;Q2;;;;;;;;;;;;;
9091O;Q3;;;;;;;;;;;;;
9091O;Q4;;;;;;;;;;;;;
9091O;Max;;;;;;;;;;;;;
9091O;Mn;;;;;;;;;;;;;
9091O;Md;;;;;;;;;;;;;
9091O;S;;;;;;;;;;;;;
9091O;Cv;;;;;;;;;;;;;
1212E;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1212E;Min;;;;;;;;;;;;;
1212E;Q1;;;;;;;;;;;;;
1212E;Q2;;;;;;;;;;;;;
1212E;Q3;;;;;;;;;;;;;
1212E;Q4;;;;;;;;;;;;;
1212E;Max;;;;;;;;;;;;;
1212E;Mn;;;;;;;;;;;;;
1212E;Md;;;;;;;;;;;;;
1212E;S;;;;;;;;;;;;;
1212E;Cv;;;;;;;;;;;;;
1208H;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1208H;Min;;;;;;;;;;;;;
1208H;Q1;;;;;;;;;;;;;
1208H;Q2;;;;;;;;;;;;;
1208H;Q3;;;;;;;;;;;;;
1208H;Q4;;;;;;;;;;;;;
1208H;Max;;;;;;;;;;;;;
1208H;Mn;;;;;;;;;;;;;
1208H;Md;;;;;;;;;;;;;
1208H;S;;;;;;;;;;;;;
1208H;Cv;;;;;;;;;;;;;
1249I;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1249I;Min;;;;;;;;;;;;;
1249I;Q1;;;;;;;;;;;;;
1249I;Q2;;;;;;;;;;;;;
1249I;Q3;;;;;;;;;;;;;
1249I;Q4;;;;;;;;;;;;;
1249I;Max;;;;;;;;;;;;;
1249I;Mn;;;;;;;;;;;;;
1249I;Md;;;;;;;;;;;;;
1249I;S;;;;;;;;;;;;;
1249I;Cv;;;;;;;;;;;;;
2444;N;0;0;0;0;0;0;0;0;0;0;0;0;0
2444;Min;;;;;;;;;;;;;
2444;Q1;;;;;;;;;;;;;
2444;Q2;;;;;;;;;;;;;
2444;Q3;;;;;;;;;;;;;
2444;Q4;;;;;;;;;;;;;
2444;Max;;;;;;;;;;;;;
2444;Mn;;;;;;;;;;;;;
2444;Md;;;;;;;;;;;;;
2444;S;;;;;;;;;;;;;
2444;Cv;;;;;;;;;;;;;
4452;N;2;0;1;1;0;1;2;1;1;0;2;2;0
4452;Min;;;;;;;;;;;;;
4452;Q1;;;;;;;;;;;;;
4452;Q2;;;;;;;;;;;;;
4452;Q3;;;;;;;;;;;;;
4452;Q4;;;;;;;;;;;;;
4452;Max;;;;;;;;;;;;;
4452;Mn;;;;;;;;;;;;;
4452;Md;;;;;;;;;;;;;
4452;S;;;;;;;;;;;;;
4452;Cv;;;;;;;;;;;;;
B954;N;13;11;10;13;12;10;13;12;13;12;14;12;2
B954;Min;;;;;;;;;;;;;
B954;Q1;;;;;;;;;;;;;
B954;Q2;;;;;;;;;;;;;
B954;Q3;;;;;;;;;;;;;
B954;Q4;;;;;;;;;;;;;
B954;Max;;;;;;;;;;;;;
B954;Mn;;;;;;;;;;;;;
B954;Md;;;;;;;;;;;;;
B954;S;;;;;;;;;;;;;
B954;Cv;;;;;;;;;;;;;
B893;N;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;Min;;;;;;;;;;;;;
B893;Q1;;;;;;;;;;;;;
B893;Q2;;;;;;;;;;;;;
B893;Q3;;;;;;;;;;;;;
B893;Q4;;;;;;;;;;;;;
B893;Max;;;;;;;;;;;;;
B893;Mn;;;;;;;;;;;;;
B893;Md;;;;;;;;;;;;;
B893;S;;;;;;;;;;;;;
B893;Cv;;;;;;;;;;;;;
B228;N;5;12;12;13;15;13;14;16;16;13;15;13;0
B228;Min;;;;;59907.0;;;62770.0;41553.0;;21720.0;;
B228;Q1;;;;;64929.4;;;66075.4;47017.6;;22896.2;;
B228;Q2;;;;;71930.6;;;68034.8;50912.4;;23394.6;;
B228;Q3;;;;;75006.0;;;69473.4;52267.2;;24873.6;;
B228;Q4;;;;;78499.0;;;70752.4;53739.0;;25740.8;;
B228;Max;;;;;79338.0;;;72184.0;54822.0;;28028.0;;
B228;Mn;;;;;72713.0;;;68487.5;51533.5;;23677.0;;
B228;Md;;;;;71866.3;;;68414.7;50539.0;;24300.3;;
B228;S;;;;;6127.55;;;2548.84;3678.92;;1812.27;;
B228;Cv;;;;;0.09;;;0.04;0.07;;0.07;;
B278;N;8;10;8;7;4;8;7;8;7;7;9;9;0
B278;Min;;;;;;;;;;;;;
B278;Q1;;;;;;;;;;;;;
B278;Q2;;;;;;;;;;;;;
B278;Q3;;;;;;;;;;;;;
B278;Q4;;;;;;;;;;;;;
B278;Max;;;;;;;;;;;;;
B278;Mn;;;;;;;;;;;;;
B278;Md;;;;;;;;;;;;;
B278;S;;;;;;;;;;;;;
B278;Cv;;;;;;;;;;;;;
0200E;N;0;0;0;0;0;0;0;0;0;0;0;0;0
0200E;Min;;;;;;;;;;;;;
0200E;Q1;;;;;;;;;;;;;
0200E;Q2;;;;;;;;;;;;;
0200E;Q3;;;;;;;;;;;;;
0200E;Q4;;;;;;;;;;;;;
0200E;Max;;;;;;;;;;;;;
0200E;Mn;;;;;;;;;;;;;
0200E;Md;;;;;;;;;;;;;
0200E;S;;;;;;;;;;;;;
0200E;Cv;;;;;;;;;;;;;
0076;N;5;6;5;6;5;7;6;6;7;6;4;6;3
0076;Min;;;;;;;;;;;;;
0076;Q1;;;;;;;;;;;;;
0076;Q2;;;;;;;;;;;;;
0076;Q3;;;;;;;;;;;;;
0076;Q4;;;;;;;;;;;;;
0076;Max;;;;;;;;;;;;;
0076;Mn;;;;;;;;;;;;;
0076;Md;;;;;;;;;;;;;
0076;S;;;;;;;;;;;;;
0076;Cv;;;;;;;;;;;;;
1082;N;18;21;22;22;20;19;21;19;23;21;18;19;4
1082;Min;10495.0;16324.0;25795.0;30184.0;41435.0;45633.0;40508.0;39435.0;26909.0;15191.0;12081.0;8869.0;
1082;Q1;12419.8;17604.6;29319.0;35840.6;48756.6;46302.0;48762.6;48708.0;34756.0;23532.6;13268.8;11145.0;
1082;Q2;14803.0;20035.2;33149.0;39235.8;52858.0;54242.0;55986.0;51584.0;39027.4;25530.0;15220.2;12599.0;
1082;Q3;15734.8;21767.2;34164.6;45037.6;55470.8;57503.0;59153.2;52423.0;41202.2;28414.8;16217.6;12938.0;
1082;Q4;17139.4;23311.0;40944.0;48240.6;58585.4;59494.0;62363.0;55135.0;43083.6;30335.6;17749.4;14798.0;
1082;Max;19352.0;28410.0;44875.0;54914.0;62309.0;63435.0;66122.0;57177.0;45302.0;32718.0;20842.0;16619.0;
1082;Mn;15076.0;20959.0;33714.0;42187.0;54527.5;55953.0;57881.0;52083.0;40389.0;28117.0;16070.5;12721.0;
1082;Md;14910.1;20990.7;34424.3;42072.0;53738.4;54704.8;56101.7;51145.5;39035.3;26739.0;15760.6;12723.7;
1082;S;2643.51;3163.31;5406.32;6622.92;5479.35;5790.71;6948.43;4618.13;4960.89;4324.09;2340.24;2034.70;
1082;Cv;0.18;0.15;0.16;0.16;0.10;0.11;0.12;0.09;0.13;0.16;0.15;0.16;
2331;N;0;0;0;0;0;0;0;0;0;0;0;0;0
2331;Min;;;;;;;;;;;;;
2331;Q1;;;;;;;;;;;;;
2331;Q2;;;;;;;;;;;;;
2331;Q3;;;;;;;;;;;;;
2331;Q4;;;;;;;;;;;;;
2331;Max;;;;;;;;;;;;;
2331;Mn;;;;;;;;;;;;;
2331;Md;;;;;;;;;;;;;
2331;S;;;;;;;;;;;;;
2331;Cv;;;;;;;;;;;;;
3469A;N;20;20;22;23;25;23;25;22;22;18;19;17;9
3469A;Min;14558.0;22540.0;41148.0;47319.0;63642.0;60299.0;80078.0;69275.0;48811.0;28959.0;18113.0;13430.0;
3469A;Q1;21367.4;27102.0;47140.0;54491.6;68127.2;75647.0;82481.0;71561.6;52435.4;35295.0;21378.0;17435.2;
3469A;Q2;22871.0;29885.6;51017.2;56991.2;70731.4;79132.6;84179.2;74946.6;54036.8;38823.0;23014.0;19347.6;
3469A;Q3;25223.0;32309.6;52594.6;62998.6;75291.6;82665.2;86242.8;76251.0;56082.0;41630.8;27179.0;20910.4;
3469A;Q4;26458.0;34000.2;56510.0;66643.2;80229.2;84741.6;89831.6;77606.4;59136.6;43604.8;29238.0;23334.6;
3469A;Max;28275.0;37859.0;61217.0;70998.0;86136.0;87113.0;92892.0;79915.0;60651.0;45425.0;32709.0;25799.0;
