Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;28;30;30;30;29;28;28;30;28;28;29;29;23
1387;Min;65;64;60;65;69;67;71;73;70;70;67;69;73
1387;Q1;72;69;69;70;72;73;74;74;74;75;74;73;74
1387;Q2;74;72;71;73;74;74;77;76;76;76;76;74;74
1387;Q3;76;74;73;74;76;76;78;77;77;78;78;75;76
1387;Q4;78;76;77;75;78;79;79;78;78;79;80;78;77
1387;Max;84;81;80;78;81;83;85;85;81;84;83;82;78
1387;Mn;76;74;72;74;75;76;78;77;77;77;77;75;75
1387;Md;75;73;72;73;75;75;77;77;76;77;77;75;75
1387;S;3.77;4.28;4.32;2.87;3.17;3.61;3.41;2.69;2.76;2.83;3.54;3.43;1.44
1387;Cv;0.05;0.06;0.06;0.04;0.04;0.05;0.04;0.04;0.04;0.04;0.05;0.05;0.02
1387E;N;27;26;29;29;27;28;29;28;29;28;27;28;21
1387E;Min;72;67;62;62;64;67;65;68;67;71;70;73;73
1387E;Q1;75;70;68;69;72;70;71;71;70;76;77;75;75
1387E;Q2;76;75;70;72;74;73;73;74;74;77;79;77;76
1387E;Q3;78;76;71;73;75;74;76;75;76;79;80;79;76
1387E;Q4;79;78;76;75;76;76;77;77;78;81;81;80;76
1387E;Max;82;82;80;77;78;79;81;80;82;84;84;84;77
1387E;Mn;77;75;71;73;74;73;73;74;75;78;80;78;76
1387E;Md;77;75;71;72;73;73;74;74;75;78;79;78;76
1387E;S;2.61;4.02;4.26;3.22;3.36;3.42;3.53;2.96;3.94;3.04;2.91;3.01;1.03
1387E;Cv;0.03;0.05;0.06;0.04;0.05;0.05;0.05;0.04;0.05;0.04;0.04;0.04;0.01
1428;N;29;28;26;27;29;27;28;27;27;27;27;28;26
1428;Min;74;68;57;63;62;67;59;63;63;72;70;77;75
1428;Q1;79;73;71;71;70;70;70;71;70;79;81;79;76
1428;Q2;84;77;75;75;75;73;74;73;74;81;85;85;79
1428;Q3;85;82;77;79;78;76;75;74;78;85;87;87;79
1428;Q4;90;86;80;82;80;78;78;78;80;86;90;90;80
1428;Max;93;88;90;88;90;84;83;83;85;89;92;96;83
1428;Mn;84;81;77;77;77;73;74;73;76;83;87;86;79
1428;Md;84;80;76;76;76;74;74;74;76;82;85;85;79
1428;S;5.27;6.27;6.89;6.53;6.24;4.44;4.95;4.42;5.53;4.57;5.37;5.06;2.08
1428;Cv;0.06;0.08;0.09;0.09;0.08;0.06;0.07;0.06;0.07;0.06;0.06;0.06;0.03
8175;N;29;29;29;29;29;29;29;29;30;29;29;30;27
8175;Min;69;59;52;47;47;32;33;34;48;58;58;70;57
8175;Q1;73;64;57;55;48;42;38;43;55;64;72;76;59
8175;Q2;76;70;61;59;53;47;40;48;57;70;75;79;63
8175;Q3;78;73;64;62;57;51;45;52;60;72;77;81;64
8175;Q4;83;76;67;64;60;53;49;53;66;75;81;83;66
8175;Max;88;82;77;75;70;65;63;68;76;86;88;90;70
8175;Mn;77;72;63;60;54;49;42;50;59;70;76;81;63
8175;Md;77;71;63;60;55;49;44;49;59;70;76;80;63
8175;S;5.14;5.86;6.16;6.94;6.38;7.29;7.06;6.74;6.53;6.86;6.34;4.43;3.35
8175;Cv;0.07;0.08;0.10;0.12;0.12;0.15;0.16;0.14;0.11;0.10;0.08;0.06;0.05
8178D;N;19;21;21;21;21;19;19;20;21;21;21;19;15
8178D;Min;61;54;52;49;45;41;38;42;50;53;59;67;56
8178D;Q1;71;62;56;53;51;44;41;44;53;63;68;73;58
8178D;Q2;73;70;62;58;54;48;42;46;55;65;73;76;61
8178D;Q3;76;72;62;61;57;49;45;50;57;69;75;78;63
8178D;Q4;80;74;67;66;64;54;48;53;61;73;78;80;65
8178D;Max;82;78;76;70;67;64;66;68;79;86;83;87;71
8178D;Mn;74;71;62;60;56;49;44;49;55;67;75;77;62
8178D;Md;74;69;62;60;56;49;45;49;57;67;73;77;62
8178D;S;5.93;6.82;6.01;6.11;6.16;6.21;6.51;5.71;6.45;6.98;6.17;4.51;3.87
8178D;Cv;0.08;0.10;0.10;0.10;0.11;0.13;0.14;0.12;0.11;0.10;0.08;0.06;0.06
8025;N;30;29;29;30;30;30;30;30;30;30;30;30;28
8025;Min;54;56;55;53;58;57;58;59;62;60;60;53;63
8025;Q1;61;60;62;59;61;59;61;64;65;66;64;64;64
8025;Q2;65;65;64;61;63;62;63;66;68;68;66;67;66
8025;Q3;69;67;67;65;65;65;65;68;70;71;71;71;66
8025;Q4;73;69;69;69;68;67;68;70;72;75;73;73;69
8025;Max;77;77;72;74;71;69;72;74;77;77;80;79;70
8025;Mn;68;66;65;62;64;63;64;67;69;70;69;68;66
8025;Md;67;66;65;63;64;63;65;67;69;70;69;68;66
8025;S;6.49;5.43;4.51;6.03;3.34;3.71;3.78;3.36;3.62;4.54;4.75;5.46;2.13
8025;Cv;0.10;0.08;0.07;0.10;0.05;0.06;0.06;0.05;0.05;0.07;0.07;0.08;0.03
8019;N;28;28;28;27;29;27;27;28;25;28;29;28;22
8019;Min;46;50;49;45;53;50;55;52;55;56;55;50;57
8019;Q1;56;55;55;52;55;53;57;57;59;59;58;59;60
8019;Q2;60;59;58;55;58;57;58;61;61;63;61;62;61
8019;Q3;63;62;62;58;59;59;60;62;65;65;64;64;61
8019;Q4;68;66;67;64;62;62;62;65;68;68;69;66;63
8019;Max;75;73;72;67;69;69;64;69;71;71;74;78;67
8019;Mn;62;62;62;57;59;58;60;62;62;64;63;63;61
8019;Md;61;61;61;57;59;58;59;62;63;64;63;63;62
8019;S;7.20;5.80;6.20;6.24;3.94;4.47;2.85;4.17;4.54;4.43;5.31;5.68;2.43
8019;Cv;0.12;0.10;0.10;0.11;0.07;0.08;0.05;0.07;0.07;0.07;0.08;0.09;0.04
6325O;N;28;29;28;27;27;29;29;28;27;30;28;28;23
6325O;Min;60;58;56;51;53;54;53;53;57;63;56;58;61
6325O;Q1;64;62;61;60;60;57;58;57;64;65;61;63;63
6325O;Q2;66;66;62;61;63;60;60;62;65;66;66;66;64
6325O;Q3;67;68;65;63;65;63;62;66;67;68;68;68;65
6325O;Q4;71;70;69;66;67;65;64;69;68;70;72;72;67
6325O;Max;78;80;78;77;73;70;70;72;73;80;83;84;73
6325O;Mn;67;67;64;62;64;62;60;64;66;67;66;67;64
6325O;Md;67;67;65;62;63;61;61;63;66;68;67;68;65
6325O;S;4.47;4.73;5.08;4.84;4.96;4.15;3.80;5.66;3.44;4.06;6.49;5.55;2.53
6325O;Cv;0.07;0.07;0.08;0.08;0.08;0.07;0.06;0.09;0.05;0.06;0.10;0.08;0.04
9091O;N;30;30;30;29;29;30;30;29;29;30;30;29;28
9091O;Min;75;70;65;64;64;63;61;63;63;68;74;75;70
9091O;Q1;80;75;69;69;68;66;64;66;69;72;79;82;74
