Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;29;29;27;28;29;26;29;26;30;27;29;28;19
1387;Min;1.6;2.1;2.7;3.6;3.8;4.6;3.9;5.9;3.8;3.1;2.2;1.1;4.4
1387;Q1;2.3;3.3;4.1;4.8;4.7;6.5;6.8;7.0;5.3;4.0;2.6;1.9;4.9
1387;Q2;3.2;3.6;4.6;5.4;6.2;7.0;7.3;7.7;6.0;4.7;3.0;2.7;5.2
1387;Q3;3.5;4.2;5.4;6.1;7.2;8.0;8.4;8.2;6.4;5.2;3.5;3.2;5.6
1387;Q4;4.1;5.7;6.2;7.1;7.9;8.9;8.7;8.8;7.7;5.6;4.5;3.8;5.9
1387;Max;5.1;6.6;8.4;8.6;8.6;9.7;9.4;9.3;8.8;6.5;6.4;4.9;6.3
1387;Mn;3.3;3.9;4.8;5.7;6.5;7.3;7.5;8.0;6.2;4.8;3.3;3.1;5.4
1387;Md;3.3;4.3;5.2;5.8;6.5;7.5;7.7;7.9;6.4;4.8;3.6;3.0;5.4
1387;S;0.95;1.29;1.44;1.29;1.42;1.32;1.24;0.96;1.23;0.88;1.10;1.04;0.53
1387;Cv;0.29;0.30;0.28;0.22;0.22;0.18;0.16;0.12;0.19;0.18;0.31;0.35;0.10
1387E;N;29;28;29;28;28;28;27;27;28;27;29;28;24
1387E;Min;1.8;2.5;2.3;3.4;4.0;4.7;4.6;4.6;4.6;3.1;1.6;1.3;4.6
1387E;Q1;2.4;3.1;4.0;4.5;4.9;6.2;6.7;7.0;5.0;4.0;2.6;2.2;4.9
1387E;Q2;2.7;3.4;4.6;5.3;5.5;6.7;7.3;7.5;5.6;4.2;3.1;2.9;5.1
1387E;Q3;3.3;4.5;5.3;6.2;6.8;7.7;8.0;8.2;6.3;4.7;3.6;3.2;5.4
1387E;Q4;4.0;5.5;6.0;6.9;7.7;8.3;8.5;8.8;6.9;5.4;4.4;3.9;5.7
1387E;Max;5.4;6.2;8.1;8.2;9.0;9.2;9.6;9.3;8.2;6.7;5.7;5.3;5.9
1387E;Mn;3.1;3.8;5.0;5.8;6.1;7.2;7.9;8.0;5.9;4.4;3.3;3.1;5.4
1387E;Md;3.2;4.2;5.0;5.8;6.2;7.2;7.6;7.7;6.0;4.6;3.5;3.0;5.3
1387E;S;0.93;1.19;1.29;1.32;1.44;1.22;1.21;1.16;1.03;0.85;1.04;0.95;0.42
1387E;Cv;0.29;0.29;0.26;0.23;0.23;0.17;0.16;0.15;0.17;0.19;0.30;0.31;0.08
1428;N;27;29;28;28;27;29;28;30;29;30;30;28;18
1428;Min;0.9;1.6;1.5;2.5;2.7;4.7;4.9;4.9;4.0;2.3;1.1;0.5;4.6
1428;Q1;1.9;2.5;3.8;4.0;4.3;6.1;6.9;6.4;5.0;3.5;1.9;1.7;4.9
1428;Q2;2.4;3.1;4.4;5.3;5.6;7.3;7.6;7.3;5.8;3.7;2.8;2.5;5.1
1428;Q3;3.3;4.7;5.3;6.1;6.5;7.9;8.2;7.9;6.4;4.4;3.4;2.9;5.3
1428;Q4;3.6;5.5;6.0;6.5;7.6;8.9;8.8;8.8;7.0;5.1;4.3;3.7;5.7
1428;Max;6.1;6.3;8.8;8.9;9.4;9.9;10.4;10.1;8.9;6.6;6.0;4.8;6.0
1428;Mn;2.8;3.8;4.8;5.5;6.1;7.8;7.7;7.5;6.3;4.0;3.1;2.6;5.1
1428;Md;3.0;4.0;4.9;5.5;6.0;7.5;7.8;7.6;6.1;4.2;3.2;2.7;5.3
1428;S;1.24;1.47;1.56;1.47;1.79;1.44;1.36;1.20;1.30;1.07;1.32;1.13;0.40
1428;Cv;0.42;0.37;0.32;0.27;0.30;0.19;0.17;0.16;0.21;0.25;0.42;0.41;0.08
8175;N;27;26;27;24;28;28;28;26;27;28;28;27;19
8175;Min;3.0;3.9;4.7;4.4;5.7;7.0;10.2;9.1;7.2;4.6;3.1;2.6;7.0
8175;Q1;3.7;4.5;5.9;6.9;8.0;10.0;11.1;9.5;7.7;5.1;4.0;3.6;7.3
8175;Q2;4.4;5.3;6.5;7.8;8.5;10.3;11.5;10.3;8.2;6.5;4.7;4.0;7.6
8175;Q3;5.4;6.2;7.2;8.4;9.1;10.8;11.8;10.8;8.7;6.9;5.5;4.5;7.7
8175;Q4;6.0;6.9;8.1;9.5;9.7;11.9;12.0;11.2;9.1;7.4;6.2;5.0;7.9
8175;Max;7.7;8.2;10.1;10.0;10.3;12.5;12.5;11.9;9.7;8.4;6.8;7.0;8.3
8175;Mn;4.6;6.0;6.7;8.1;9.0;10.6;11.7;10.6;8.6;6.7;5.0;4.2;7.6
8175;Md;4.9;5.8;7.0;8.0;8.8;10.6;11.6;10.5;8.4;6.5;5.1;4.3;7.6
8175;S;1.21;1.34;1.25;1.40;1.06;1.24;0.55;0.79;0.72;1.11;1.09;0.94;0.34
8175;Cv;0.24;0.23;0.18;0.18;0.12;0.12;0.05;0.08;0.09;0.17;0.22;0.22;0.04
8178D;N;9;7;8;6;8;7;8;7;6;7;6;6;3
8178D;Min;;;;;;;;;;;;;
8178D;Q1;;;;;;;;;;;;;
8178D;Q2;;;;;;;;;;;;;
8178D;Q3;;;;;;;;;;;;;
