Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1387;Min;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0
1387;Q1;0.0;0.0;0.0;0.0;0.2;2.0;4.0;2.0;2.0;0.0;0.0;0.0;25.8
1387;Q2;0.0;1.0;0.4;1.0;2.0;3.0;6.0;5.4;4.0;1.0;0.0;0.0;37.4
1387;Q3;1.0;1.0;1.0;2.0;3.0;6.6;8.0;7.0;6.0;4.6;1.6;1.0;40.6
1387;Q4;2.0;2.0;2.8;3.0;5.0;8.0;9.0;9.0;7.8;6.0;3.0;2.8;48.4
1387;Max;4.0;6.0;4.0;5.0;12.0;9.0;15.0;16.0;14.0;8.0;6.0;6.0;54.0
1387;Mn;0.5;1.0;1.0;1.0;3.0;4.5;6.5;6.5;4.5;3.0;1.0;1.0;39.0
1387;Md;1.0;1.3;1.2;1.5;3.0;4.7;6.7;6.2;5.2;3.2;1.6;1.3;37.0
1387;S;1.33;1.44;1.36;1.50;2.55;2.91;3.26;3.57;3.60;2.73;1.92;1.60;12.10
1387;Cv;1.28;1.13;1.10;1.00;0.85;0.62;0.49;0.58;0.69;0.85;1.20;1.20;0.33
1387E;N;30;30;30;30;30;29;30;29;29;29;28;29;27
1387E;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;14.0
1387E;Q1;2.0;1.0;1.0;1.0;2.0;2.0;4.2;6.0;6.0;3.0;1.0;2.0;38.6
1387E;Q2;3.0;3.0;2.4;3.0;3.0;4.0;5.4;7.0;8.0;6.0;4.0;3.0;67.2
1387E;Q3;6.6;4.0;5.6;5.0;5.0;6.0;8.0;9.0;9.0;8.0;7.0;7.0;82.0
1387E;Q4;8.0;7.8;6.8;6.8;7.0;7.0;9.0;11.0;11.0;13.0;9.2;9.0;94.4
1387E;Max;12.0;14.0;14.0;14.0;11.0;12.0;13.0;16.0;16.0;15.0;13.0;13.0;107.0
1387E;Mn;5.0;3.0;3.5;4.5;4.0;5.0;6.0;9.0;9.0;7.0;6.0;5.0;78.0
1387E;Md;5.1;4.3;4.3;4.2;4.4;4.9;6.6;8.5;8.8;7.4;5.9;5.3;69.4
1387E;S;3.55;3.77;3.55;3.11;2.74;3.08;3.35;3.74;3.81;4.40;3.76;3.83;26.37
1387E;Cv;0.69;0.88;0.83;0.75;0.63;0.62;0.51;0.44;0.43;0.59;0.64;0.73;0.38
1428;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1428;Min;1.0;0.0;1.0;0.0;1.0;3.0;4.0;5.0;2.0;2.0;1.0;1.0;63.0
1428;Q1;5.0;3.0;3.0;3.2;4.2;5.0;6.0;7.2;6.2;8.0;7.0;4.0;77.0
1428;Q2;6.0;5.4;5.4;5.0;6.0;7.4;8.8;9.0;9.0;9.0;9.0;7.4;90.8
1428;Q3;9.6;8.6;7.0;6.0;10.0;9.0;11.0;12.0;11.6;11.0;11.0;9.6;111.6
1428;Q4;13.0;11.0;9.0;8.0;13.8;10.6;12.0;15.8;14.8;14.8;13.0;10.8;131.2
1428;Max;17.0;18.0;16.0;17.0;16.0;14.0;15.0;24.0;20.0;25.0;17.0;16.0;151.0
1428;Mn;8.0;6.5;6.0;5.0;8.0;8.0;10.5;11.0;10.0;10.0;9.5;8.0;108.0
1428;Md;8.6;7.0;6.5;5.6;8.4;7.8;9.4;11.2;10.7;11.1;9.8;8.1;104.3
1428;S;4.39;4.15;3.55;3.50;4.51;2.80;3.11;4.46;4.67;4.96;3.66;3.88;25.62
1428;Cv;0.51;0.59;0.54;0.62;0.54;0.36;0.33;0.40;0.44;0.45;0.37;0.48;0.25
8175;N;30;30;30;30;30;30;29;30;30;30;30;30;29
8175;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;11.0
8175;Q1;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;4.0;24.0
8175;Q2;5.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;3.0;5.4;30.0
8175;Q3;6.6;4.0;2.0;2.0;1.0;0.0;0.0;1.0;2.0;4.6;4.0;6.6;36.0
8175;Q4;10.8;6.0;4.0;2.0;1.8;1.0;1.0;1.8;4.0;6.8;6.8;9.0;39.0
8175;Max;17.0;15.0;8.0;6.0;4.0;3.0;2.0;3.0;8.0;8.0;10.0;13.0;54.0
8175;Mn;5.5;4.0;2.0;1.0;0.0;0.0;0.0;0.0;1.5;4.0;4.0;6.0;32.0
8175;Md;6.2;4.0;2.3;1.2;0.8;0.6;0.2;0.7;2.2;4.0;4.2;6.3;32.5
8175;S;4.42;3.20;1.78;1.35;1.10;0.86;0.51;0.95;2.29;2.39;2.64;3.23;9.65
8175;Cv;0.71;0.79;0.78;1.12;1.44;1.51;2.12;1.36;1.06;0.60;0.63;0.51;0.30
8178D;N;28;28;28;28;28;27;28;28;28;28;28;27;26
