Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;28;30;30;30;29;28;28;29;28;28;29;28;22
1387;Min;10146;10143;10163;10115;10131;10144;10149;10142;10141;10157;10180;10184;10259
1387;Q1;10228;10216;10203;10180;10159;10166;10171;10163;10159;10184;10212;10218;10278
1387;Q2;10240;10247;10229;10199;10187;10183;10177;10176;10177;10199;10228;10254;10297
1387;Q3;10281;10263;10249;10218;10205;10191;10187;10188;10187;10212;10238;10267;10310
1387;Q4;10322;10296;10281;10241;10220;10205;10198;10207;10206;10232;10260;10297;10327
1387;Max;10352;10349;10318;10299;10231;10233;10226;10268;10280;10310;10303;10320;10352
1387;Mn;10264;10250;10244;10210;10199;10184;10181;10179;10182;10211;10235;10260;10300
1387;Md;10267;10253;10240;10210;10192;10185;10184;10183;10186;10210;10234;10256;10304
1387;S;49.46;49.33;39.84;38.38;26.85;21.84;17.19;25.51;31.42;30.95;27.85;37.35;25.31
1387;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1387E;N;29;28;30;30;30;29;30;28;29;30;29;29;24
1387E;Min;10106;10099;10119;10075;10091;10095;10105;10102;10097;10103;10139;10143;10206
1387E;Q1;10189;10164;10160;10134;10121;10117;10128;10125;10118;10144;10171;10176;10231
1387E;Q2;10200;10200;10187;10159;10145;10135;10134;10131;10133;10157;10191;10207;10251
1387E;Q3;10238;10218;10205;10179;10160;10147;10142;10139;10146;10178;10204;10219;10263
1387E;Q4;10282;10249;10239;10199;10178;10161;10156;10153;10160;10188;10215;10247;10298
1387E;Max;10307;10302;10266;10254;10189;10187;10185;10169;10183;10211;10263;10275;10307
1387E;Mn;10224;10208;10201;10165;10152;10141;10138;10136;10135;10165;10197;10211;10258
1387E;Md;10229;10208;10197;10167;10150;10140;10141;10137;10140;10165;10194;10211;10259
1387E;S;48.86;48.91;38.81;37.91;27.57;23.65;19.51;16.91;22.39;25.09;27.43;33.47;29.09
1387E;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1428;N;30;30;28;28;27;28;29;29;28;27;27;28;23
1428;Min;9783;9787;9816;9769;9791;9781;9789;9803;9793;9794;9835;9831;9885
1428;Q1;9866;9866;9839;9810;9816;9809;9817;9812;9806;9828;9848;9861;9915
1428;Q2;9886;9883;9872;9843;9830;9822;9823;9819;9820;9846;9876;9890;9934
1428;Q3;9920;9898;9890;9856;9843;9833;9830;9832;9834;9859;9883;9903;9953
1428;Q4;9956;9936;9908;9882;9863;9846;9849;9842;9845;9871;9900;9920;9974
1428;Max;9976;9987;9935;9928;9872;9865;10187;10163;9872;9897;9945;9940;10187
1428;Mn;9907;9891;9876;9849;9834;9827;9826;9827;9823;9850;9877;9896;9940
1428;Md;9908;9893;9877;9849;9835;9827;9840;9837;9826;9850;9877;9893;9959
1428;S;46.26;46.60;34.21;36.77;23.76;21.19;69.50;64.47;21.29;23.63;27.00;29.36;73.43
1428;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.01
8175;N;28;28;28;28;29;30;30;29;27;28;28;27;23
8175;Min;9420;9411;9424;9405;9372;9378;9383;9385;9399;9430;9417;9436;9487
8175;Q1;9473;9464;9453;9420;9410;9411;9423;9413;9424;9440;9453;9465;9500
8175;Q2;9490;9488;9467;9437;9430;9422;9427;9420;9431;9448;9476;9488;9528
8175;Q3;9511;9507;9488;9455;9440;9434;9435;9433;9442;9464;9486;9502;9539
8175;Q4;9534;9540;9499;9472;9455;9446;9447;9447;9458;9481;9493;9519;9554
8175;Max;9564;9587;9550;9492;9508;9458;9503;9470;9480;9494;9507;9568;9568
8175;Mn;9498;9493;9480;9447;9438;9429;9434;9426;9434;9456;9482;9494;9532
8175;Md;9502;9499;9477;9447;9435;9427;9434;9428;9439;9459;9474;9495;9531
8175;S;35.20;41.51;29.77;25.53;30.56;19.16;19.77;18.13;18.72;20.00;24.22;31.81;23.93
8175;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8178D;N;25;26;25;25;26;24;26;27;25;25;26;24;19
8178D;Min;9450;9435;9453;9435;9399;9415;9425;9428;9440;9455;9444;9475;9523
8178D;Q1;9502;9492;9485;9450;9444;9441;9447;9436;9454;9468;9485;9492;9532
8178D;Q2;9522;9521;9493;9464;9458;9456;9458;9447;9464;9486;9505;9514;9559
8178D;Q3;9540;9542;9526;9487;9475;9464;9465;9460;9477;9502;9518;9526;9570
8178D;Q4;9574;9569;9534;9504;9488;9477;9478;9468;9489;9514;9527;9553;9593
8178D;Max;9605;9613;9577;9524;9537;9492;9487;9494;9516;9527;9545;9612;9613
8178D;Mn;9529;9533;9511;9479;9466;9460;9460;9458;9470;9489;9511;9523;9568
8178D;Md;9536;9530;9509;9477;9465;9459;9461;9455;9470;9492;9505;9527;9565
8178D;S;39.20;43.59;32.28;26.13;30.64;18.74;15.63;16.68;19.66;20.97;26.25;33.85;28.54
8178D;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8025;N;30;30;30;30;30;30;30;29;30;30;30;30;29
8025;Min;10137;10133;10143;10106;10089;10091;10104;10096;10119;10128;10123;10168;10196
8025;Q1;10212;10189;10173;10128;10127;10114;10121;10114;10128;10144;10172;10189;10249
8025;Q2;10224;10218;10189;10160;10146;10128;10128;10123;10136;10158;10188;10211;10266
8025;Q3;10251;10249;10214;10177;10160;10145;10138;10135;10152;10179;10200;10229;10276
8025;Q4;10281;10274;10230;10191;10169;10160;10159;10145;10166;10196;10215;10269;10289
8025;Max;10323;10322;10282;10234;10237;10175;10175;10168;10193;10211;10239;10299;10323
8025;Mn;10227;10229;10197;10165;10155;10138;10132;10127;10142;10168;10193;10221;10274
8025;Md;10236;10230;10202;10164;10151;10136;10137;10129;10147;10168;10191;10224;10267
8025;S;44.70;44.00;32.53;31.57;29.22;22.55;18.76;17.29;19.64;24.18;27.33;37.29;30.89
8025;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8019;N;29;30;30;29;29;28;29;30;28;29;29;28;22
8019;Min;10215;10194;10203;10163;10144;10144;10167;10159;10165;10188;10183;10229;10268
8019;Q1;10273;10251;10238;10196;10182;10174;10175;10169;10187;10199;10235;10252;10312
8019;Q2;10287;10274;10246;10216;10202;10190;10186;10178;10195;10217;10248;10270;10328
8019;Q3;10319;10307;10274;10237;10219;10204;10196;10186;10209;10237;10267;10292;10336
8019;Q4;10340;10333;10292;10258;10230;10216;10207;10203;10220;10252;10275;10328;10343
8019;Max;10383;10376;10344;10287;10290;10235;10232;10223;10246;10271;10302;10363;10376
8019;Mn;10292;10292;10262;10223;10210;10201;10193;10183;10202;10229;10252;10287;10332
8019;Md;10301;10292;10263;10225;10208;10195;10193;10185;10203;10227;10252;10286;10328
8019;S;38.91;43.47;32.89;31.98;30.52;22.53;17.90;16.70;19.65;24.38;28.27;36.37;24.64
8019;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6325O;N;30;30;29;30;29;29;29;28;29;30;28;29;26
6325O;Min;10180;10202;10195;10184;10144;10149;10163;10153;10167;10179;10203;10217;10266
6325O;Q1;10273;10260;10245;10199;10177;10179;10175;10165;10182;10202;10230;10252;10308
6325O;Q2;10291;10282;10260;10219;10203;10183;10182;10175;10197;10217;10250;10272;10322
6325O;Q3;10310;10302;10274;10233;10215;10198;10198;10186;10213;10240;10263;10299;10329
6325O;Q4;10337;10323;10283;10249;10229;10206;10202;10192;10223;10250;10281;10319;10343
6325O;Max;10369;10372;10329;10272;10282;10226;10220;10227;10253;10268;10299;10377;10372
6325O;Mn;10299;10291;10260;10226;10205;10188;10187;10181;10206;10230;10260;10291;10325
6325O;Md;10301;10294;10264;10226;10205;10190;10189;10180;10204;10227;10255;10287;10326
6325O;S;42.01;39.35;31.15;26.36;29.21;18.69;15.53;16.78;23.00;23.69;25.88;36.94;24.81
6325O;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9091O;N;30;30;30;30;28;30;29;29;29;29;30;29;27
9091O;Min;9651;9645;9646;9621;9619;9614;9633;9633;9624;9635;9622;9666;9710
9091O;Q1;9704;9684;9686;9652;9635;9644;9660;9649;9653;9669;9685;9692;9754
9091O;Q2;9723;9724;9706;9676;9657;9671;9666;9662;9666;9683;9710;9710;9763
9091O;Q3;9758;9738;9724;9689;9681;9675;9681;9666;9677;9698;9724;9748;9772
9091O;Q4;9774;9770;9741;9710;9690;9685;9686;9677;9691;9718;9731;9759;9781
9091O;Max;9809;9821;9787;9738;9718;9717;9701;9697;9723;9736;9759;9804;9821
9091O;Mn;9742;9730;9720;9683;9667;9673;9675;9663;9674;9690;9718;9731;9766
9091O;Md;9738;9730;9715;9681;9666;9669;9672;9663;9671;9691;9708;9727;9767
9091O;S;42.23;43.12;32.45;30.37;28.50;24.32;16.35;15.24;22.04;25.47;31.95;34.02;23.67
9091O;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1212E;N;29;30;30;30;30;30;30;29;29;29;29;29;28
1212E;Min;10078;10087;10081;10057;10059;10065;10069;10066;10074;10066;10086;10118;10188
1212E;Q1;10161;10148;10144;10110;10093;10086;10104;10093;10090;10115;10142;10146;10199
1212E;Q2;10176;10176;10167;10127;10108;10117;10117;10105;10107;10129;10162;10176;10226
1212E;Q3;10207;10199;10187;10145;10138;10126;10124;10113;10126;10145;10176;10191;10240
1212E;Q4;10252;10235;10211;10166;10152;10135;10135;10127;10139;10160;10188;10223;10256
1212E;Max;10269;10279;10251;10218;10167;10169;10153;10141;10156;10191;10235;10251;10279
1212E;Mn;10191;10181;10175;10138;10124;10122;10122;10109;10112;10138;10166;10183;10229
1212E;Md;10198;10186;10174;10139;10121;10118;10120;10108;10115;10137;10165;10182;10231
1212E;S;46.34;47.34;39.76;34.15;30.24;24.34;18.41;18.63;23.77;27.54;30.86;37.00;25.04
1212E;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1208H;N;8;8;9;10;10;10;9;10;10;10;10;10;6
1208H;Min;;;;;;;;;;;;;
1208H;Q1;;;;;;;;;;;;;
1208H;Q2;;;;;;;;;;;;;
1208H;Q3;;;;;;;;;;;;;
1208H;Q4;;;;;;;;;;;;;
1208H;Max;;;;;;;;;;;;;
1208H;Mn;;;;;;;;;;;;;
