Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;29;30;30;30;29;28;28;29;28;28;29;28;23
1387;Min;9952;9969;9997;9991;10036;10050;10086;10063;10045;10025;9994;9996;10085
1387;Q1;10069;10075;10062;10056;10060;10089;10101;10089;10072;10042;10044;10056;10093
1387;Q2;10120;10108;10107;10073;10082;10101;10106;10097;10093;10064;10087;10104;10099
1387;Q3;10153;10133;10125;10082;10088;10112;10110;10104;10104;10094;10111;10142;10107
1387;Q4;10182;10167;10152;10097;10113;10120;10117;10111;10114;10116;10147;10159;10113
1387;Max;10251;10206;10193;10121;10141;10128;10140;10126;10138;10150;10177;10209;10121
1387;Mn;10137;10122;10114;10078;10086;10105;10108;10101;10096;10075;10099;10127;10105
1387;Md;10131;10117;10108;10075;10084;10103;10109;10100;10094;10082;10095;10112;10103
1387;S;63.08;53.38;45.92;27.82;26.32;18.89;12.58;14.43;21.95;36.50;48.73;59.05;9.86
1387;Cv;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00
1387E;N;29;28;30;30;30;29;30;28;29;30;29;29;24
1387E;Min;9911;9933;9956;9951;9994;10008;10037;10024;10005;9986;9956;9954;10032
1387E;Q1;10029;10036;10020;10010;10013;10048;10058;10045;10039;10005;10009;9995;10050
1387E;Q2;10080;10059;10066;10029;10036;10056;10062;10056;10050;10027;10049;10056;10054
1387E;Q3;10108;10092;10081;10042;10046;10070;10068;10063;10064;10052;10069;10100;10063
1387E;Q4;10143;10125;10106;10056;10065;10076;10074;10067;10071;10081;10104;10115;10068
1387E;Max;10205;10165;10148;10076;10096;10084;10094;10080;10089;10105;10133;10162;10078
1387E;Mn;10097;10076;10069;10037;10044;10060;10067;10059;10052;10038;10057;10083;10059
1387E;Md;10089;10074;10065;10033;10040;10060;10065;10058;10054;10041;10053;10066;10059
1387E;S;61.99;54.60;45.17;27.39;26.51;18.10;12.39;13.28;20.02;35.42;48.13;61.06;10.85
1387E;Cv;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00
1428;N;30;30;28;28;27;28;29;29;28;27;27;28;23
1428;Min;9612;9624;9658;9646;9692;9709;9734;9724;9707;9687;9659;9654;9727
1428;Q1;9721;9730;9712;9704;9709;9737;9749;9744;9729;9701;9702;9685;9743
1428;Q2;9774;9749;9755;9720;9727;9748;9755;9752;9746;9726;9739;9746;9748
1428;Q3;9800;9787;9774;9731;9738;9759;9762;9755;9754;9750;9756;9793;9753
1428;Q4;9828;9806;9793;9747;9753;9767;9767;9761;9764;9776;9792;9810;9760
1428;Max;9882;9855;9830;9766;9780;9777;9787;9773;9782;9793;9826;9846;9767
1428;Mn;9787;9769;9758;9725;9735;9751;9761;9753;9749;9729;9743;9771;9750
1428;Md;9779;9764;9755;9723;9732;9752;9758;9753;9748;9738;9744;9758;9751
