Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;460;492;663;846;685;648;726;746;638;637;484;439;7464
8175;656;922;1418;1728;2726;3848;3807;3184;2381;1627;1099;725;24121
8025;730;794;893;;1260;;1588;;;933;757;906;
6325O;987;1153;1223;1263;;1816;1643;1476;1378;1270;1041;1047;
9091O;238;;947;1006;1364;1042;1578;1551;944;860;500;349;
1212E;451;647;771;810;816;723;687;747;730;775;592;676;8425
1208H;701;857;891;765;;808;854;819;901;798;1025;990;
1249I;365;576;719;707;578;575;651;600;473;683;394;481;6802
2444;;558;948;;1564;;;;1570;;605;;
4452;477;1083;2013;1645;1824;2520;2888;2579;2371;1783;1249;470;20902
B954;;731;785;1129;1507;1654;1571;1495;1168;881;;758;
B893;1012;;1039;1184;1344;1690;1508;1582;1305;1097;1050;;
B228;866;847;1190;1120;1223;1514;1580;1465;1196;813;712;913;13439
B278;713;;1332;1308;1685;1997;2073;2160;1297;951;727;983;
0200E;1212;1060;1526;1472;1629;2269;1562;1757;1083;999;1553;1381;17503
2331;443;543;910;1331;1294;1544;2272;2174;1354;1281;684;364;14194
3469A;641;772;1191;1931;2238;3721;4173;3935;2979;2176;944;688;25389
5960;762;615;1008;1365;1627;2249;2106;2223;1689;1492;957;650;16743
5910;1452;646;1528;1693;2257;;1971;2379;1989;1866;1537;1066;
1111;951;889;891;812;819;772;837;1015;949;;;;
1109;1130;1221;1325;1543;1575;1431;1342;1646;1345;1291;1313;1271;16433
4121;412;362;568;1101;;1872;2407;2023;1323;926;458;241;
5402;656;715;1323;1902;2428;4110;4472;3772;3051;1992;1002;727;26150
8096;;694;1206;1614;1942;2684;3017;2581;1828;1393;1132;;
1014;529;838;757;717;803;711;697;748;578;572;561;482;7993
1024E;708;1021;1063;873;1060;769;735;772;748;930;903;769;10351
5530E;679;740;1177;1771;2272;;3365;3045;2195;1510;867;474;
5514;910;;1545;2088;3055;4050;4516;3928;2870;1951;;655;
3013;;;838;;;;;;;;;;
4642E;;553;999;;;;;;;;1060;;
5270B;433;;887;935;61;;;;;;811;;
9170;1038;994;1655;1919;2304;2355;2794;2485;1561;1578;1206;1067;20956
C249I;1620;1244;1813;1558;1788;2216;2193;1883;1543;1625;1623;1828;20934
C029O;2421;2147;;2564;2600;3182;2958;3340;2729;2558;2426;2433;
2661;;;;;;;;2473;1945;1454;;;
1549;517;715;1164;2127;1638;2076;2519;2228;1533;1306;521;229;16573
9771C;468;719;1210;1530;2198;2663;;2486;2048;;1301;544;
1505;394;618;909;1069;869;633;748;757;599;766;340;232;7934
3191E;744;711;;1926;1920;2748;3115;3064;2229;1898;982;787;
3196;;769;1650;2458;2795;4388;4914;4229;3140;2330;1207;866;
3200;590;896;1377;2147;2513;3695;4147;3699;2656;1828;874;756;25178
3195;345;440;786;1340;1419;2244;2313;2117;1478;1123;565;454;14624
3175;;1020;1682;2422;2796;4339;4941;4196;3058;2306;1474;890;
2462;;;;;1116;1823;2279;2156;1264;1392;;;
6000A;675;462;886;756;768;1009;1226;993;1162;322;632;754;9645
7178I;770;802;1152;1282;2027;2457;2198;1767;1496;1028;910;859;16748
7228;1066;1034;1308;1598;2456;3080;2811;2121;1776;1249;1125;1154;20778
7031;1261;1479;1593;1425;1637;1911;1492;1325;1714;;1280;;
1690A;304;481;691;;1185;1416;;;;987;378;174;
1484C;346;374;506;817;517;663;1099;755;469;651;543;283;7023
2867;;795;1263;1957;1888;2838;2600;2909;2081;1654;606;397;
C929I;790;793;973;606;770;684;705;564;525;735;507;775;8427
C447A;;602;1324;;996;;1601;1973;1152;;1018;762;
2465;553;797;;;;;;;;;;;
5796;895;887;1405;2142;2385;3632;3476;3489;2800;2297;1263;853;25524
5783;1107;1157;1778;2814;3102;4389;4264;4722;3472;2877;1770;1188;32640
0016A;791;715;939;842;1403;1575;1741;1490;1523;985;1121;1249;14374
9981A;979;778;1104;1373;1692;1941;1861;1791;1623;1266;1205;1102;16715
8368U;;877;;;;;;;;;;;
8414A;713;726;944;944;1272;1611;1352;1206;1076;840;957;884;12525
2422;315;504;891;1558;1432;2215;2419;2291;1600;1242;539;300;15306
2539;;725;1223;2109;1890;3504;3350;3059;2225;1756;814;;
2614;;;709;1014;;;;;;660;;;
9390;181;916;1335;1793;2254;2648;2996;2552;1310;924;682;389;17980
9434;1291;1074;1801;2935;2986;;4407;4001;2701;;;1304;
