Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;1;1;0;1;2;0;6;11
1387E;5;4;3;4;0;1;0;1;5;5;6;4;38
1428;6;2;3;1;3;3;2;3;5;3;2;4;37
8175;7;2;0;0;0;0;0;1;0;3;0;2;15
8025;0;1;0;1;0;0;0;0;0;0;0;0;2
8019;0;0;0;1;0;0;0;0;0;0;0;0;1
6325O;0;0;0;2;0;0;0;0;0;0;0;1;3
9091O;6;5;4;1;3;1;1;1;5;8;2;7;44
1212E;1;0;0;0;2;8;1;2;0;2;0;0;16
1208H;0;0;0;1;;;0;0;0;0;0;0;
1249I;3;2;1;4;8;5;4;6;4;4;3;7;51
2444;;;0;;0;;;;0;;;;
4452;7;1;4;0;0;0;0;0;0;0;1;1;14
B954;0;0;0;0;0;0;0;1;0;0;;0;
B893;0;0;0;0;0;0;0;0;0;0;0;0;0
B228;0;0;0;0;0;0;0;0;0;0;0;1;1
B278;0;0;0;0;0;0;0;0;0;1;1;0;2
0200E;1;1;1;2;2;0;1;0;2;2;0;0;12
0076;0;0;0;0;0;0;0;0;0;0;0;0;0
1082;1;0;0;0;0;0;0;0;0;1;1;1;4
2331;2;1;2;0;0;0;0;0;3;2;0;4;14
3469A;2;1;1;0;0;0;0;0;0;0;0;0;4
5960;2;1;1;1;0;1;1;0;1;1;1;0;10
5910;0;0;0;0;0;1;0;1;0;1;0;0;3
1111;0;0;1;1;0;2;0;0;0;0;0;0;4
1109;0;0;2;0;0;0;0;0;0;0;0;0;2
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
4121;7;0;1;0;0;0;0;0;0;0;0;2;10
5402;0;0;3;0;0;0;0;0;0;0;1;0;4
8096;2;0;0;0;0;0;0;0;0;0;0;1;3
1014;0;0;1;0;0;0;0;0;0;0;0;0;1
1024E;3;6;6;3;5;7;6;4;3;5;3;2;53
0367;1;3;0;0;0;0;0;0;2;4;0;0;10
5530E;1;0;0;0;0;0;0;0;0;0;1;2;4
5514;1;0;0;0;0;0;0;0;0;0;0;3;4
3013;3;3;0;0;0;;0;0;0;0;1;1;
9898;2;0;0;0;0;0;0;0;0;1;0;3;6
5270B;1;0;1;0;0;0;0;0;;0;0;0;
9170;0;1;0;0;0;0;0;0;0;0;0;0;1
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;;;;;;;;0;0;1;1;3;
1549;4;0;0;0;0;0;0;0;0;2;2;7;15
9771C;4;5;0;0;0;0;0;0;0;2;4;10;25
1505;8;5;2;;6;5;6;3;6;6;11;6;
3191E;2;3;4;0;0;0;0;0;0;0;0;2;11
3129;2;1;1;0;0;0;0;0;0;0;0;0;4
3196;3;0;0;0;0;0;0;0;0;1;0;2;6
3200;2;0;1;0;0;0;0;0;0;1;0;1;5
3195;0;0;2;0;0;0;0;0;0;0;0;0;2
3175;2;0;1;0;0;0;0;0;0;0;0;1;4
2462;9;10;12;7;6;4;4;1;6;5;9;19;92
6155A;0;0;0;0;0;0;0;0;0;0;0;0;0
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;0;0;0;1;0;0;0;0;0;0;0;0;1
7228;0;1;0;0;0;0;0;0;0;0;1;0;2
9263D;2;4;0;0;0;0;0;1;0;0;0;2;9
1690A;1;0;0;0;0;0;0;0;0;1;5;2;9
1484C;0;1;0;0;0;0;1;0;1;1;1;4;9
1495;10;1;7;0;3;3;6;5;4;5;4;10;58
2867;2;1;2;0;0;0;1;0;0;4;3;3;16
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;5;8;4;3;3;0;0;0;;2;5;8;
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;;0;0;0;0;0;0;0;0;0;
C447A;0;2;0;1;1;0;2;2;2;0;0;2;12
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;1;1;0;0;0;0;1;0;0;0;2;2;7
5796;0;0;1;0;0;1;0;0;0;0;1;0;3
5783;0;1;1;1;0;0;0;0;0;0;0;0;3
2030;1;1;1;0;0;0;0;0;0;0;0;0;3
0016A;0;0;0;1;0;0;0;0;0;0;0;0;1
9981A;1;2;4;1;0;0;0;0;0;0;1;0;9
9381I;2;1;0;1;0;0;0;0;3;3;1;1;12
8368U;2;1;0;0;0;0;0;0;1;1;0;2;7
8414A;0;1;1;0;0;0;0;0;0;0;0;0;2
2422;3;0;0;0;0;0;0;0;0;1;2;5;11
2539;5;1;3;0;0;0;0;0;0;0;2;3;14
2614;3;;0;0;0;0;0;0;0;0;2;4;
9390;1;1;0;0;1;1;0;0;0;0;0;0;4
9434;1;6;0;0;0;0;0;0;0;0;0;2;9
