Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;1;3;1;2;0;0;0;0;0;0;0;7
1387E;0;0;4;1;0;0;0;0;0;0;0;0;5
1428;0;0;2;1;0;0;0;0;0;0;0;0;3
8175;0;0;1;0;0;0;1;0;0;0;0;0;2
8178D;0;0;0;0;0;0;0;0;0;0;0;0;0
8025;0;1;0;0;0;0;0;0;1;0;0;0;2
8019;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;0;0;0;0;0;0;0;0;0;0;0;0;0
1212E;2;1;1;0;0;0;0;0;0;0;0;1;5
1208H;1;1;1;0;0;0;0;0;0;0;0;2;5
1249I;0;1;1;0;0;1;0;0;0;0;1;0;4
2444;0;0;2;0;0;0;1;0;0;0;0;1;4
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;3;0;0;0;0;0;0;0;1;0;0;0;4
B228;1;0;0;0;0;0;0;0;0;0;0;1;2
B278;1;0;0;0;0;0;0;0;0;0;0;0;1
0200E;0;0;0;0;0;0;0;0;0;0;0;0;0
0076;0;0;0;0;0;;0;0;0;;0;0;
1082;0;2;0;0;0;0;1;0;0;0;0;5;8
2331;0;0;0;0;0;0;0;0;0;0;0;0;0
3469A;0;0;0;0;1;0;0;0;0;0;0;0;1
5973;;0;;0;0;0;;;;0;;;
5960;0;0;0;0;0;0;0;0;0;0;0;0;0
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
1111;0;2;0;0;1;0;0;0;0;0;2;5;10
1109;2;2;1;0;1;0;0;0;0;0;0;2;8
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;;0;0;0;;;0;0;;;0;;
4121;0;0;1;0;0;1;0;0;0;0;0;0;2
5402;0;0;0;0;0;0;0;0;0;0;0;0;0
8096;0;0;0;0;0;1;1;0;0;0;0;0;2
1014;1;1;0;0;0;0;0;0;0;0;0;3;5
1024E;1;2;0;0;0;0;0;0;0;0;0;1;4
0367;0;0;0;0;0;1;0;0;0;0;0;0;1
5530E;0;0;0;0;0;1;0;0;0;0;0;0;1
5514;0;0;0;0;0;0;0;0;0;0;1;0;1
3013;0;0;;;1;3;;;;;;0;
4642E;0;0;0;0;0;0;0;0;0;0;0;0;0
9898;0;0;0;0;0;0;0;0;0;0;0;0;0
5270B;0;0;0;;1;0;0;0;0;0;0;0;
9170;0;0;;0;0;1;0;0;0;0;0;0;
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;;0;0;0;0;0;
2661;0;0;0;1;0;0;0;0;0;0;0;1;2
1549;0;0;0;0;1;0;0;1;0;0;0;0;2
9771C;0;0;0;2;1;1;0;0;0;0;0;0;4
1505;0;1;1;1;2;0;1;1;0;0;0;3;10
3191E;0;0;0;0;1;0;1;0;0;0;0;0;2
3129;0;0;0;0;0;0;1;1;0;0;0;0;2
3196;0;0;0;0;0;0;0;0;0;0;0;0;0
3200;0;0;0;0;0;0;1;1;0;0;0;0;2
3195;;0;0;0;0;0;0;0;0;0;0;0;
3175;0;0;0;0;0;0;0;1;0;0;0;0;1
2462;0;0;1;0;3;2;0;2;0;1;0;0;9
6155A;0;0;0;0;0;0;0;0;0;0;0;0;0
6000A;2;0;0;0;0;0;0;0;0;0;0;0;2
7178I;0;0;0;0;0;0;0;0;0;0;0;0;0
7228;0;0;0;0;0;0;0;0;0;0;0;0;0
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9262;0;0;0;0;1;1;0;1;0;0;0;0;3
9263D;0;;;;;1;0;0;0;0;0;0;
1690A;0;0;0;0;0;0;0;1;0;0;0;0;1
1484C;0;1;2;1;0;0;0;0;0;0;0;0;4
1495;0;0;1;0;0;0;0;0;0;0;0;0;1
2867;0;0;1;1;0;0;0;0;0;0;0;0;2
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;0;0;0;0;0;0;0;0;0;0;1;0;1
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;0;0;1;0;0;0;1;1;0;1;0;0;4
5796;0;0;0;0;0;0;0;0;0;0;0;0;0
5783;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;0;0;0;0;0;3;0;0;0;0;0;0;3
0016A;0;0;0;0;0;0;1;0;0;0;0;0;1
9981A;0;0;0;0;0;0;0;0;0;0;0;0;0
9381I;0;0;0;;;0;0;0;;0;0;0;
8368U;0;0;0;0;1;0;0;1;1;0;0;0;3
8416;1;0;0;0;0;0;0;0;0;0;0;0;1
8414A;2;0;0;0;0;0;0;0;0;0;0;0;2
2422;0;0;0;0;0;0;1;0;0;0;0;0;1
2539;0;0;1;0;1;0;0;0;0;0;0;0;2
2614;0;0;0;0;2;2;0;0;0;0;0;0;4
9390;0;0;0;1;1;4;0;0;0;0;1;1;8
9434;1;0;0;0;0;0;1;0;0;0;0;0;2
