Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17;17;16;4;14;14;12;14;20;8;17;21;174
1387E;17;20;15;4;16;10;11;14;20;9;19;22;177
1428;17;19;18;4;15;9;10;14;19;7;18;20;170
8175;4;11;3;6;7;4;5;7;3;2;3;8;63
8178D;5;11;4;5;6;3;6;8;2;2;3;6;61
8025;8;7;4;3;1;1;3;5;3;3;6;6;50
8019;10;7;7;3;2;5;3;6;4;4;6;4;61
6325O;5;2;5;4;0;1;0;3;0;2;5;3;30
9091O;9;12;13;9;11;13;10;5;15;10;14;20;141
1212E;14;16;18;13;16;15;16;18;19;11;16;19;191
1208H;14;16;14;9;15;16;11;16;16;12;16;16;171
1249I;16;18;17;13;20;20;15;21;19;13;17;22;211
2444;4;8;5;6;6;8;2;5;0;4;7;12;67
4452;6;11;10;2;5;2;1;3;0;4;7;9;60
B954;17;7;6;8;9;3;1;6;6;14;6;10;93
B893;15;9;7;4;4;5;6;6;10;7;11;20;104
B228;15;8;4;3;4;3;1;3;8;6;11;10;76
B278;15;8;5;5;5;4;2;6;8;7;13;12;90
0200E;8;11;5;12;8;10;9;16;12;5;4;9;109
0076;7;5;6;10;6;;3;9;13;;2;6;
1082;13;13;14;9;16;19;13;13;22;16;18;18;184
2331;7;10;9;5;16;15;4;6;8;8;16;14;118
3469A;8;14;10;4;6;5;1;4;0;5;6;10;73
5973;;13;;3;6;0;;;;3;;;
5960;4;11;11;4;7;0;2;4;2;3;6;8;62
5910;3;12;11;4;8;0;1;3;2;4;5;8;61
1111;11;12;12;8;14;20;12;15;20;12;15;17;168
1109;9;12;11;9;14;20;18;14;23;13;18;19;180
8500A;4;6;5;5;4;3;2;7;3;3;2;2;46
5000C;;11;8;4;;;1;2;;;4;;
4121;6;14;9;7;8;3;3;2;0;2;5;11;70
5402;2;11;10;5;5;1;3;3;0;2;4;8;54
8096;9;8;8;9;10;7;3;8;1;5;4;12;84
1014;10;13;15;8;15;16;15;14;22;10;16;19;173
1024E;10;13;15;8;14;16;17;17;22;13;18;21;184
0367;11;8;8;8;8;7;8;9;10;5;3;3;88
5530E;2;12;6;4;2;0;1;2;1;3;4;9;46
5514;2;12;6;5;3;2;1;2;1;2;3;6;45
3013;9;9;;;13;8;;;;;;13;
4642E;5;14;11;6;8;2;1;2;1;5;7;6;68
9898;2;7;8;4;8;10;4;8;5;2;4;9;71
5270B;3;10;8;;4;1;2;2;0;2;4;9;
9170;9;12;;5;12;9;6;5;8;6;15;17;
C249I;5;9;2;0;2;1;0;0;2;0;2;3;26
C649I;8;7;7;1;8;2;2;1;3;3;4;5;51
C029O;4;11;3;0;0;2;;0;4;3;5;4;
2661;7;11;6;3;18;10;3;3;2;5;6;11;85
1549;8;16;14;6;15;9;2;3;8;5;7;16;109
9771C;7;6;5;5;6;8;6;8;7;3;3;7;71
1505;19;16;16;4;16;13;15;13;15;8;19;17;171
3191E;2;9;7;7;8;7;2;6;0;2;5;11;66
3129;4;10;4;7;8;5;3;2;2;2;5;4;56
3196;6;10;7;6;7;6;4;4;0;4;4;8;66
3200;4;11;8;5;6;6;3;3;0;3;4;7;60
3195;;10;6;6;5;6;4;3;0;2;5;4;
3175;3;9;5;5;7;7;4;2;0;4;4;7;57
2462;4;2;3;5;8;8;3;3;3;4;8;8;59
6155A;4;11;6;4;2;0;0;2;1;2;4;3;39
6000A;7;6;5;7;5;2;2;5;3;2;2;11;57
7178I;2;6;4;6;1;4;6;7;3;2;5;3;49
7228;6;6;5;3;0;2;1;8;2;2;5;2;42
7031;6;4;5;5;1;0;3;4;2;3;3;2;38
9262;8;11;11;5;7;10;5;7;9;4;13;16;106
9263D;7;;;;;12;9;12;14;7;18;17;
1690A;18;16;19;4;16;11;7;6;11;6;12;19;145
1484C;16;17;18;2;16;10;10;9;11;7;7;15;138
1495;16;16;20;3;13;7;7;7;14;6;7;16;132
2867;5;10;6;3;8;8;2;3;0;5;7;14;71
C929I;8;6;3;4;5;2;3;1;3;2;6;5;48
C430E;2;5;0;4;1;0;0;0;2;0;7;2;23
C139E;6;10;7;6;1;3;5;1;2;4;10;8;63
C449C;8;9;6;4;3;2;4;1;2;1;5;5;50
C447A;18;17;14;7;14;10;6;5;8;8;7;9;123
C429I;1;4;2;4;0;0;0;0;0;1;1;2;15
2465;8;9;8;5;11;10;1;5;2;4;9;13;85
5796;6;12;11;5;5;0;1;3;1;4;5;8;61
5783;3;11;11;4;7;1;2;2;0;2;6;7;56
2030;7;9;7;7;15;9;6;8;6;3;7;11;95
0016A;6;10;6;5;6;7;3;8;8;3;3;6;71
9981A;7;6;7;5;3;5;2;5;4;2;1;3;50
9381I;9;10;8;;;10;7;9;;2;5;12;
8368U;6;5;5;3;7;7;5;9;2;2;1;2;54
8416;9;8;4;5;4;4;4;9;3;4;4;5;63
8414A;6;8;4;7;6;5;6;9;6;5;2;5;69
2422;7;14;12;4;13;7;3;6;2;6;9;14;97
2539;4;12;10;4;9;4;3;3;1;3;3;8;64
2614;6;12;7;2;9;7;2;4;0;5;6;6;66
9390;10;10;10;4;10;6;6;10;5;2;3;12;88
9434;9;10;12;4;13;13;4;10;9;3;3;9;99
