Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;3;0;1;2;0;1;1;0;0;0;0;8
1387E;0;0;1;0;1;0;0;1;0;0;1;0;4
1428;0;3;1;0;3;0;0;1;0;1;1;1;11
8175;0;1;2;1;4;3;4;2;1;1;0;0;19
8178D;0;0;0;1;4;0;5;3;1;0;0;0;14
8025;2;1;1;1;0;1;2;3;1;1;1;0;14
8019;2;1;2;0;0;2;2;1;1;0;0;0;11
6325O;0;0;1;0;0;0;0;1;0;0;0;0;2
9091O;0;0;1;1;6;9;2;2;0;0;0;0;21
1212E;0;2;2;0;8;0;0;2;0;0;0;0;14
1208H;0;1;0;0;3;3;0;1;0;0;0;1;9
1249I;0;0;0;0;6;3;0;1;0;0;0;0;10
2444;0;0;0;1;1;1;2;1;0;0;0;0;6
4452;0;0;2;0;2;4;1;2;0;0;0;0;11
B954;1;0;0;0;0;0;0;3;0;2;1;0;7
B893;3;0;1;1;0;3;0;2;5;1;3;1;20
B228;4;0;0;0;0;2;0;0;1;2;2;0;11
B278;4;0;0;1;0;1;0;4;6;1;2;0;19
0200E;1;0;2;2;0;4;2;1;2;2;1;0;17
0076;2;0;1;1;0;;1;0;1;;1;0;
1082;1;3;2;0;6;6;3;3;0;0;1;1;26
2331;0;1;0;0;9;8;1;2;0;0;0;1;22
3469A;0;0;0;0;1;3;1;3;0;0;0;0;8
5973;;0;;0;0;0;;;;0;;;
5960;1;0;0;0;1;0;0;2;0;2;2;1;9
5910;1;0;2;0;0;0;0;1;0;2;3;1;10
1111;0;1;0;0;6;3;1;0;0;0;0;4;15
1109;1;2;0;0;4;4;1;0;0;0;1;3;16
8500A;2;0;1;1;1;3;1;5;0;1;0;0;15
5000C;;0;1;1;;;0;0;;;0;;
4121;0;1;0;1;2;3;2;1;0;0;0;0;10
5402;0;0;0;0;0;1;0;1;0;1;0;0;3
8096;0;0;1;3;1;7;2;2;1;0;0;0;17
1014;0;2;2;0;1;4;3;3;3;0;2;4;24
1024E;0;1;1;0;3;3;3;4;2;0;1;1;19
0367;1;0;0;1;2;5;2;5;2;1;0;0;19
5530E;0;1;1;0;0;2;0;0;0;1;1;0;6
5514;0;2;1;0;0;1;1;2;0;1;3;0;11
3013;0;0;;;3;8;;;;;;0;
4642E;2;3;2;1;1;0;0;1;0;1;4;1;16
9898;0;0;1;0;0;4;2;3;0;1;0;0;11
5270B;0;1;0;;0;3;1;2;0;1;0;0;
9170;0;0;;0;9;9;6;5;0;0;0;0;
C249I;0;0;0;0;1;0;0;0;0;0;0;0;1
C649I;0;0;2;0;0;0;0;0;0;0;0;0;2
C029O;0;0;0;0;1;0;;0;0;0;0;0;
2661;0;0;0;0;6;6;2;3;0;0;0;0;17
1549;0;0;0;0;6;4;3;3;0;0;1;0;17
9771C;0;0;1;1;2;8;3;2;1;1;0;0;19
1505;0;2;1;0;6;1;2;3;0;1;0;1;17
3191E;0;0;0;1;2;6;3;2;0;0;2;0;16
3129;0;0;0;0;0;2;4;1;0;1;0;0;8
3196;0;0;0;0;1;3;2;2;0;1;0;0;9
3200;0;1;0;1;1;6;2;2;0;1;0;0;14
3195;;1;0;0;1;4;3;1;0;0;0;0;
3175;0;0;0;0;2;8;4;2;0;1;0;0;17
2462;0;0;1;2;3;6;2;3;1;1;0;0;19
6155A;0;2;1;1;1;0;0;0;0;1;2;0;8
6000A;0;1;1;1;0;2;1;1;0;0;0;0;7
7178I;0;0;1;0;0;0;1;3;3;1;0;0;9
7228;0;0;1;0;0;1;2;0;1;1;0;0;6
7031;2;0;1;0;0;0;2;1;0;1;0;0;7
9262;0;0;0;0;0;1;1;2;1;0;0;0;5
9263D;0;;;;;6;3;5;1;0;1;0;
1690A;0;2;0;0;4;2;2;2;0;0;1;1;14
1484C;0;1;1;0;4;0;0;1;0;0;1;0;8
1495;1;2;1;0;4;0;0;1;0;2;2;2;15
2867;0;0;0;2;4;2;0;2;0;0;0;0;10
C929I;0;0;0;0;0;0;0;0;0;0;1;0;1
C430E;0;0;1;0;0;0;0;0;0;0;1;0;2
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;1;0;0;0;0;0;1;0;1;0;3
C447A;1;1;1;0;0;0;0;0;1;0;0;0;4
C429I;0;0;2;0;0;0;0;0;0;0;0;0;2
2465;0;0;1;2;6;7;3;4;0;0;0;0;23
5796;1;0;0;0;0;0;0;2;0;2;3;0;8
5783;0;1;0;0;1;0;0;1;0;2;3;0;8
2030;0;1;1;1;6;10;6;4;0;0;0;0;29
0016A;0;0;1;0;0;2;2;3;0;1;1;0;10
9981A;2;0;2;0;3;4;2;2;1;1;1;0;18
9381I;0;0;1;;;7;6;8;;0;0;0;
8368U;1;0;1;2;3;8;5;9;1;1;0;0;31
8416;2;0;1;0;0;0;0;0;0;1;0;0;4
8414A;3;0;2;3;2;3;1;3;2;2;0;0;21
2422;0;0;0;1;7;2;2;0;0;0;0;0;12
2539;0;0;0;0;6;2;2;4;0;0;0;0;14
2614;0;0;0;0;4;4;2;2;0;1;0;0;13
9390;0;0;1;1;4;9;7;4;1;0;0;0;27
9434;0;1;1;1;7;9;3;9;1;0;1;0;33
