Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10278(15);10256(08);10264(13);10218(04);10187(15);10203(30);10218(01);10214(10);10207(06);10241(27);10279(10);10331(22);10331(22/dic)
1387E;;10211(08);10218(13);10171(04);10143(15);;10173(01);10170(10);10161(06);10195(27);10230(10);10284(22);
1428;9914(15);9894(08);9888(13);9848(04);9839(15);9848(30);9859(01);9852(10);9844(05);9889(27);9915(10);9960(22);9960(22/dic)
8175;9479(07);9493(15);9465(08);9454(21);;9432(15);9430(02);9419(10);9441(28);9475(26);9470(26);9544(21);
8178D;9517(07);9534(15);9508(09);;9506(15);9471(15);9470(02);9462(10);9482(28);9510(26);9507(26);9582(21);
8025;10211(07);10228(16);10189(28);10185(21);10185(15);10121(07);;10125(10);10152(28);10183(26);10204(27);10273(21);
8019;10274(07);;10251(28);10246(21);;10181(07);10199(02);;10212(28);10243(26);10266(27);10336(05);
6325O;10281(07);10281(16);10258(28);10225(21);10238(15);10191(23);10199(01);10188(10);10209(28);10243(26);10267(27);10355(21);10355(21/dic)
9091O;9717(08);9713(15);9733(14);9675(04);9679(15);9659(16);9691(02);9678(10);9675(06);9725(27);9719(26);9789(21);9789(21/dic)
1212E;10186(15);;10197(13);10146(04);10109(15);10107(30);10142(01);10139(10);10133(06);10182(27);10191(10);10255(22);
1208H;10332(15);10316(08);10344(13);10286(04);10251(15);10246(30);10284(01);10279(10);10279(06);10320(27);10332(10);10402(22);10402(22/dic)
1249I;9925(15);9912(08);9940(14);9894(04);9863(15);9860(23);9893(02);9887(10);9884(06);9933(27);9939(10);9999(22);9999(22/dic)
2444;8997(07);9009(16);8999(08);8968(10);9003(15);8969(23);8988(02);8975(10);8971(28);9035(27);9015(10);9081(21);9081(21/dic)
4452;10084(15);10088(06);10068(07);10030(01);10032(15);10000(23);10004(02);9992(10);9999(19);10049(27);10079(10);10155(22);10155(22/dic)
B954;10286(07);10307(15);10263(29);10268(21);10261(15);10205(07);10216(03);10201(10);10231(28);10260(15);;10350(05);
B893;10199(07);10232(15);10174(14);10193(21);10177(15);10127(07);10132(03);;10153(28);;10198(27);;
B228;10286(01);10315(15);;10278(21);;;10216(03);10207(12);10234(28);;10288(27);10348(05);
B278;10305(07);;10274(28);10291(21);10269(15);10215(07);10228(03);10216(12);;10282(15);10302(27);10365(05);
0200E;9803(07);9834(15);9792(14);9799(21);9796(15);9737(07);9750(02);9740(12);9770(28);9798(15);9800(27);9856(21);9856(21/dic)
0076;;10335(15);;10295(21);10277(15);10224(07);10229(03);10217(12);10252(28);10281(15);10302(27);;
1082;10308(07);10269(16);10302(14);10250(04);10220(15);10218(16);10249(02);10233(10);10236(06);10286(27);10295(26);10373(21);10373(21/dic)
2331;9265(07);9277(16);9277(14);9237(04);9259(15);9224(15);9253(02);9245(10);9242(06);9293(27);9280(26);9345(21);9345(21/dic)
3469A;9850(15);9843(06);9827(07);9790(01);9813(15);9768(23);9782(02);9769(10);9776(19);9825(27);9842(10);9911(21);9911(21/dic)
5973;10291(15);10322(06);10279(06);10254(01);10247(14);10214(23);10193(02);10185(16);10220(18);10248(27);10277(10);10375(22);10375(22/dic)
5960;10267(15);10295(06);10255(06);10225(01);10218(14);10188(23);10169(02);10157(16);10190(19);;10253(10);10351(22);
5910;10275(15);10305(06);10259(06);10233(01);10225(14);10190(23);10174(02);10168(16);10200(18);10230(27);10260(11);10354(22);10354(22/dic)
1111;10272(08);10235(15);;10223(04);10189(15);10191(16);10218(01);10207(10);10212(06);10258(27);10259(26);10344(21);
1109;10345(07);10315(08);10356(14);10299(04);10262(15);10260(16);10293(01);10281(10);10284(06);10336(27);10342(26);10418(21);10418(21/dic)
8500A;10256(07);10284(15);10241(14);10244(21);10230(15);10172(07);10183(02);10174(10);10197(28);10228(15);10252(26);10318(21);10318(21/dic)
5000C;;;10171(28);10141(11);10156(15);10114(23);10110(01);10099(10);10125(13);;10179(10);10270(21);
4121;9573(07);9571(16);9558(08);9515(10);9548(15);9508(23);9520(02);9506(10);9518(28);9563(27);9564(26);9638(21);9638(21/dic)
5402;10210(15);;;10140(01);10150(15);10115(23);10110(02);;;10166(27);10189(10);;
8096;9201(07);9223(15);9206(09);9182(21);9206(15);9202(15);9172(01);9164(10);9179(28);9218(26);9201(27);9273(21);9273(21/dic)
1014;;10304(16);10342(14);10290(22);10258(20);10252(16);10282(02);10260(10);10269(06);10318(27);10330(26);10412(21);
1024E;10025(08);10000(15);10033(14);9977(04);9962(15);9954(16);9978(02);9961(10);9967(06);10012(27);10011(26);10093(21);10093(21/dic)
0367;10146(07);10180(15);;;;10059(07);10073(02);10068(11);10100(28);10124(14);10143(27);10202(05);
5530E;9631(07);9645(06);9620(07);9571(03);9601(15);9573(23);9568(02);9554(10);9574(28);9618(27);9620(11);9704(21);9704(21/dic)
5514;9490(07);9500(06);9480(07);9431(11);9465(15);9437(23);9431(01);9424(12);9441(28);9480(12);9478(27);9558(21);9558(21/dic)
