Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10157;10098;10116;10118;10075;10104;10112;10118;10132;10141;10141;10169;10123
1387E;;10054;10071;10072;10031;;10067;10073;10088;10097;10095;10122;
1428;9799;9745;9762;9760;9726;9753;9761;9766;9782;9791;9785;9814;9770
8175;9389;9376;9378;9369;;9359;9359;9368;9373;9412;9383;9418;
8178D;9432;9419;9421;;9400;9402;9401;9411;9416;9453;9425;9460;
8025;10103;10093;10093;10090;10069;10061;;10068;10076;10121;10093;10133;
8019;10166;;10154;10151;;10120;10119;;10134;10180;10154;10196;
6325O;10181;10161;10163;10152;10129;10122;10121;10127;10142;10186;10166;10214;10155
9091O;9632;9587;9595;9606;9572;9584;9594;9602;9608;9640;9617;9635;9606
1212E;10082;;10037;10055;10005;10026;10036;10043;10050;10072;10064;10083;
1208H;10228;10165;10181;10200;10147;10166;10176;10183;10190;10214;10207;10227;10190
1249I;9831;9772;9787;9804;9759;9782;9791;9799;9805;9828;9816;9835;9801
2444;8925;8896;8907;8904;8891;8908;8912;8919;8924;8953;8922;8947;8917
4452;9998;9963;9967;9939;9922;9926;9924;9928;9949;9976;9972;10031;9958
B954;10175;10171;10172;10169;10149;10139;10138;10145;10154;10199;;10205;
B893;10087;10087;10089;10087;10071;10060;10063;;10076;;10080;;
B228;10181;10177;;10175;;;10144;10151;10159;;10173;10205;
B278;10189;;10186;10184;10162;10151;10151;10159;;10214;10181;10212;
0200E;9702;9690;9694;9696;9685;9682;9688;9696;9693;9732;9690;9708;9696
0076;;10178;;10182;10163;10151;10156;10164;10168;10212;10176;;
1082;10196;10138;10148;10165;10116;10129;10140;10147;10155;10184;10172;10193;10157
2331;9188;9152;9163;9167;9145;9157;9164;9174;9178;9209;9182;9200;9173
3469A;9761;9728;9733;9712;9695;9698;9698;9703;9721;9751;9741;9790;9728
5973;10217;10190;10190;10158;10147;10145;10144;10143;10167;10191;10186;10254;10178
5960;10190;10162;10163;10131;10119;10116;10114;10114;10138;;10160;10228;
5910;10198;10171;10171;10140;10128;10127;10126;10125;10148;10173;10168;10237;10159
1111;10169;10110;;10142;10094;10108;10119;10125;10131;10159;10146;10165;
1109;10239;10179;10192;10210;10160;10175;10186;10192;10199;10227;10216;10236;10201
8500A;10150;10134;10136;10136;10115;10105;10106;10116;10120;10164;10136;10166;10132
5000C;;;10094;10073;10060;10057;10052;10056;10074;;10089;10148;
4121;9486;9462;9466;9449;9436;9439;9439;9446;9458;9494;9475;9516;9464
5402;10117;;;10059;10043;10034;10033;;;10094;10091;;
8096;9118;9104;9109;9103;9095;9102;9105;9114;9116;9150;9116;9144;9115
1014;;10177;10186;10202;10156;10164;10175;10182;10190;10221;10207;10228;
1024E;9924;9873;9884;9901;9860;9871;9882;9889;9894;9923;9903;9921;9894
0367;10041;10019;;;;9997;10004;10011;10016;10058;10019;10041;
5530E;9547;9528;9528;9509;9497;9500;9500;9506;9521;9554;9533;9584;9526
5514;9407;9391;9391;9374;9365;9371;9372;9378;9390;9421;9397;9444;9392
3013;8993;8974;8982;;8969;8980;8984;8993;8994;;8993;9012;
4642E;10202;10170;10172;10140;10129;10128;10125;10126;10149;10176;10172;10239;10161
9898;9551;;9537;9536;9522;9524;9527;9538;9539;9576;9540;9562;
5270B;9540;9519;9520;9501;9490;9494;9494;9499;9513;9544;9527;9574;9518
9170;9799;9758;9762;9769;;9739;9747;9757;9769;;9785;9806;
C249I;;10163;10155;10117;10123;10120;10125;10112;10138;10146;;10211;
C649I;10161;;;10100;;10106;10111;;10121;10127;10114;;
C029O;;10173;10165;10126;10134;10130;10136;10121;10147;10157;10149;10224;
2661;;;;;;;;9146;9152;;9158;;
1549;9587;9536;9548;9544;9516;9532;9537;9545;9561;9584;9575;9603;9556
9771C;9975;9952;9951;9947;9927;;9923;;9942;9984;9956;9986;
1505;9709;9654;9671;9674;9638;9662;9671;9677;9690;9705;9696;9721;9681
3191E;9060;9038;9044;9041;9029;9039;9043;9051;9055;9088;9057;9080;9052
3129;9536;9509;9511;9501;9483;9483;9486;9494;9507;9544;9525;9557;9511
3196;9415;9390;9394;9385;9368;9372;9374;9382;9393;;9406;9437;
3200;9493;9468;9471;9461;9443;9445;9447;9455;9467;9503;9483;9516;9471
3195;9438;9413;;9407;9390;9392;;9403;9414;9449;9428;9460;
3175;9501;9475;9478;9468;9450;9451;9454;9462;9474;9510;9490;9522;9478
2462;8124;8108;8123;8129;8129;8159;8164;;8162;8188;8137;8148;
6155A;10209;10187;10187;10171;10153;10145;10141;10148;10164;10206;10187;10246;10179
6000A;10146;10128;10128;10112;10096;10090;10086;10091;10107;10144;10126;10184;10120
7178I;10134;10119;10116;10110;10088;10079;10077;10086;10096;10142;10120;10164;10111
7228;10122;10107;10104;10098;10076;10066;10064;10074;10084;10129;;10152;
9263D;;9654;9660;9666;9637;9643;9652;9661;9670;9702;9677;9698;
1690A;10056;9998;10011;10000;9966;9986;9992;9996;10020;10033;10036;10074;10014
1484C;10090;10037;10053;10043;10011;10033;10040;10043;10065;10070;10071;10109;10055
1495;9926;9875;9891;9880;9852;9876;;9885;9906;9912;9907;9945;
2867;9301;9264;9273;9266;9247;9259;9265;9271;9283;;;9323;
2870;9340;9297;9304;9294;9273;9277;9283;9288;9304;9336;9323;9361;9307
C929I;;10171;10161;10121;10136;10138;;;10148;;10131;10209;
C430E;7691;7683;7691;7676;7691;7721;7737;7740;7733;7726;7692;7722;7709
C139E;;;10152;;10122;10128;10135;10119;10139;10135;;10199;
C449C;10170;10160;10153;10110;10122;10121;10126;10111;10135;10138;10125;10204;10140
C447A;9500;9492;9487;9452;9465;;;9468;9485;;9468;;
C429I;;10111;10100;10064;10076;10075;10081;10065;10087;10092;10079;10153;
2465;9063;9032;9041;9036;9022;9035;9041;9048;;9085;9058;9085;
5796;10118;10089;10089;10058;10045;10041;10041;10041;10064;10092;10089;10155;10077
5783;10187;10157;10156;10125;10111;10105;10104;10105;10128;10159;10157;10223;10143
2030;8967;8945;8955;8957;8945;8957;8963;;8971;;;8983;
0016A;10111;10093;10096;10096;10077;10068;10070;10080;10083;10127;10092;10118;10093
9981A;10146;10127;10127;10126;10106;10096;10098;10109;10114;10156;10128;10157;10124
9381I;9187;9167;9174;9172;9158;9166;9170;9181;9183;9217;9184;9205;9180
8368U;9163;9147;9153;9151;9140;9148;9150;9162;9161;9197;9163;9185;9160
3260B;9614;9586;9589;9576;9557;9557;9559;9567;9581;9617;9600;9637;9587
8414A;10129;10116;10114;10113;10093;10083;10083;10093;10097;10142;10116;10151;10111
2422;9368;9330;9339;9334;9312;9321;9330;9337;9348;9379;9361;9387;9346
2539;9242;9205;9216;9213;9193;;9212;9219;9228;9257;9235;9259;
2614;9458;9417;9426;9421;9396;9407;9414;9421;9434;9464;9449;9478;9432
9390;9308;9284;9291;9290;9273;9279;9283;9293;9298;9332;9302;9324;9296
9434;9912;9884;9883;9882;9855;9852;9857;9868;9881;9918;9897;9923;9884
