Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;13.3;14.6;16.3;18.5;21.2;21.9;23.1;23.0;21.4;21.8;16.1;14.0;18.8
1387E;13.0;14.6;16.2;19.2;21.7;22.2;23.6;23.9;21.1;22.5;15.8;13.9;19.0
1428;11.5;13.3;15.3;21.1;21.6;24.3;24.5;25.5;21.0;23.1;14.5;11.9;19.0
8175;10.0;14.2;17.6;20.5;25.9;32.9;34.3;33.1;28.6;25.1;17.0;11.1;22.5
8178D;10.6;14.7;18.2;21.4;26.7;33.3;34.7;33.8;29.3;26.3;18.2;11.9;23.3
8025;16.4;18.5;20.5;21.2;25.7;30.0;;30.6;28.4;25.6;20.5;18.0;
8019;17.0;;22.3;22.7;;29.9;31.1;;28.6;25.9;20.7;17.8;
6325O;16.7;19.1;19.8;22.1;26.7;30.5;31.0;31.9;28.8;26.9;20.8;17.7;24.3
9091O;8.3;13.4;16.5;18.4;23.6;26.1;26.6;27.3;22.4;21.8;13.1;9.4;18.9
1212E;12.4;;15.7;16.2;19.9;21.4;;22.5;21.3;20.8;15.7;14.0;
1208H;12.8;15.3;15.6;15.9;19.0;21.2;22.0;22.9;21.6;20.7;16.3;14.9;18.2
1249I;10.8;14.2;15.8;17.4;20.8;21.8;23.2;23.1;21.2;20.8;13.8;12.0;17.9
2444;7.7;11.0;14.5;18.5;22.1;28.7;29.3;28.9;24.0;22.0;12.7;8.6;19.0
4452;14.4;17.1;20.1;26.2;29.1;35.2;36.2;36.0;32.0;29.9;20.3;15.3;26.0
B954;14.7;16.5;18.3;19.9;23.8;28.0;29.8;30.3;26.6;24.4;;16.3;
B893;13.7;;18.9;20.1;24.6;29.6;30.5;31.3;;24.2;18.3;15.2;
B228;15.1;17.7;19.5;20.2;24.4;29.0;30.8;31.9;27.1;25.0;19.7;16.9;23.1
B278;14.4;17.4;19.4;20.8;25.9;30.7;32.7;33.3;27.4;24.8;19.2;16.1;23.5
0200E;11.1;14.8;17.2;18.0;22.8;27.7;28.8;28.9;23.4;22.3;16.2;12.0;20.3
0076;;16.3;;18.9;;28.3;29.1;29.6;25.5;23.9;18.4;;
1082;11.8;16.5;18.1;18.9;24.4;25.3;25.8;26.5;23.1;23.3;16.7;13.4;20.3
2331;7.6;11.2;14.2;18.0;22.3;27.5;29.1;28.4;23.3;22.2;12.2;7.6;18.6
3469A;12.4;14.7;17.9;23.8;26.8;34.0;34.8;34.6;30.1;28.1;18.4;13.5;24.1
5973;15.9;17.1;19.1;21.4;24.4;28.3;27.9;29.5;27.5;;20.6;16.6;
5960;16.5;18.3;21.2;25.4;28.4;34.1;34.9;36.2;32.5;30.5;22.0;16.8;26.4
5910;15.8;17.7;20.4;23.4;26.4;31.1;30.8;32.7;29.2;28.5;21.6;16.7;24.5
6001;;;18.9;20.4;;26.4;;29.0;;25.1;;17.9;
1111;12.0;14.8;15.0;15.3;19.0;20.7;21.5;22.5;20.5;19.9;15.7;13.3;17.5
1109;12.8;15.6;16.1;17.1;21.2;22.9;23.5;24.3;22.1;21.3;16.4;13.7;18.9
8500A;14.7;17.5;20.0;21.1;25.6;30.1;31.0;30.8;27.5;25.5;19.8;16.8;23.4
5000C;15.9;17.2;18.3;19.3;22.6;26.3;28.4;28.2;26.5;23.4;19.9;17.1;21.9
4121;10.6;14.2;18.1;23.4;27.7;34.4;36.0;35.0;30.1;26.2;16.9;11.4;23.7
5402;16.0;17.9;;26.9;29.7;37.7;38.6;;34.5;31.4;21.3;15.5;
8096;10.6;13.2;17.5;21.2;25.2;31.5;33.0;32.6;27.3;25.0;16.6;10.6;22.0
1014;10.5;15.7;17.3;17.7;22.5;24.5;24.9;25.4;22.4;21.8;15.7;13.1;19.3
1024E;8.7;13.8;15.3;15.1;20.7;22.3;22.3;23.0;20.1;19.5;13.8;11.5;17.2
0367;11.9;16.8;;;25.7;31.6;31.2;32.4;25.5;24.9;17.7;13.2;
5530E;14.6;16.9;20.9;25.9;30.6;36.5;38.2;37.6;32.5;29.3;20.9;14.1;26.5
5514;13.2;15.6;19.3;23.5;28.0;34.1;36.1;35.0;30.1;27.0;18.9;13.0;24.5
3013;8.7;12.4;16.4;;23.5;28.8;30.6;30.6;24.6;23.3;13.7;8.8;
4642E;16.8;17.5;20.5;24.5;26.5;32.3;33.0;34.6;31.2;29.3;22.2;17.3;25.5
