Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;13.1;11.1;13.9;12.2;17.3;19.1;18.0;20.2;18.6;20.1;14.6;15.1;20.2
1387E;12.5;10.4;12.9;11.3;16.5;17.3;17.4;19.3;18.0;17.9;13.8;13.7;19.3
1428;9.9;8.9;11.6;12.2;17.0;19.9;17.1;17.6;16.0;17.4;12.9;11.9;19.9
8175;3.8;9.4;9.4;12.3;15.3;21.6;21.6;23.0;17.4;14.4;12.3;9.2;23.0
8178D;6.2;9.2;9.4;12.3;15.7;22.6;21.4;22.0;17.9;15.5;11.8;9.7;22.6
8025;10.3;14.2;16.0;15.5;18.5;24.7;;27.2;22.7;19.6;15.4;14.4;
8019;13.3;;17.4;15.2;;24.9;24.6;;22.7;20.0;15.8;14.3;
6325O;11.3;14.8;14.1;16.4;21.5;25.0;26.0;26.6;23.4;20.7;16.8;11.2;26.6
9091O;7.6;8.8;7.8;8.2;16.4;16.6;17.0;18.3;13.4;13.0;10.5;10.2;18.3
1212E;10.5;;11.7;11.9;15.2;19.2;;18.1;17.0;18.4;13.8;11.0;
1208H;11.7;11.1;13.0;13.8;16.6;20.0;20.1;19.8;18.7;19.1;15.0;11.7;20.1
1249I;10.2;9.4;11.9;10.7;17.3;18.1;17.4;18.0;17.2;18.5;12.6;10.2;18.5
2444;4.9;7.9;7.4;8.8;16.6;21.4;19.7;18.9;14.2;15.6;10.0;7.5;21.4
4452;10.0;12.6;11.2;15.0;19.2;23.6;22.2;23.1;21.5;17.9;15.7;13.4;23.6
B954;10.6;13.2;13.4;16.4;18.7;24.0;24.7;27.9;22.2;21.0;;14.9;
B893;11.2;;12.3;12.4;18.9;22.7;24.8;26.2;;18.6;16.4;13.5;
B228;11.2;15.1;13.7;14.8;20.4;24.3;25.4;28.9;23.1;19.5;16.9;13.5;28.9
B278;8.9;13.8;12.2;12.6;17.9;21.9;24.0;27.4;19.7;16.9;13.2;13.4;27.4
0200E;9.4;13.6;13.0;15.4;20.5;23.7;22.2;24.3;19.9;18.3;15.0;10.5;24.3
0076;;13.6;;14.2;;24.4;25.1;26.1;22.3;19.5;15.6;;
1082;11.4;12.3;12.6;12.6;17.3;20.3;19.1;20.1;16.2;22.2;17.8;11.0;22.2
2331;7.0;5.4;5.9;6.2;14.8;15.7;17.4;15.7;11.3;11.3;10.3;8.5;17.4
3469A;10.2;11.3;10.4;15.6;19.9;25.8;24.8;24.8;21.4;19.6;14.7;12.3;25.8
5973;12.8;15.1;17.0;17.6;20.4;26.5;25.7;25.7;24.0;;19.1;15.5;
5960;9.1;12.3;11.1;15.5;20.9;21.8;21.2;22.5;20.9;18.9;17.1;11.9;22.5
5910;10.0;14.5;13.2;17.9;19.1;25.0;22.9;24.5;21.8;21.8;18.7;14.6;25.0
6001;;;17.0;16.8;;23.1;;25.2;;21.8;;16.4;
1111;11.7;11.6;14.0;12.4;15.8;19.6;18.9;19.5;18.4;18.5;16.4;14.2;19.6
