Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;27;28;25;27;28;28;29;26;29;29;26;27;14
1387;Min;383;345;442;505;443;458;541;377;420;477;337;366;
1387;Q1;441;426;533;554;557;545;607;589;542;532;433;465;
1387;Q2;500;516;647;610;622;614;649;668;617;573;495;493;
1387;Q3;574;577;725;704;726;706;689;730;651;615;570;562;
1387;Q4;622;622;785;768;772;868;801;812;734;681;631;604;
1387;Max;753;738;936;1123;909;1081;1017;933;915;1002;755;760;
1387;Mn;558;540;673;662;659;635;670;710;628;596;525;551;
1387;Md;537;537;674;678;675;700;701;700;637;616;535;537;
1387;S;92.60;105.66;129.60;140.60;114.50;162.16;113.10;126.44;104.39;104.47;114.91;88.34;
1387;Cv;0.17;0.20;0.19;0.21;0.17;0.23;0.16;0.18;0.16;0.17;0.21;0.16;
1387E;N;24;26;23;25;25;26;25;23;24;25;25;23;14
1387E;Min;382;416;477;607;600;535;500;695;521;413;350;396;
1387E;Q1;455;488;654;673;694;662;774;763;666;520;441;443;
1387E;Q2;514;532;769;728;815;821;826;829;763;569;494;495;
1387E;Q3;586;633;855;830;904;964;939;877;783;684;535;555;
1387E;Q4;649;661;927;898;946;1075;1000;1019;815;770;596;615;
1387E;Max;873;795;1079;1236;1075;1242;1216;1201;1080;884;734;803;
1387E;Mn;540;589;809;734;854;888;901;854;774;660;509;521;
1387E;Md;563;580;794;801;838;878;875;887;766;640;519;539;
1387E;S;116.71;102.22;153.28;151.81;131.69;199.24;150.10;137.55;105.35;130.54;92.85;108.85;
1387E;Cv;0.21;0.18;0.19;0.19;0.16;0.23;0.17;0.16;0.14;0.20;0.18;0.20;
1428;N;22;23;23;26;28;28;27;27;29;26;23;25;7
1428;Min;222;201;212;237;411;405;451;306;346;240;166;88;
1428;Q1;282;287;440;372;454;637;650;596;409;301;241;241;
1428;Q2;306;379;543;494;558;769;834;825;530;371;309;267;
1428;Q3;346;473;606;611;684;841;956;947;720;476;356;317;
1428;Q4;463;578;864;754;895;1027;1096;1208;994;621;491;392;
