Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;27;25;27;25;26;24;25;26;26;26;25;26;23
1387;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
1387;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
1387;Q2;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8.6
1387;Q3;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.4
1387;Q4;3.0;3.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;2.8;2.6;13.2
1387;Max;6.0;5.0;5.0;11.0;2.0;1.0;2.0;1.0;2.0;2.0;6.0;4.0;18.0
1387;Mn;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;10.0
1387;Md;1.7;1.5;1.0;2.1;0.5;0.1;0.1;0.1;0.2;0.1;1.5;1.3;9.9
1387;S;1.69;1.66;1.34;2.62;0.71;0.28;0.40;0.27;0.46;0.39;1.92;1.15;3.96
1387;Cv;1.01;1.12;1.30;1.24;1.53;3.39;5.00;3.53;3.02;5.10;1.30;0.91;0.40
1387E;N;25;25;25;25;25;23;25;24;25;25;24;25;20
1387E;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
1387E;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
1387E;Q2;0.0;0.4;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4
1387E;Q3;2.0;1.0;1.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0
1387E;Q4;2.8;2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;10.0
1387E;Max;7.0;5.0;3.0;6.0;4.0;2.0;2.0;1.0;2.0;2.0;5.0;3.0;16.0
1387E;Mn;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5
1387E;Md;1.4;1.3;0.6;1.5;0.4;0.2;0.1;0.1;0.1;0.2;0.9;1.0;7.9
1387E;S;1.76;1.49;0.81;1.53;0.92;0.58;0.40;0.28;0.40;0.50;1.45;1.31;3.32
1387E;Cv;1.22;1.16;1.27;1.03;2.08;3.31;5.00;3.39;5.00;2.50;1.66;1.26;0.42
1428;N;25;24;25;25;25;26;24;25;25;25;26;26;23
1428;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1428;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8
1428;Q2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6
1428;Q3;0.0;1.0;0.6;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4
1428;Q4;2.0;2.0;1.0;2.0;0.8;0.0;0.0;0.0;0.0;0.0;1.6;1.0;8.0
1428;Max;2.0;4.0;3.0;5.0;2.0;1.0;0.0;1.0;0.0;1.0;7.0;2.0;12.0
1428;Mn;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
1428;Md;0.6;0.9;0.6;1.2;0.2;0.1;0.0;0.0;0.0;0.2;0.8;0.4;5.1
1428;S;0.87;1.19;0.82;1.38;0.52;0.27;0.00;0.20;0.00;0.37;1.53;0.64;3.04
1428;Cv;1.44;1.36;1.47;1.15;2.18;3.53;-;5.00;-;2.34;1.99;1.52;0.60
8175;N;28;28;27;29;28;30;28;30;29;29;28;29;24
8175;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8175;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8175;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8175;Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
8175;Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
8175;Max;1.0;1.0;3.0;1.0;3.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;5.0
8175;Mn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8175;Md;0.1;0.0;0.1;0.1;0.2;0.2;0.1;0.2;0.2;0.1;0.0;0.1;1.6
8175;S;0.26;0.19;0.58;0.35;0.61;0.38;0.36;0.46;0.47;0.31;0.19;0.35;1.38
8175;Cv;3.67;5.29;5.20;2.54;3.43;2.27;2.49;2.77;2.72;3.00;5.29;2.54;0.87
8178D;N;28;27;28;28;26;26;27;26;27;27;26;26;23
8178D;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8178D;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8178D;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6
8178D;Q3;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
8178D;Q4;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0
8178D;Max;1.0;2.0;2.0;2.0;3.0;3.0;1.0;2.0;2.0;1.0;1.0;1.0;6.0
8178D;Mn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
8178D;Md;0.0;0.1;0.2;0.5;0.4;0.4;0.1;0.1;0.4;0.1;0.0;0.1;2.4
8178D;S;0.19;0.46;0.48;0.69;0.80;0.70;0.27;0.43;0.56;0.36;0.20;0.27;1.64
8178D;Cv;5.29;3.08;2.66;1.39;2.09;1.81;3.60;3.74;1.53;2.44;5.10;3.53;0.69
8025;N;30;29;30;29;30;30;30;28;30;30;30;28;26
8025;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8025;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
