Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;27;25;27;25;26;24;25;26;26;26;25;26;23
1387;Min;3.0;4.0;1.0;4.0;8.0;2.0;5.0;2.0;5.0;7.0;8.0;8.0;159.0
1387;Q1;12.6;9.4;10.2;12.2;11.0;9.0;7.0;8.0;7.0;13.4;13.4;13.0;171.8
1387;Q2;17.0;13.8;15.2;15.4;14.0;10.0;9.0;11.0;10.0;17.8;17.4;15.8;179.0
1387;Q3;19.0;17.0;18.0;18.0;17.2;13.0;14.0;13.0;14.0;20.0;20.0;18.2;183.2
1387;Q4;22.0;19.8;19.4;19.8;20.0;15.0;16.8;14.0;17.6;22.0;22.8;20.6;194.2
1387;Max;26.0;23.0;29.0;22.0;24.0;23.0;20.0;20.0;23.0;25.0;27.0;29.0;201.0
1387;Mn;18.0;16.0;17.0;17.0;16.5;12.0;11.0;12.0;13.0;18.5;20.0;17.0;180.0
1387;Md;17.4;14.7;15.9;16.2;15.8;11.7;11.7;11.4;12.5;17.6;18.5;17.2;181.4
1387;S;5.24;5.38;6.04;4.51;4.62;4.12;4.54;3.77;5.21;4.91;4.99;4.95;11.59
1387;Cv;0.30;0.37;0.38;0.28;0.29;0.35;0.39;0.33;0.42;0.28;0.27;0.29;0.06
1387E;N;25;25;25;25;25;23;25;24;25;25;24;25;20
1387E;Min;3.0;3.0;0.0;5.0;6.0;4.0;4.0;1.0;5.0;8.0;9.0;7.0;157.0
1387E;Q1;12.0;9.2;11.0;11.2;9.2;8.0;7.0;7.0;7.2;14.2;12.0;14.0;163.2
1387E;Q2;17.0;13.8;14.4;16.0;14.4;9.0;9.4;10.0;10.0;18.0;17.0;16.0;172.0
1387E;Q3;18.0;18.0;16.0;19.0;17.0;11.4;13.0;11.0;12.6;19.0;20.0;18.6;182.6
1387E;Q4;22.6;19.0;20.8;20.0;21.8;12.4;15.8;13.0;16.8;21.8;22.0;21.0;190.6
1387E;Max;26.0;22.0;29.0;28.0;27.0;24.0;20.0;16.0;20.0;25.0;28.0;26.0;203.0
1387E;Mn;18.0;17.0;15.0;17.0;16.0;10.0;11.0;11.0;11.0;18.0;18.5;17.0;176.0
1387E;Md;16.9;14.6;15.4;16.6;15.8;10.7;11.4;10.1;11.7;17.8;17.8;17.0;177.3
1387E;S;5.63;5.50;6.40;5.33;5.97;3.92;4.59;3.59;4.75;4.18;5.05;5.06;13.36
1387E;Cv;0.33;0.38;0.42;0.32;0.38;0.37;0.40;0.35;0.41;0.24;0.28;0.30;0.08
1428;N;25;24;25;25;25;26;24;25;25;25;26;26;23
1428;Min;1.0;2.0;1.0;6.0;6.0;5.0;3.0;1.0;3.0;7.0;7.0;8.0;146.0
1428;Q1;13.0;7.0;9.0;11.2;12.0;6.4;6.0;7.2;7.2;13.4;10.4;14.8;165.8
1428;Q2;18.0;14.0;14.4;15.0;15.0;10.0;8.0;10.0;10.4;18.0;15.0;17.0;175.0
1428;Q3;20.0;18.0;17.6;18.2;19.0;11.0;12.0;11.6;13.0;20.6;21.2;20.2;179.8
1428;Q4;23.0;18.0;19.8;22.0;22.8;15.0;15.0;14.0;16.8;23.0;24.0;23.8;196.6
1428;Max;27.0;23.0;30.0;27.0;28.0;22.0;16.0;17.0;23.0;27.0;28.0;29.0;206.0
1428;Mn;19.0;16.5;16.0;16.0;16.0;11.0;10.5;11.0;12.0;19.0;18.5;18.5;177.0
1428;Md;17.8;14.1;15.4;16.8;17.1;11.0;10.0;10.7;12.0;18.4;17.8;18.6;179.3
1428;S;6.34;6.21;6.41;5.38;5.76;4.10;4.31;3.67;5.06;5.22;6.61;5.37;16.15
1428;Cv;0.36;0.44;0.42;0.32;0.34;0.37;0.43;0.34;0.42;0.28;0.37;0.29;0.09
8175;N;28;28;27;29;28;30;28;30;29;29;28;29;24
8175;Min;0.0;0.0;2.0;4.0;5.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;61.0
8175;Q1;2.8;3.0;4.0;7.0;6.8;3.0;1.0;1.0;4.0;4.0;4.8;5.0;76.0
8175;Q2;5.2;5.6;8.0;8.0;8.6;4.0;2.0;2.4;6.0;8.0;7.6;6.0;83.0
8175;Q3;8.0;8.0;9.0;10.0;11.0;6.0;3.0;4.0;7.0;10.0;10.0;10.0;91.0
8175;Q4;11.4;10.0;11.0;12.0;12.0;7.8;4.0;5.0;10.0;13.0;12.0;13.0;105.0
8175;Max;20.0;18.0;14.0;17.0;22.0;19.0;6.0;11.0;13.0;20.0;17.0;20.0;113.0
8175;Mn;6.0;7.0;9.0;10.0;10.0;5.5;2.0;3.0;6.0;9.0;8.0;9.0;85.5
8175;Md;7.1;6.8;7.7;9.6;10.0;5.8;2.4;3.5;6.8;9.1;8.4;9.1;88.8
8175;S;5.24;4.11;3.51;3.19;4.06;3.90;1.73;2.60;3.22;4.69;3.86;5.12;14.47
8175;Cv;0.73;0.61;0.46;0.33;0.40;0.68;0.71;0.75;0.47;0.52;0.46;0.56;0.16
8178D;N;28;27;28;28;26;26;27;26;27;27;26;26;23
8178D;Min;0.0;0.0;1.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;59.0
8178D;Q1;3.0;2.0;4.0;7.0;6.4;3.0;1.0;1.0;3.2;4.6;4.8;4.4;66.8
8178D;Q2;5.6;5.2;6.0;9.0;8.0;4.0;1.0;2.0;5.2;7.2;7.0;6.8;82.6
8178D;Q3;8.0;7.8;9.0;10.0;10.0;5.0;2.0;3.0;7.0;9.0;9.0;10.0;86.8
8178D;Q4;10.2;10.0;10.0;12.0;14.2;7.0;4.4;6.0;9.4;13.6;11.0;14.0;94.0
8178D;Max;17.0;18.0;14.0;16.0;21.0;17.0;6.0;10.0;12.0;18.0;21.0;19.0;120.0
