Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1387;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
1387;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.2
1387;Q2;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.4;1.0;15.4
1387;Q3;2.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.6;1.6;2.0;17.0
1387;Q4;3.0;2.0;2.0;3.0;3.8;2.0;2.0;2.0;3.0;2.0;3.8;2.8;20.0
1387;Max;4.0;5.0;5.0;6.0;6.0;4.0;5.0;4.0;5.0;4.0;10.0;5.0;29.0
1387;Mn;1.0;1.0;1.0;1.0;1.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;16.0
1387;Md;1.6;1.1;1.1;1.7;1.8;1.0;1.2;1.1;1.6;1.3;1.8;1.5;16.8
1387;S;1.38;1.41;1.41;1.82;1.60;1.00;1.33;1.23;1.61;1.09;2.31;1.41;4.99
1387;Cv;0.88;1.24;1.32;1.05;0.87;1.03;1.08;1.15;1.01;0.84;1.28;0.92;0.30
1387E;N;30;30;30;30;30;29;30;29;29;29;28;29;27
1387E;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1387E;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6
1387E;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.2
1387E;Q3;0.6;0.0;0.0;1.0;1.6;1.0;0.6;1.0;1.0;1.0;1.0;1.0;11.0
1387E;Q4;1.0;1.8;1.0;2.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;12.4
1387E;Max;4.0;3.0;3.0;7.0;6.0;5.0;5.0;5.0;4.0;2.0;8.0;4.0;24.0
1387E;Mn;0.0;0.0;0.0;0.5;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;10.0
1387E;Md;0.7;0.6;0.4;1.0;1.5;0.8;0.8;1.0;1.1;0.6;1.1;0.9;10.2
1387E;S;1.03;0.90;0.72;1.51;1.78;1.18;1.35;1.34;1.07;0.63;1.78;1.11;4.99
1387E;Cv;1.54;1.58;1.81;1.51;1.18;1.48;1.69;1.34;1.00;1.07;1.56;1.24;0.49
1428;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1428;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
1428;Q1;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
1428;Q2;0.0;0.0;0.0;1.0;1.0;0.4;0.0;0.0;0.0;0.0;0.0;1.0;10.8
1428;Q3;0.0;1.0;0.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;14.6
1428;Q4;1.0;1.8;1.0;3.8;4.0;2.8;2.0;2.0;1.8;2.0;2.0;1.8;18.0
1428;Max;4.0;4.0;4.0;6.0;8.0;6.0;4.0;6.0;4.0;5.0;5.0;5.0;21.0
1428;Mn;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;0.0;1.0;13.0
1428;Md;0.6;0.8;0.7;1.9;2.2;1.2;0.9;1.1;0.9;1.1;0.9;1.2;13.4
1428;S;1.07;1.10;1.12;1.99;2.08;1.59;1.01;1.46;1.07;1.34;1.25;1.42;4.04
1428;Cv;1.68;1.37;1.69;1.05;0.93;1.29;1.16;1.37;1.24;1.25;1.44;1.19;0.30
8175;N;30;30;30;30;30;30;29;30;30;30;30;30;29
8175;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
8175;Q1;0.0;0.0;0.0;0.0;1.2;1.0;0.0;1.0;2.0;0.0;0.0;0.0;14.0
8175;Q2;0.0;0.0;0.0;1.0;2.4;2.0;1.0;2.0;3.0;1.0;0.0;0.0;19.0
8175;Q3;0.0;0.0;0.6;2.0;4.0;3.6;3.0;2.0;4.0;2.0;0.0;0.0;20.0
8175;Q4;0.0;0.0;1.0;2.8;4.8;5.0;4.0;6.0;5.0;3.0;0.0;0.0;25.0
8175;Max;1.0;1.0;2.0;5.0;6.0;9.0;6.0;9.0;7.0;6.0;2.0;2.0;28.0
8175;Mn;0.0;0.0;0.0;1.0;3.5;3.0;2.0;2.0;3.0;1.0;0.0;0.0;19.0
8175;Md;0.1;0.1;0.5;1.6;3.1;3.2;2.2;2.9;3.5;1.7;0.2;0.2;19.0
8175;S;0.25;0.31;0.63;1.48;1.58;2.48;1.92;2.56;1.74;1.56;0.46;0.48;5.28
8175;Cv;3.81;3.05;1.35;0.94;0.51;0.78;0.86;0.89;0.50;0.92;2.77;2.42;0.28
8178D;N;28;28;28;28;28;27;28;28;28;28;28;27;26
8178D;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
8178D;Q1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;11.4
8178D;Q2;0.0;0.0;0.0;0.0;2.0;1.2;1.0;1.0;2.0;1.0;0.0;0.0;13.0
8178D;Q3;0.0;0.0;0.0;1.0;3.0;3.8;2.0;2.4;3.0;1.0;0.0;0.0;15.2
8178D;Q4;0.0;0.0;0.2;2.0;3.0;5.0;3.0;3.2;4.2;2.0;0.0;0.0;18.6
8178D;Max;1.0;1.0;2.0;4.0;5.0;10.0;6.0;6.0;7.0;4.0;2.0;2.0;30.0
8178D;Mn;0.0;0.0;0.0;1.0;2.0;3.0;1.5;2.0;2.0;1.0;0.0;0.0;14.5
8178D;Md;0.1;0.1;0.3;1.0;2.3;2.9;1.7;2.1;2.9;1.1;0.1;0.2;15.0
8178D;S;0.26;0.31;0.66;1.15;1.32;2.44;1.58;1.92;1.82;1.21;0.45;0.48;5.10
8178D;Cv;3.67;2.94;2.31;1.15;0.59;0.84;0.92;0.90;0.62;1.06;3.14;2.61;0.34
8025;N;30;30;30;30;30;30;30;30;30;30;30;30;30
8025;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
8025;Q1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;9.0
8025;Q2;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;11.8
8025;Q3;0.0;0.0;0.0;1.0;2.6;2.0;1.0;1.0;3.0;2.0;0.0;0.0;16.0
8025;Q4;0.0;1.0;1.0;3.0;3.8;2.0;1.0;1.8;4.0;3.0;1.0;1.0;17.8
8025;Max;2.0;2.0;2.0;8.0;6.0;6.0;3.0;5.0;10.0;10.0;2.0;2.0;25.0
8025;Mn;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;0.0;14.0
8025;Md;0.2;0.4;0.4;1.6;2.3;1.5;0.7;1.1;2.7;2.1;0.5;0.4;13.8
8025;S;0.57;0.62;0.56;1.72;1.56;1.38;0.76;1.35;2.17;2.07;0.68;0.67;4.84
8025;Cv;2.44;1.55;1.41;1.10;0.67;0.94;1.14;1.23;0.80;1.00;1.46;1.82;0.35
8019;N;30;30;30;30;30;30;30;30;30;30;30;29;29
8019;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
8019;Q1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;10.0
8019;Q2;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;2.0;1.4;0.0;0.0;13.0
8019;Q3;0.0;0.0;0.6;1.6;2.0;1.0;1.0;1.0;3.0;2.0;1.0;0.0;14.0
8019;Q4;1.0;1.0;1.0;2.0;3.0;2.0;2.0;2.0;5.0;3.0;1.0;1.0;19.0
8019;Max;3.0;3.0;2.0;7.0;6.0;7.0;3.0;4.0;11.0;8.0;3.0;2.0;27.0
8019;Mn;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;2.0;2.0;0.0;0.0;14.0
8019;Md;0.4;0.5;0.5;1.4;2.0;1.5;0.8;1.1;3.1;2.0;0.7;0.4;14.5
8019;S;0.81;0.78;0.68;1.43;1.33;1.70;0.97;1.24;2.45;2.11;0.92;0.68;5.51
8019;Cv;2.03;1.66;1.36;1.02;0.67;1.11;1.27;1.13;0.80;1.04;1.31;1.65;0.38
6325O;N;30;30;29;30;30;30;30;30;30;30;29;30;28
6325O;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
6325O;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
6325O;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0
6325O;Q3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.6;8.4
6325O;Q4;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;11.0
6325O;Max;2.0;4.0;2.0;4.0;3.0;3.0;3.0;2.0;5.0;5.0;4.0;2.0;18.0
6325O;Mn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;7.0
6325O;Md;0.5;0.5;0.3;0.6;0.5;0.6;0.5;0.6;1.1;1.0;0.9;0.5;7.4
6325O;S;0.78;0.90;0.53;1.04;0.78;0.94;0.73;0.76;1.14;1.27;0.98;0.63;4.06
6325O;Cv;1.55;1.80;1.91;1.84;1.66;1.65;1.37;1.21;1.07;1.32;1.09;1.35;0.55
9091O;N;30;30;30;30;30;30;30;30;30;30;30;30;30
9091O;Min;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
9091O;Q1;0.0;0.0;0.0;1.0;2.0;1.2;1.2;2.0;0.0;0.0;0.0;0.0;16.0
9091O;Q2;0.0;0.0;0.0;1.0;4.0;3.0;3.4;2.0;1.0;1.0;0.0;0.0;21.4
9091O;Q3;0.0;0.0;1.0;2.0;5.0;4.6;4.0;3.0;2.0;1.0;0.0;0.0;24.0
9091O;Q4;0.0;1.0;1.0;3.0;6.8;6.8;5.0;5.0;4.0;2.0;1.0;1.0;28.0
