Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;27;30;28;30;28;28;25;26;28;28;25;29;15
1387;Min;9.0;10.0;7.0;9.0;10.0;9.0;9.0;7.0;7.0;8.0;4.0;7.0;11.0
1387;Q1;10.0;11.0;12.0;12.0;11.0;10.0;10.0;9.4;9.0;9.0;9.2;11.0;12.0
1387;Q2;12.0;13.0;14.0;14.4;13.0;12.0;12.0;10.0;10.0;11.0;12.0;13.0;12.0
1387;Q3;14.8;14.0;16.0;16.0;15.0;14.0;13.0;11.2;11.4;12.0;13.6;14.0;13.0
1387;Q4;16.4;17.0;18.0;18.0;16.0;15.0;14.0;14.0;13.0;14.0;15.0;16.0;14.0
1387;Max;22.0;23.0;21.0;21.0;18.0;17.0;18.0;16.0;16.0;19.0;16.0;21.0;16.0
1387;Mn;13.0;14.0;15.0;15.0;14.0;12.5;12.0;11.0;11.0;11.0;13.0;14.0;13.0
1387;Md;13.5;14.0;14.9;15.0;13.9;13.0;12.4;11.3;11.1;11.8;12.2;13.6;12.9
1387;S;3.40;3.17;3.50;3.32;2.31;2.36;2.33;2.43;2.31;2.74;3.16;2.93;1.33
1387;Cv;0.25;0.23;0.23;0.22;0.17;0.18;0.19;0.21;0.21;0.23;0.26;0.22;0.10
1387E;N;27;28;27;27;28;27;28;23;24;27;27;26;15
1387E;Min;8.0;10.0;9.0;8.0;11.0;9.0;9.0;8.0;8.0;6.0;5.0;7.0;11.0
1387E;Q1;9.6;11.0;11.6;12.6;12.0;11.0;12.0;10.0;10.0;10.0;9.0;9.4;12.0
1387E;Q2;13.0;12.0;13.0;14.0;13.0;13.0;13.0;11.0;12.0;11.0;10.0;11.0;12.4
1387E;Q3;13.8;14.0;15.0;15.0;14.4;14.0;13.0;12.0;12.0;12.0;12.8;13.0;13.0
1387E;Q4;15.4;15.2;17.0;16.0;15.2;16.0;14.2;13.0;13.0;14.0;14.0;14.6;13.0
1387E;Max;24.0;17.0;20.0;24.0;19.0;19.0;16.0;15.0;14.0;18.0;19.0;18.0;14.0
1387E;Mn;13.0;13.0;14.0;15.0;14.0;13.0;13.0;12.0;12.0;12.0;11.0;12.0;13.0
1387E;Md;13.0;13.1;14.1;14.4;14.0;13.5;12.9;11.7;11.6;11.9;11.6;12.1;12.6
1387E;S;3.60;2.22;2.84;2.79;2.10;2.39;1.65;1.84;1.79;2.65;3.04;2.91;0.74
1387E;Cv;0.28;0.17;0.20;0.19;0.15;0.18;0.13;0.16;0.15;0.22;0.26;0.24;0.06
1428;N;26;28;28;27;24;27;29;27;26;26;28;27;14
1428;Min;8.0;8.0;9.0;10.0;11.0;11.0;10.0;9.0;7.0;8.0;5.0;7.0;
1428;Q1;10.0;10.8;11.0;11.0;12.0;12.0;11.0;11.0;9.0;10.0;9.0;10.0;
1428;Q2;12.0;12.0;13.0;14.0;13.0;12.0;12.0;11.0;10.0;10.8;11.0;11.0;
1428;Q3;13.0;13.0;14.0;15.0;14.0;13.0;13.0;12.0;11.0;12.0;12.0;12.0;
1428;Q4;15.0;14.2;16.2;16.4;15.0;14.0;14.0;13.0;13.0;14.6;13.0;14.4;
1428;Max;18.0;18.0;22.0;20.0;17.0;17.0;16.0;14.0;14.0;17.0;16.0;19.0;
1428;Mn;12.0;12.0;13.0;14.0;13.5;13.0;12.0;12.0;11.0;11.5;11.5;12.0;
1428;Md;12.4;12.5;13.6;14.2;13.5;12.8;12.6;11.8;10.8;11.8;11.3;12.1;
1428;S;2.65;2.40;2.81;2.59;1.82;1.30;1.40;1.15;1.97;2.42;2.36;3.02;
1428;Cv;0.21;0.19;0.21;0.18;0.13;0.10;0.11;0.10;0.18;0.21;0.21;0.25;
8175;N;27;26;23;24;28;25;28;27;25;24;26;21;13
8175;Min;6.0;8.0;9.0;12.0;11.0;10.0;10.0;11.0;9.0;7.0;6.0;10.0;
8175;Q1;11.0;11.0;13.0;13.0;13.0;13.2;13.0;12.0;11.0;10.0;11.0;11.4;
8175;Q2;12.0;14.0;16.0;15.0;15.0;15.0;15.0;14.0;12.4;12.0;11.8;13.0;
8175;Q3;14.0;15.0;18.0;17.0;16.0;16.0;16.0;15.0;13.0;12.0;15.0;14.0;
8175;Q4;19.0;18.0;18.2;20.0;18.0;17.0;17.0;15.0;13.8;13.0;16.0;16.8;
8175;Max;21.0;24.0;20.0;25.0;21.0;18.0;18.0;17.0;15.0;19.0;18.0;32.0;
8175;Mn;13.0;15.0;17.0;16.0;16.0;15.0;15.0;14.0;13.0;12.0;12.5;14.0;
8175;Md;14.0;14.7;16.1;16.4;15.7;15.3;15.0;14.0;12.4;12.0;12.8;14.6;
8175;S;4.13;3.53;2.87;3.49;2.54;1.95;2.03;1.60;1.45;2.49;3.12;4.72;
8175;Cv;0.29;0.24;0.18;0.21;0.16;0.13;0.13;0.11;0.12;0.21;0.24;0.32;
8178D;N;17;15;13;17;18;14;14;15;15;16;16;13;3
8178D;Min;5.0;6.0;;5.0;5.0;;;4.0;4.0;2.0;5.0;;
8178D;Q1;5.6;7.0;;7.6;7.0;;;6.2;5.0;4.0;5.4;;
8178D;Q2;7.0;8.0;;9.2;8.6;;;8.0;7.0;6.0;6.0;;
8178D;Q3;8.8;9.0;;11.0;10.0;;;9.0;7.0;7.0;8.4;;
8178D;Q4;11.8;10.0;;13.8;11.2;;;9.0;9.0;8.0;10.0;;
8178D;Max;15.0;13.0;;18.0;15.0;;;12.0;10.0;11.0;12.0;;
8178D;Mn;8.0;8.0;;10.0;9.5;;;8.0;7.0;7.0;7.0;;
8178D;Md;8.6;8.7;;10.4;9.4;;;8.0;6.9;6.4;7.8;;
8178D;S;3.16;1.98;;3.50;2.57;;;1.85;1.92;2.16;2.48;;
8178D;Cv;0.37;0.23;;0.34;0.27;;;0.23;0.28;0.34;0.32;;
8025;N;29;30;30;30;28;29;29;30;30;29;30;30;24
8025;Min;4.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;5.0;4.0;4.0;3.0;5.0
8025;Q1;5.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;6.0;6.0;5.2;5.0;7.0
8025;Q2;6.0;7.4;8.0;8.4;8.0;8.0;7.0;7.0;7.0;6.0;6.0;6.0;7.0
8025;Q3;7.0;9.0;9.0;9.0;9.0;8.0;8.0;8.0;8.0;7.0;7.0;7.0;8.0
8025;Q4;9.0;9.0;10.0;11.0;10.2;10.0;9.0;9.0;9.0;8.0;8.0;8.0;9.0
8025;Max;10.0;10.0;12.0;12.0;11.0;12.0;10.0;11.0;10.0;9.0;11.0;12.0;10.0
8025;Mn;7.0;8.0;8.0;9.0;8.0;8.0;8.0;8.0;8.0;7.0;6.0;6.5;8.0
8025;Md;7.0;7.8;8.5;8.9;8.6;8.3;7.7;7.9;7.6;6.8;6.8;6.5;7.7
8025;S;1.67;1.64;1.72;1.77;1.57;1.52;1.14;1.45;1.52;1.51;1.64;1.80;1.13
8025;Cv;0.24;0.21;0.20;0.20;0.18;0.18;0.15;0.18;0.20;0.22;0.24;0.27;0.15
8019;N;30;29;30;27;29;27;30;27;28;28;28;28;16
8019;Min;6.0;10.0;9.0;10.0;10.0;11.0;10.0;9.0;8.0;7.0;8.0;7.0;11.0
8019;Q1;10.0;11.0;12.0;12.0;12.0;12.0;11.0;11.0;10.8;9.0;10.0;10.0;12.0
8019;Q2;11.4;12.0;13.0;13.0;13.0;13.0;12.0;12.0;12.0;10.0;11.0;12.0;13.0
8019;Q3;13.0;14.0;14.0;14.0;13.0;13.0;13.0;12.8;13.0;11.4;12.0;13.0;13.0
8019;Q4;14.0;14.0;15.0;15.4;15.0;14.4;13.8;13.0;13.2;13.0;13.2;14.0;13.0
8019;Max;17.0;16.0;16.0;19.0;17.0;16.0;14.0;15.0;14.0;14.0;15.0;16.0;13.0
8019;Mn;13.0;13.0;13.0;14.0;13.0;13.0;12.0;12.0;12.5;11.0;12.0;13.0;13.0
8019;Md;12.2;13.0;13.5;14.0;13.2;13.3;12.2;12.0;12.0;10.8;11.7;12.1;12.6
8019;S;2.70;1.66;1.76;2.23;1.59;1.39;1.30;1.44;1.68;1.96;1.72;2.18;0.73
8019;Cv;0.22;0.13;0.13;0.16;0.12;0.10;0.11;0.12;0.14;0.18;0.15;0.18;0.06
6325O;N;30;27;28;28;28;29;25;30;28;30;27;28;16
6325O;Min;9.0;11.0;11.0;14.0;13.0;12.0;10.0;10.0;12.0;9.0;9.0;11.0;13.0
6325O;Q1;12.0;12.6;14.0;16.0;16.0;15.0;13.2;12.2;13.0;13.0;12.0;13.0;13.8
6325O;Q2;13.4;15.0;16.0;17.0;17.0;16.0;15.0;14.4;14.0;13.0;13.0;14.0;15.0
6325O;Q3;15.0;16.0;17.0;18.0;18.0;17.0;16.0;15.6;15.0;15.0;14.0;14.4;15.2
6325O;Q4;15.8;18.0;18.2;20.0;18.2;18.0;17.0;17.0;17.0;16.0;16.0;16.0;16.0
6325O;Max;19.0;19.0;19.0;22.0;20.0;20.0;20.0;20.0;21.0;19.0;20.0;19.0;17.0
6325O;Mn;14.0;15.0;16.0;17.5;17.0;17.0;16.0;15.0;14.5;14.5;14.0;14.0;15.0
6325O;Md;14.0;15.2;16.3;17.7;17.1;16.4;15.4;14.8;14.9;14.4;14.0;14.4;15.1
6325O;S;2.38;2.58;2.12;2.02;1.72;2.04;2.36;2.39;2.10;2.22;2.33;1.83;1.26
6325O;Cv;0.17;0.17;0.13;0.11;0.10;0.12;0.15;0.16;0.14;0.15;0.17;0.13;0.08
9091O;N;30;30;30;30;30;29;29;30;30;29;29;29;25
9091O;Min;6.0;6.0;5.0;5.0;7.0;7.0;7.0;7.0;6.0;6.0;5.0;5.0;8.0
9091O;Q1;7.0;8.0;9.0;9.0;8.2;8.0;9.0;8.0;7.0;7.0;6.0;7.0;8.2
9091O;Q2;8.0;9.0;9.4;11.0;9.0;9.0;9.0;9.0;8.0;8.0;8.0;8.0;9.0
9091O;Q3;10.0;9.6;11.0;11.0;10.0;10.0;11.0;9.6;8.0;8.0;9.0;9.0;9.6
9091O;Q4;11.8;11.0;13.0;12.8;12.8;11.0;12.0;11.0;10.0;10.0;10.0;11.0;10.0
9091O;Max;14.0;15.0;16.0;18.0;14.0;14.0;15.0;13.0;16.0;13.0;14.0;16.0;12.0
9091O;Mn;9.0;9.0;10.5;11.0;10.0;10.0;10.0;9.0;8.0;8.0;8.0;8.0;9.0
9091O;Md;9.2;9.4;10.7;11.0;10.1;9.6;10.3;9.5;8.5;8.4;8.4;9.2;9.4
9091O;S;2.27;2.17;2.59;2.24;1.89;1.76;1.81;1.55;1.96;1.70;2.21;2.48;1.16
9091O;Cv;0.25;0.23;0.24;0.20;0.19;0.18;0.18;0.16;0.23;0.20;0.26;0.27;0.12
1212E;N;28;28;29;29;30;30;30;28;29;28;28;26;22
1212E;Min;8.0;8.0;10.0;10.0;8.0;9.0;8.0;9.0;8.0;7.0;8.0;7.0;10.0
1212E;Q1;9.8;10.0;12.0;12.0;10.0;10.2;10.2;10.0;10.0;10.0;10.0;10.0;12.0
1212E;Q2;12.0;13.0;14.0;14.0;11.0;11.0;12.0;10.6;11.0;11.0;11.0;11.0;12.0
1212E;Q3;14.0;14.0;14.0;15.0;12.0;12.0;12.0;12.0;13.0;11.4;13.0;12.2;13.0
1212E;Q4;16.0;15.4;17.0;17.0;13.0;13.0;13.0;12.0;14.0;13.2;15.0;14.0;13.4
1212E;Max;22.0;20.0;19.0;20.0;20.0;18.0;15.0;14.0;15.0;15.0;18.0;21.0;16.0
1212E;Mn;13.0;13.0;14.0;14.0;12.0;12.0;12.0;11.0;11.0;11.0;12.5;11.5;12.0
1212E;Md;13.1;13.2;14.2;14.3;11.7;11.8;11.8;11.1;11.8;11.3;12.3;12.1;12.5
1212E;S;3.48;2.80;2.38;2.54;2.12;1.79;1.59;1.34;1.95;1.98;2.54;2.88;1.26
1212E;Cv;0.27;0.21;0.17;0.18;0.18;0.15;0.14;0.12;0.16;0.18;0.21;0.24;0.10
1208H;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1208H;Min;;;;;;;;;;;;;
1208H;Q1;;;;;;;;;;;;;
1208H;Q2;;;;;;;;;;;;;
1208H;Q3;;;;;;;;;;;;;
1208H;Q4;;;;;;;;;;;;;
1208H;Max;;;;;;;;;;;;;
1208H;Mn;;;;;;;;;;;;;
1208H;Md;;;;;;;;;;;;;
1208H;S;;;;;;;;;;;;;
1208H;Cv;;;;;;;;;;;;;
1249I;N;30;29;27;29;27;23;27;27;29;25;27;28;19
1249I;Min;5.0;6.0;6.0;6.0;6.0;6.0;7.0;6.0;6.0;5.0;5.0;5.0;7.0
1249I;Q1;6.2;8.0;8.0;8.0;7.0;6.8;7.0;6.0;7.0;6.2;6.0;6.0;7.0
1249I;Q2;8.0;8.0;9.2;9.0;8.0;7.6;7.0;7.0;8.0;8.0;8.0;7.0;8.0
1249I;Q3;9.6;10.0;11.0;11.0;9.0;9.0;9.0;8.0;9.0;8.6;10.0;9.0;11.0
1249I;Q4;11.8;13.0;15.0;14.0;12.0;11.0;12.0;10.0;10.0;11.6;12.0;11.0;12.0
1249I;Max;19.0;15.0;19.0;18.0;16.0;12.0;13.0;11.0;12.0;16.0;14.0;24.0;13.0
1249I;Mn;8.5;9.0;10.0;10.0;9.0;8.0;7.0;7.0;8.0;8.0;9.0;8.0;8.0
1249I;Md;9.4;9.8;10.9;10.8;9.5;8.6;8.9;7.9;8.3;8.8;9.0;9.0;9.5
1249I;S;3.48;2.63;3.51;3.03;2.67;2.04;2.21;1.63;1.65;2.82;2.59;3.89;2.39
1249I;Cv;0.37;0.27;0.32;0.28;0.28;0.24;0.25;0.21;0.20;0.32;0.29;0.43;0.25
2444;N;21;20;17;18;19;15;16;20;14;21;18;16;6
2444;Min;4.0;6.0;7.0;8.0;6.0;7.0;7.0;7.0;;5.0;7.0;6.0;
2444;Q1;7.4;8.2;9.6;10.0;10.0;8.2;8.0;7.2;;7.0;7.0;7.4;
2444;Q2;9.0;10.0;11.0;10.0;10.0;10.0;9.0;9.0;;8.8;9.0;9.0;
2444;Q3;10.2;10.6;12.0;11.4;12.0;10.0;10.0;10.6;;10.0;10.4;10.0;
2444;Q4;11.6;11.0;12.4;13.2;12.0;11.0;11.6;11.0;;11.0;11.0;11.6;
2444;Max;16.0;12.0;15.0;14.0;13.0;13.0;13.0;12.0;;12.0;14.0;12.0;
2444;Mn;9.0;10.0;11.0;10.0;11.0;10.0;9.5;10.0;;10.0;10.0;9.0;
2444;Md;9.6;9.9;11.2;11.2;10.7;9.8;9.8;9.6;;9.2;9.7;9.3;
2444;S;2.50;1.71;1.85;1.83;1.86;1.47;1.69;1.73;;1.99;2.19;1.99;
2444;Cv;0.26;0.17;0.17;0.16;0.17;0.15;0.17;0.18;;0.22;0.23;0.21;
4452;N;30;29;30;30;27;30;30;30;28;29;30;29;24
4452;Min;5.0;6.0;9.0;9.0;10.0;8.0;7.0;5.0;5.0;4.0;5.0;4.0;9.0
4452;Q1;7.0;8.0;9.0;11.0;11.0;10.0;9.0;9.0;8.0;7.0;7.0;8.0;10.0
4452;Q2;8.0;10.0;11.0;12.0;12.0;11.0;11.0;10.0;8.0;9.0;8.4;9.0;10.0
4452;Q3;9.6;10.0;12.0;12.0;13.0;12.0;12.0;11.0;9.4;9.0;9.0;11.0;11.0
4452;Q4;10.8;12.0;12.8;13.8;13.4;13.0;12.0;11.0;10.2;11.0;10.0;13.0;11.0
4452;Max;15.0;15.0;15.0;17.0;16.0;14.0;14.0;12.0;13.0;14.0;13.0;15.0;12.0
4452;Mn;8.0;10.0;11.0;12.0;13.0;12.0;11.0;10.0;9.0;9.0;9.0;10.0;11.0
4452;Md;8.9;10.1;11.3;12.3;12.4;11.3;11.0;9.9;9.0;9.0;8.9;9.9;10.6
4452;S;2.49;2.11;1.73;2.07;1.50;1.56;1.87;1.67;1.87;2.34;2.01;2.77;0.83
4452;Cv;0.28;0.21;0.15;0.17;0.12;0.14;0.17;0.17;0.21;0.26;0.23;0.28;0.08
B954;N;26;29;27;29;27;28;27;25;25;27;22;25;11
B954;Min;8.0;10.0;10.0;11.0;12.0;11.0;10.0;11.0;9.0;8.0;8.0;10.0;
B954;Q1;10.8;12.0;11.6;13.0;13.0;13.0;12.0;11.0;10.2;10.6;10.6;11.0;
B954;Q2;13.0;13.0;13.0;14.0;13.0;13.6;13.0;12.0;11.0;13.0;13.0;12.4;
B954;Q3;14.0;15.0;14.8;14.0;14.0;14.4;13.0;13.0;12.0;14.0;13.0;14.0;
B954;Q4;17.0;16.0;15.4;16.0;15.0;15.0;14.0;14.0;13.0;14.4;16.4;16.0;
B954;Max;19.0;18.0;19.0;20.0;17.0;17.0;15.0;15.0;14.0;17.0;19.0;27.0;
B954;Mn;13.5;14.0;14.0;14.0;14.0;14.0;13.0;12.0;11.0;13.0;13.0;13.0;
B954;Md;13.6;13.9;13.7;14.3;13.9;14.0;13.1;12.6;11.7;12.8;13.3;13.8;
B954;S;3.01;2.20;2.35;2.16;1.25;1.32;1.19;1.35;1.46;2.27;2.93;3.52;
B954;Cv;0.22;0.16;0.17;0.15;0.09;0.09;0.09;0.11;0.13;0.18;0.22;0.26;
B893;N;28;25;28;24;26;30;29;26;25;27;27;27;14
B893;Min;11.0;12.0;12.0;14.0;13.0;12.0;12.0;13.0;11.0;11.0;13.0;13.0;
B893;Q1;13.8;13.0;16.0;15.0;15.0;15.2;15.0;14.0;12.0;13.0;14.0;15.6;
B893;Q2;15.0;14.0;17.0;16.0;15.0;16.0;16.0;15.0;13.0;14.2;15.0;17.0;
B893;Q3;17.0;17.0;18.0;18.0;16.0;16.0;17.0;16.0;15.0;16.0;16.0;18.8;
B893;Q4;18.2;18.8;19.0;19.0;18.0;18.0;17.0;16.0;16.0;17.0;18.4;19.4;
B893;Max;31.0;21.0;23.0;25.0;22.0;22.0;24.0;21.0;20.0;19.0;24.0;26.0;
B893;Mn;16.0;16.0;17.0;17.0;16.0;16.0;16.0;15.0;14.0;16.0;16.0;18.0;
B893;Md;16.8;16.0;17.4;17.4;16.3;16.4;16.2;15.3;14.3;15.2;16.0;18.0;
B893;S;3.94;2.73;2.54;2.55;2.11;1.94;2.29;1.83;2.23;2.06;2.70;2.86;
B893;Cv;0.24;0.17;0.15;0.15;0.13;0.12;0.14;0.12;0.16;0.14;0.17;0.16;
B228;N;29;27;29;29;28;29;30;29;27;28;30;27;18
B228;Min;2.0;4.0;5.0;5.0;4.0;5.0;4.0;4.0;3.0;4.0;3.0;4.0;5.0
B228;Q1;5.0;5.0;6.0;6.0;7.0;6.0;6.2;6.0;5.0;4.8;4.2;4.0;6.0
B228;Q2;5.0;6.0;7.0;7.0;7.0;7.0;7.0;6.0;6.0;5.0;5.0;5.0;6.0
B228;Q3;6.0;7.0;7.0;8.0;7.4;8.0;7.0;7.0;6.0;6.0;6.0;6.0;7.0
B228;Q4;7.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;7.0;7.0;7.0;6.4;7.0
B228;Max;8.0;8.0;10.0;10.0;10.0;9.0;10.0;9.0;7.0;10.0;8.0;11.0;7.0
B228;Mn;5.0;6.0;7.0;7.0;7.0;7.0;7.0;7.0;6.0;5.0;5.5;6.0;6.5
B228;Md;5.7;6.3;7.2;7.3;7.3;7.2;7.2;6.7;6.0;5.6;5.5;5.6;6.4
B228;S;1.31;1.30;1.36;1.16;1.12;1.04;1.13;1.19;1.07;1.39;1.36;1.47;0.70
B228;Cv;0.23;0.21;0.19;0.16;0.15;0.14;0.16;0.18;0.18;0.25;0.25;0.26;0.11
B278;N;26;27;28;26;28;26;29;27;26;23;24;28;18
