Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;20;17;29;19;11;14;7;7;6;12;19;16;177
1387E;24;18;28;17;10;15;8;;9;13;21;19;
1428;26;17;28;22;11;15;11;4;3;15;22;21;195
8175;9;8;16;6;7;3;0;7;6;9;10;4;85
8178D;10;10;17;10;10;3;0;7;7;10;14;5;103
8025;3;6;10;6;4;5;0;2;6;8;8;1;59
8019;9;6;13;7;5;4;1;3;7;8;8;1;72
6325O;7;4;13;5;4;3;0;0;5;10;5;1;57
9091O;25;22;22;19;15;11;8;2;9;12;18;8;171
1212E;19;21;25;18;15;17;16;12;6;13;15;11;188
1208H;18;21;26;15;15;19;15;10;7;16;19;10;191
1249I;16;22;26;19;17;17;19;10;9;16;16;10;197
2444;7;9;20;19;14;11;2;1;5;13;19;7;127
4452;11;5;22;14;8;2;1;0;2;13;12;7;97
B954;9;15;13;8;6;3;0;5;11;13;9;7;99
B893;10;16;15;11;9;6;2;5;7;12;16;7;116
B228;5;14;13;8;6;4;1;4;8;14;13;1;91
B278;7;14;14;8;5;4;0;4;7;15;12;1;91
0200E;6;13;14;12;13;6;5;7;9;14;15;1;115
0076;6;13;11;10;9;;5;8;12;13;9;1;
1082;23;22;23;19;16;17;14;12;8;11;19;12;196
2331;9;18;22;15;11;15;9;1;3;9;22;9;143
3469A;7;6;22;14;9;6;1;0;4;11;15;5;100
5973;12;5;25;13;4;2;0;1;3;14;15;4;98
5960;12;9;24;15;5;4;0;0;2;15;17;7;110
5910;10;6;24;14;4;4;0;0;3;13;14;4;96
6001;10;12;;18;3;2;;0;1;16;15;6;
1111;18;20;22;15;14;15;16;9;6;11;17;12;175
1109;19;21;21;17;15;15;15;11;5;12;11;12;174
8500A;6;6;6;8;7;3;2;4;9;7;11;2;71
5000C;12;10;23;13;2;;1;0;3;16;13;;
4121;10;9;22;14;14;5;0;2;5;14;13;8;116
5402;10;7;23;12;8;2;0;0;5;13;15;4;99
8096;8;8;22;17;13;6;0;6;8;9;18;4;119
1014;24;21;25;20;19;16;18;12;6;10;18;15;204
1024E;22;21;23;19;17;15;18;11;7;12;19;12;196
0367;6;10;12;8;15;8;7;8;5;20;;2;
5530E;9;7;24;10;11;1;0;2;8;;12;1;
5514;9;8;23;11;13;2;0;2;9;11;13;1;102
3013;6;12;20;14;15;10;3;6;7;10;14;5;122
4642E;6;3;20;11;7;5;0;0;2;13;16;5;88
9898;9;5;15;15;13;7;5;4;5;10;13;8;109
5270B;9;10;24;9;8;2;0;2;4;11;13;5;97
9170;10;17;19;12;14;9;9;0;4;12;18;7;131
C249I;7;10;2;3;0;0;0;1;1;8;11;1;44
C649I;11;16;1;7;1;1;0;1;1;11;13;1;64
C029O;15;13;3;5;2;1;0;2;2;11;10;0;64
2661;9;10;22;14;12;14;8;1;3;8;17;13;131
1549;13;10;25;13;11;11;9;1;4;10;20;10;137
9771C;4;6;14;13;11;6;4;5;4;10;13;10;100
1505;21;19;28;17;13;16;9;3;5;14;23;13;181
3191E;8;7;23;17;14;10;1;3;9;15;22;7;136
3195;7;7;21;13;14;9;0;0;5;15;17;5;113
3129;7;5;19;13;14;10;0;1;5;14;17;6;111
3196;7;5;21;14;9;8;0;1;6;14;18;5;108
3200;8;7;20;11;8;6;0;1;4;11;16;5;97
3175;7;7;18;12;13;11;0;1;5;14;16;4;108
2462;17;20;25;16;21;12;3;2;11;17;24;10;178
6155A;9;5;19;9;5;0;0;0;5;13;12;2;79
6000A;11;10;14;13;3;0;0;2;9;11;8;1;82
7178I;9;5;11;6;3;3;0;3;6;10;8;2;66
7228;8;5;11;6;4;3;0;2;5;13;9;3;69
7031;7;7;14;4;4;6;0;0;8;12;11;8;81
9262;17;15;22;14;14;11;7;3;;7;15;8;
9263D;21;17;23;15;17;11;7;6;5;9;22;12;165
1690A;15;13;25;18;12;12;6;2;4;9;19;12;147
1484C;20;14;26;19;11;17;8;5;4;13;21;20;178
1495;22;13;28;17;10;15;6;4;9;12;22;19;177
2867;9;4;21;17;12;14;0;1;6;10;16;11;121
2870;12;6;23;18;;11;4;0;;8;17;;
C929I;7;11;4;5;2;2;0;4;0;14;13;1;63
C430E;11;13;2;6;1;1;0;2;4;6;8;0;54
C139E;12;19;3;4;9;1;0;3;1;10;12;2;76
C449C;15;15;0;8;1;1;0;1;0;9;11;0;61
C447A;19;16;12;17;14;11;2;4;1;19;17;4;136
C429I;2;5;2;0;1;0;0;0;0;5;4;1;20
2465;12;11;22;14;14;13;2;2;7;11;20;9;137
5796;9;6;25;14;4;1;0;0;4;14;15;4;96
5783;8;5;21;14;9;2;0;0;2;12;15;4;92
2030;9;12;26;11;18;15;6;1;4;11;20;7;140
0016A;3;7;13;14;6;4;6;8;8;11;16;1;97
9981A;4;7;12;9;11;7;5;4;8;9;15;2;93
9381I;9;11;18;12;14;9;4;7;9;;;3;
8368U;4;11;16;8;14;8;4;9;8;10;12;2;106
3260B;8;8;22;13;9;6;0;1;2;16;12;5;102
8416;8;9;7;5;5;5;1;7;12;11;16;3;89
8414A;6;8;11;7;5;2;2;6;12;9;16;3;87
2422;7;6;21;14;10;13;3;0;4;8;18;8;112
2539;9;7;21;15;9;13;4;0;4;8;18;11;119
2614;8;3;20;15;8;14;4;0;5;6;17;8;108
9390;5;12;18;13;14;11;5;4;9;11;17;4;123
9434;6;8;13;11;11;4;5;4;5;7;14;5;93
