Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;1;0;0;0;0;0;0;0;0;3;1;5
1387E;0;0;0;0;0;1;0;;0;0;3;0;
1428;0;0;1;0;0;0;0;0;0;1;4;0;6
8175;0;0;0;0;0;1;0;0;1;0;0;0;2
8178D;0;0;0;0;0;1;0;0;1;0;0;0;2
8025;1;0;0;0;0;0;0;0;0;0;0;0;1
8019;1;0;0;0;0;0;0;0;0;0;0;0;1
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;0;0;0;0;0;0;0;0;0;1;0;0;1
1212E;0;0;0;0;1;0;0;0;1;4;1;0;7
1208H;0;0;0;0;0;0;0;0;0;2;1;0;3
1249I;0;2;1;0;1;1;1;0;0;3;0;0;9
2444;0;0;0;0;0;0;0;0;0;0;0;0;0
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;1;0;0;0;0;0;0;0;0;1;1;0;3
B893;1;0;1;0;0;0;0;1;1;2;0;0;6
B228;0;0;0;0;0;0;0;0;0;1;0;0;1
B278;0;0;0;0;0;0;0;0;0;1;0;0;1
0200E;1;1;2;1;0;0;1;0;0;2;2;0;10
0076;1;1;0;0;0;;0;1;0;0;1;0;
1082;2;3;0;2;0;0;0;0;0;2;0;0;9
2331;0;0;0;0;0;0;0;0;0;0;0;0;0
3469A;0;0;2;0;0;0;0;0;0;0;0;0;2
5973;0;0;0;0;0;0;0;0;0;1;1;0;2
5960;0;0;3;0;0;0;0;0;0;0;0;0;3
5910;0;0;2;0;0;0;0;0;0;1;2;0;5
6001;0;0;;1;0;0;;0;0;1;1;0;
1111;1;1;1;0;0;1;1;0;0;1;0;0;6
1109;1;1;3;1;1;0;2;0;0;1;1;0;11
8500A;0;0;0;0;0;1;0;1;2;1;2;0;7
5000C;0;1;3;1;0;;0;0;0;1;1;;
4121;0;0;0;0;1;0;0;0;0;0;0;0;1
5402;0;0;0;0;0;0;0;0;0;0;0;0;0
8096;0;0;1;0;1;0;0;0;1;0;0;0;3
1014;3;2;0;2;1;3;3;0;0;0;0;1;15
1024E;2;4;0;3;0;0;1;0;0;2;1;1;14
0367;0;1;0;1;1;0;0;1;0;3;;0;
5530E;0;0;1;0;0;0;0;0;0;;0;0;
5514;0;0;1;0;0;0;0;0;0;0;0;0;1
3013;0;0;0;0;0;1;0;0;0;1;0;0;2
4642E;0;1;0;1;0;0;0;0;0;0;0;0;2
9898;0;0;0;2;0;0;0;0;0;1;0;0;3
5270B;0;0;2;1;0;0;0;1;1;0;0;0;5
9170;1;0;0;0;0;0;0;0;0;0;0;0;1
C249I;0;0;0;0;0;0;0;0;0;1;0;0;1
C649I;0;1;0;0;0;0;0;0;0;0;0;0;1
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;0;0;0;0;0;0;0;0;0;0;0;0;0
1549;0;0;0;0;0;0;0;0;0;0;0;0;0
9771C;0;0;0;0;1;0;1;0;0;1;0;0;3
1505;0;0;1;0;0;0;0;0;0;1;0;0;2
3191E;0;1;2;0;0;0;0;0;0;0;0;0;3
3195;0;0;0;0;0;0;0;0;0;0;0;0;0
3129;0;0;0;0;0;0;0;0;0;0;0;0;0
3196;0;0;0;0;1;0;0;0;0;0;0;0;1
3200;0;0;0;0;0;0;0;0;1;0;0;0;1
3175;0;0;0;0;0;0;0;0;0;0;0;0;0
2462;1;1;4;1;1;0;0;0;0;2;1;0;11
6155A;0;1;2;0;0;0;0;0;0;2;1;0;6
6000A;0;1;0;1;0;0;0;0;0;1;0;0;3
7178I;1;0;0;0;0;0;0;0;0;0;0;0;1
7228;1;0;0;0;0;1;0;0;0;0;2;0;4
7031;0;0;0;0;0;0;0;0;1;1;1;0;3
9262;1;0;0;2;1;0;0;0;;0;1;0;
9263D;1;0;0;2;1;0;0;0;0;0;0;0;4
1690A;0;0;0;0;0;2;0;0;1;1;0;0;4
1484C;0;2;2;1;0;0;0;0;0;1;2;2;10
1495;1;1;2;1;0;1;0;0;0;0;2;1;9
2867;0;0;1;0;0;0;0;0;0;0;0;0;1
2870;0;0;1;0;;0;0;0;;0;0;;
C929I;0;1;0;0;0;0;0;0;0;0;0;0;1
C430E;1;0;0;0;0;0;0;0;0;1;0;0;2
C139E;0;0;0;0;0;0;0;0;0;1;0;0;1
C449C;0;0;0;0;0;0;0;0;0;1;0;0;1
C447A;0;1;0;0;0;0;0;0;0;1;2;0;4
C429I;0;1;0;0;0;0;0;0;0;0;0;0;1
2465;1;0;0;0;1;0;0;0;0;0;0;0;2
5796;0;0;2;0;0;0;0;0;0;1;0;0;3
5783;0;0;0;0;0;0;0;0;0;0;1;0;1
2030;0;0;0;0;1;2;0;0;0;0;0;0;3
0016A;0;1;0;0;0;0;0;1;1;2;0;0;5
9981A;0;0;0;0;0;0;0;1;1;3;1;0;6
9381I;0;0;0;1;0;1;0;1;0;;;0;
8368U;0;0;0;0;0;0;0;0;0;2;0;0;2
3260B;0;0;0;0;1;0;0;0;0;0;0;0;1
8416;0;0;0;0;0;1;0;0;2;1;1;0;5
8414A;0;0;0;0;0;1;0;0;2;1;1;0;5
2422;0;0;0;0;0;0;0;0;0;0;0;0;0
2539;0;0;0;0;1;0;0;0;0;0;0;0;1
2614;0;0;0;0;0;0;0;0;0;0;0;0;0
9390;0;0;0;1;0;2;0;0;0;0;0;0;3
9434;0;0;0;1;1;0;0;1;0;0;0;0;3
