Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;0;0;0;0;0
1387E;0;4;1;0;0;0;0;0;0;0;0;1;6
1428;3;6;1;1;0;0;0;0;0;0;1;0;12
8175;12;16;3;0;0;0;0;0;0;0;5;13;49
8178D;6;12;2;0;0;0;0;0;0;0;1;6;27
8025;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;0;0;0;0;0;0;;0;0;0;;;
6325O;0;0;0;0;0;0;0;0;;0;0;0;
9091O;9;14;5;0;1;0;0;0;0;1;1;11;42
1212E;0;2;;0;;0;;0;0;0;0;0;
1208H;0;1;0;0;0;0;0;0;0;0;0;0;1
1249I;0;8;0;0;0;0;0;0;0;0;0;0;8
2444;19;20;7;1;0;0;0;0;0;3;6;9;65
4452;2;5;0;0;0;0;0;0;0;0;0;1;8
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;0;0;0;0;0;0;0;0;;0;0;0;
B228;0;0;0;0;0;0;0;0;0;0;0;0;0
B278;0;7;0;0;0;0;0;0;0;0;0;0;7
0200E;0;4;1;0;0;0;0;0;0;0;0;0;5
0076;0;0;0;0;0;;0;0;0;0;0;0;
1082;0;8;0;0;0;0;0;0;0;0;0;0;8
2331;18;22;9;0;2;0;0;0;0;2;3;11;67
3469A;1;7;0;0;0;0;0;0;0;0;0;0;8
5973;0;0;0;0;0;0;0;0;0;0;0;0;0
5960;0;9;0;0;0;0;0;;0;0;0;;
5910;0;1;0;0;0;0;0;0;0;0;0;0;1
6001;0;0;;;;0;;0;0;0;;0;
1111;0;2;0;0;0;0;0;0;0;0;0;0;2
1109;0;1;0;0;0;0;0;0;0;0;0;0;1
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;0;0;0;0;0;0;0;0;0;0;0;0;0
4121;5;10;1;0;0;0;0;0;0;0;1;6;23
5402;2;9;0;0;0;0;0;0;0;0;0;1;12
8096;13;17;5;0;1;0;0;0;0;1;3;11;51
1014;0;5;0;0;0;0;0;0;0;0;0;0;5
1024E;0;4;0;0;0;0;0;0;0;0;0;0;4
0367;;18;4;;0;;0;0;;0;;3;
5530E;13;14;1;0;0;0;0;0;0;1;2;16;47
5514;7;15;2;;0;0;0;0;0;1;2;9;
3013;24;21;10;3;4;0;0;0;0;3;7;22;94
4642E;0;2;0;0;0;0;0;0;0;0;0;0;2
9898;3;17;3;0;0;0;0;0;0;0;0;2;25
5270B;0;2;0;0;;0;0;0;0;;0;0;
9170;7;8;1;0;0;0;0;0;0;1;2;5;24
C249I;;;0;;0;0;0;0;0;0;0;0;
C649I;0;0;;;0;0;;0;;0;0;;
C029O;0;0;0;0;0;;0;0;0;;0;0;
2661;20;22;14;3;2;0;0;0;0;1;4;11;77
1549;8;18;4;0;0;0;0;0;0;0;0;6;36
9771C;11;15;3;0;0;0;0;0;0;0;1;2;32
1505;6;13;2;0;1;0;0;0;0;0;2;5;29
3191E;9;14;5;0;0;0;0;0;0;0;1;0;29
3195;3;8;1;0;0;0;0;0;0;0;0;0;12
3129;15;14;1;0;0;0;0;0;0;0;2;14;46
3196;4;9;2;0;0;0;0;0;0;0;0;0;15
3200;3;13;0;0;0;0;0;0;0;0;0;2;18
3175;16;18;3;0;0;0;0;0;0;0;1;13;51
2462;24;25;29;17;7;0;0;0;0;6;18;13;139
6155A;0;0;0;0;0;0;0;0;0;0;0;0;0
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;0;0;0;0;0;0;0;0;0;0;0;0;0
7228;2;1;0;0;0;0;0;0;0;0;0;1;4
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9262;2;7;2;0;0;0;0;0;0;0;0;0;11
9263D;12;13;5;0;0;0;0;0;0;1;;5;
1690A;2;10;2;0;0;0;0;0;0;0;0;1;15
1484C;0;1;0;0;0;0;0;0;0;0;0;0;1
1495;2;2;0;0;0;0;0;0;0;0;0;0;4
2867;21;22;5;1;1;0;;0;0;2;6;20;
2870;12;18;1;0;0;0;0;0;0;1;0;6;38
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;14;24;3;10;4;0;0;0;0;0;10;0;65
C139E;;0;;0;0;0;0;0;0;0;0;0;
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;;0;0;0;;0;;0;0;0;0;0;
2465;14;20;6;2;1;0;0;0;0;2;0;2;47
5796;0;5;0;0;0;0;0;0;0;0;0;0;5
5783;0;1;0;0;0;0;0;0;0;0;0;0;1
2030;19;21;7;0;2;0;0;0;0;2;2;14;67
0016A;2;7;0;0;0;0;0;0;0;0;0;1;10
9981A;0;1;0;0;0;0;0;0;0;0;0;0;1
9381I;17;19;5;2;1;0;0;0;0;2;4;17;67
8368U;19;18;8;2;1;0;0;0;0;3;6;25;82
3260B;4;10;2;0;0;0;0;0;0;0;1;6;23
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;0;6;0;0;0;0;0;0;0;0;0;0;6
2422;15;21;1;0;0;0;0;0;0;1;1;7;46
2539;18;22;11;1;2;;0;0;0;3;3;13;
2614;11;18;3;0;0;0;0;0;0;0;1;4;37
9390;18;17;6;1;1;0;0;0;0;2;5;14;64
9434;2;7;0;0;0;0;0;0;0;0;0;2;11
