Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;;;;5;;;;0;;8;8;11;
1387E;;5;18;5;0;;;0;;;;12;
1428;4;;13;4;0;0;0;;0;;7;6;
8175;4;2;19;6;2;2;1;4;;;3;3;
8178D;0;;11;3;;;0;1;0;1;1;1;
8025;2;0;4;2;;0;0;0;0;1;;0;
8019;10;2;9;7;1;1;;1;2;2;;;
6325O;9;8;;14;8;;3;4;;8;6;2;
9091O;;;;4;;0;1;;0;;4;1;
1212E;11;8;;;;;;0;0;;8;;
1249I;5;2;;1;0;0;;;;;2;;
2444;0;0;9;3;0;0;1;1;0;0;2;2;18
4452;1;1;9;2;1;0;0;0;0;0;1;1;16
B954;;4;15;;1;0;1;;;5;7;2;
B893;;10;;;;;1;;0;;8;1;
B228;3;0;5;;0;;0;0;0;;;0;
B278;4;1;12;;2;;;;;;4;1;
0200E;14;2;;4;0;0;0;0;0;9;4;3;
0076;;;;;;;;;;;0;;
1082;10;;16;5;;1;0;2;0;;;5;
2331;2;1;18;6;3;;1;;3;3;6;2;
3469A;2;3;13;3;0;0;0;0;2;1;3;2;29
5973;4;1;14;10;3;2;0;7;8;4;4;2;59
5960;2;;15;4;1;;0;;1;;;;
5910;6;3;16;12;1;2;;5;3;3;5;2;
6001;10;4;;;7;7;;17;15;10;;8;
1111;10;11;20;4;1;2;0;1;;9;11;5;
1109;7;3;22;4;1;1;0;1;0;7;13;8;67
8500A;0;;;2;0;0;0;2;0;;;1;
5000C;6;1;16;;1;0;2;0;0;1;3;3;
4121;0;0;;0;1;0;0;0;0;1;0;1;
5402;2;;11;;;0;;0;;;1;1;
8096;0;0;3;0;;0;0;1;1;0;0;0;
1014;4;0;12;3;1;1;0;1;0;2;6;4;34
1024E;16;12;22;;;2;1;2;2;11;16;11;
0367;;2;7;;0;;;;;;;0;
5530E;1;1;9;;1;1;0;2;1;1;;1;
5514;;;;;;;;;0;2;2;1;
3013;0;0;4;1;0;1;0;0;1;0;;0;
4642E;1;1;13;2;0;0;0;0;0;2;0;1;20
9898;;;1;0;0;1;0;3;1;1;0;0;
5270B;5;1;18;8;;0;0;1;0;;5;2;
9170;;1;6;2;0;1;3;0;1;1;0;0;
C249I;;;13;;3;0;;4;;3;3;;
C649I;;9;;18;23;19;;22;;;3;1;
C029O;9;11;;;10;;26;;6;;3;;
2661;;0;;;2;;;0;;;1;2;
1549;0;0;1;1;0;0;0;0;;0;0;0;
9771C;8;2;5;;;1;;2;0;1;1;;
1505;1;0;7;1;;;0;0;0;1;0;1;
3191E;8;8;11;4;2;;1;0;;4;2;3;
3195;0;0;;;;;0;;0;0;1;0;
3129;;5;20;;2;;;4;0;0;;;
3196;0;1;11;5;2;1;0;1;0;1;2;1;25
3200;4;2;12;6;1;1;0;3;1;0;2;;
3175;3;7;13;5;4;;1;4;1;1;1;1;
2462;15;9;22;14;;4;1;2;2;12;;5;
6155A;11;;8;3;0;0;;0;2;2;5;3;
6000A;;2;7;;;;;;;;;;
7178I;1;0;6;5;0;0;0;0;0;0;0;2;14
7228;2;0;8;7;2;0;0;0;0;1;2;2;24
9263D;2;;;;;3;;3;1;;;;
1690A;0;0;;1;;0;0;0;0;0;0;;
1484C;0;1;11;3;0;0;0;0;0;1;8;6;30
1495;;;;;;;0;;;;;;
2867;3;;20;7;;;;;1;;6;4;
2870;0;0;6;2;;0;0;1;;0;1;1;
C929I;;;13;;5;;8;;0;3;;2;
C430E;;;23;18;8;8;10;6;12;13;15;9;
C139E;;;;15;4;;;4;;2;;2;
C449C;1;6;3;3;;;;1;0;0;0;0;
C447A;13;13;;16;;7;13;;4;1;4;2;
C429I;;12;16;4;;;;17;7;4;;;
2465;;;14;5;;;0;3;2;2;4;3;
5796;0;1;;1;0;0;0;;0;1;0;0;
5783;2;1;14;6;;1;;;2;;0;;
2030;2;1;9;2;0;1;0;1;0;1;0;1;18
0016A;11;;15;5;6;2;;2;;6;;;
9981A;14;11;16;1;7;3;2;2;;4;4;7;
9381I;0;0;13;2;0;0;1;2;1;0;1;1;21
8368U;1;0;;1;0;0;1;1;;1;0;1;
3260B;1;1;12;6;2;1;1;1;1;0;2;2;30
8414A;8;4;17;10;1;;1;3;0;3;;3;
2422;0;0;7;3;0;;1;0;0;1;1;;
2614;0;0;3;1;0;0;;0;;1;;0;
9390;1;0;;2;0;;0;2;0;0;2;1;
9434;7;14;15;4;11;7;7;9;1;8;4;4;91
