Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;12;10;11;4;9;16;12;4;4;3;8;6;99
1428;15;10;19;11;11;16;11;3;1;8;14;16;135
8175;4;7;4;6;0;2;0;0;2;2;6;5;38
8019;3;5;4;4;1;2;1;0;2;6;10;3;41
6325O;4;2;5;7;2;1;0;0;3;3;3;2;32
9091O;14;;16;17;12;11;7;7;3;12;9;12;
1212E;13;16;14;13;14;19;16;6;9;5;10;9;144
1208H;12;16;10;16;14;15;17;7;9;8;9;12;145
1249I;10;19;15;15;14;20;21;10;14;9;12;11;170
4452;7;3;7;4;4;4;0;0;0;4;8;6;47
B954;6;12;5;8;2;0;0;1;3;4;7;4;52
B893;6;15;10;9;8;3;0;1;2;7;8;2;71
B228;5;11;;;;;;;;;;;
B278;2;12;8;8;7;1;0;1;2;6;8;;
0200E;4;11;6;7;5;3;2;4;8;11;9;1;71
0076;4;8;5;7;7;1;1;2;5;7;7;1;55
1082;18;18;15;17;16;15;13;10;5;14;8;14;163
2331;17;13;17;14;6;6;0;1;1;8;12;14;109
5960;4;2;13;4;3;1;0;0;1;3;4;1;36
5910;4;4;12;7;4;2;0;0;1;10;8;7;59
1111;17;18;9;14;11;12;10;5;4;9;7;9;125
1109;17;17;10;16;13;15;13;8;6;11;11;14;151
5402;;;;6;5;4;0;0;3;;;;
8096;7;9;17;14;9;4;0;1;3;;;;
1014;18;14;14;16;16;11;7;8;4;9;9;14;140
1024E;18;18;17;18;17;13;11;9;4;15;12;14;166
0367;3;11;;8;13;4;0;;5;11;7;0;
5530E;;3;16;7;0;1;0;0;2;4;8;1;
5514;6;5;16;6;2;1;0;0;3;4;7;1;51
9170;11;12;10;8;12;8;3;2;1;6;7;7;87
C249I;1;1;0;0;4;1;0;0;1;5;2;2;17
C649I;2;3;0;1;3;2;0;0;0;2;1;1;15
C029O;0;2;;2;2;4;0;1;0;2;2;0;
2661;8;7;9;8;5;4;1;0;1;6;11;14;74
9771C;;8;3;9;3;4;0;0;2;8;8;;
3191E;7;8;14;13;6;4;0;0;0;11;;;
3195;9;7;;11;;4;0;0;2;6;12;6;
3129;7;7;11;11;4;3;0;0;2;7;9;9;70
3196;7;8;13;10;5;4;0;0;2;7;11;9;76
3200;6;7;8;9;2;4;0;0;0;6;8;9;59
3175;6;6;12;10;4;7;0;0;1;8;11;10;75
2462;16;22;23;14;10;12;0;0;1;13;18;9;138
6155A;2;4;8;6;1;0;0;0;3;7;;1;
6000A;9;2;5;11;2;4;2;1;7;6;4;1;54
7178I;5;4;4;7;1;4;0;0;4;6;6;2;43
7228;3;4;4;7;3;4;0;1;2;5;6;3;42
9263D;21;16;14;11;12;9;3;3;1;11;15;16;132
1484C;15;10;17;10;8;13;7;3;2;5;18;18;126
1495;17;10;19;13;8;11;7;3;2;6;18;16;130
2867;13;10;12;11;9;10;0;0;1;10;12;13;101
C929I;0;1;0;1;0;0;0;1;0;1;3;1;8
C139E;2;3;4;0;5;2;0;1;2;4;5;1;29
C449C;2;5;;;4;1;;1;0;1;5;1;
C447A;8;9;5;9;12;6;2;;1;6;;;
C429I;0;4;0;0;6;3;0;1;0;2;1;0;17
5796;7;2;11;5;3;2;0;;2;3;6;1;
5783;6;2;10;3;3;1;0;0;0;3;7;1;36
0016A;3;11;4;7;6;1;0;2;2;5;6;1;48
9981A;2;8;6;8;6;3;0;1;5;5;6;2;52
9381I;;;;9;;;0;0;;7;;6;
8414A;4;7;5;7;5;3;0;1;4;5;8;2;51
2422;15;8;9;9;4;3;0;0;0;7;8;16;79
2539;15;8;17;13;6;9;0;0;0;8;11;13;100
9390;7;13;11;4;11;5;0;0;1;7;9;5;73
9434;5;5;6;5;3;4;0;1;0;8;10;8;55
