Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;3;5;0;2;5;5;4;15;10;12;3;5;69
1428;1;3;0;1;9;5;3;13;9;9;1;3;57
8175;4;7;2;2;2;14;25;10;3;6;1;4;80
8019;9;6;3;6;8;15;21;9;3;8;0;11;99
6325O;12;6;4;7;8;13;23;19;7;7;4;9;119
9091O;0;;0;1;0;3;1;3;3;3;0;1;
1212E;2;2;0;2;5;1;2;3;3;6;3;2;31
1208H;2;3;1;3;1;3;1;5;5;9;5;2;40
1249I;2;3;1;2;3;0;1;6;1;5;3;2;29
4452;9;11;3;3;5;7;19;20;13;10;1;3;104
B954;8;1;2;2;5;13;13;11;3;2;0;3;63
B893;6;0;0;2;1;5;14;3;3;2;0;3;39
B228;8;1;;;;;;;;;;;
B278;3;0;1;7;3;7;13;4;3;4;0;;
0200E;8;2;1;6;3;5;11;1;3;7;1;5;53
0076;9;4;0;5;3;6;8;4;3;9;1;4;56
1082;0;1;0;2;2;3;2;6;5;3;2;0;26
2331;5;4;0;2;3;5;7;13;8;7;2;2;58
5960;8;7;5;5;9;8;19;25;12;6;3;12;119
5910;7;7;4;3;7;8;19;20;9;6;1;9;100
1111;2;1;0;3;3;1;1;5;6;6;2;1;31
1109;1;2;0;1;5;2;2;5;8;7;3;2;38
5402;;;;4;5;10;27;24;12;;;;
8096;7;6;0;3;2;6;19;10;6;;;;
1014;2;3;0;3;3;3;1;7;7;3;3;1;36
1024E;1;1;0;1;3;2;1;3;5;3;3;0;23
0367;6;2;;8;0;5;9;;2;7;0;2;
5530E;;7;4;2;4;14;26;19;7;6;0;11;
5514;9;9;5;3;5;13;27;21;6;8;1;7;114
9170;6;2;0;4;2;3;10;10;8;9;0;3;57
C249I;0;0;5;6;1;0;13;9;9;2;2;8;55
C649I;6;3;6;3;1;3;11;16;5;3;0;13;70
C029O;8;2;;3;1;2;14;13;10;2;2;13;
2661;8;5;2;3;5;4;3;16;11;10;0;4;71
9771C;;7;3;6;1;8;16;13;13;6;1;;
3191E;10;5;1;4;1;10;14;11;7;10;;;
3195;10;5;;4;;8;19;15;8;10;1;7;
3129;7;5;3;4;2;11;17;12;13;11;0;7;92
3196;8;4;2;4;3;9;17;14;8;10;1;5;85
3200;8;5;1;3;1;6;16;13;8;9;0;4;74
3175;10;6;2;4;3;9;14;12;8;10;0;5;83
2462;6;3;0;2;0;1;11;10;7;8;0;5;53
6155A;9;8;4;3;11;11;29;19;10;7;;4;
6000A;6;5;2;5;6;13;19;8;2;6;6;6;84
7178I;9;5;4;5;2;13;22;9;3;6;1;7;86
7228;9;7;4;5;4;14;25;12;6;8;6;9;109
9263D;3;4;0;4;1;5;5;13;7;9;0;3;54
1484C;3;7;1;4;10;7;7;18;12;11;3;3;86
1495;3;7;1;5;10;8;7;16;14;9;2;3;85
2867;7;5;1;3;5;6;13;14;11;9;0;2;76
C929I;8;4;8;0;0;4;5;3;5;4;4;11;56
C139E;0;1;2;2;0;0;0;4;4;0;3;6;22
C449C;6;1;;;0;13;;21;16;2;3;15;
C447A;3;1;7;1;0;4;3;;5;0;;;
C429I;13;4;8;6;6;3;26;19;10;3;5;20;123
5796;6;7;4;2;5;8;27;;9;8;1;9;
5783;8;10;6;4;5;11;22;22;15;9;1;10;123
0016A;11;5;0;3;1;6;5;8;4;6;0;5;54
9981A;6;5;1;2;1;6;10;9;7;6;2;6;61
9381I;;;;5;;;15;10;;8;;4;
8414A;10;6;1;3;4;12;16;5;7;6;2;10;82
2422;7;4;1;7;5;4;6;17;13;8;0;3;75
2539;8;5;0;6;7;6;12;20;11;8;1;4;88
9390;5;5;3;4;1;8;15;15;8;7;0;4;75
9434;5;4;0;6;0;6;10;14;8;7;0;4;64
