Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;22;15;25;20;15;15;9;7;7;13;20;19;187
1387E;19;14;22;20;10;16;9;;8;13;21;16;
1428;24;15;27;23;14;19;13;6;7;14;23;22;207
8175;6;7;21;9;12;4;0;8;7;9;14;4;101
8178D;9;7;15;11;11;3;0;7;7;10;14;4;98
8025;5;10;16;9;6;6;0;4;7;10;13;2;88
8019;7;6;13;9;5;4;3;3;8;11;11;2;82
6325O;7;4;15;6;4;2;0;0;5;10;5;1;59
9091O;21;11;20;20;16;15;9;5;11;13;20;10;171
1212E;21;14;25;21;15;16;17;12;8;15;17;13;194
1208H;19;18;26;16;15;19;16;10;8;14;20;10;191
1249I;17;16;27;21;19;19;23;17;16;16;19;12;222
2444;2;4;15;13;17;12;2;1;8;13;21;7;115
4452;8;5;21;14;8;2;1;0;2;13;13;4;91
B954;9;17;17;10;5;5;2;5;12;13;11;9;115
B893;12;18;14;11;9;8;1;6;9;12;13;4;117
B228;5;14;13;8;6;4;2;4;8;15;13;1;93
B278;7;14;14;10;8;5;2;5;8;16;14;2;105
0200E;8;8;16;14;19;8;5;12;11;14;16;2;133
0076;6;12;13;10;11;;5;9;12;14;10;1;
1082;24;16;20;19;17;17;15;12;9;9;21;12;191
2331;7;7;21;14;14;17;11;2;7;11;24;12;147
3469A;8;5;22;15;9;7;3;2;5;12;18;5;111
5973;;5;25;13;4;;0;;3;;15;4;
5960;10;9;25;15;7;4;0;0;2;16;16;5;109
5910;8;7;24;15;7;5;0;2;3;14;15;5;105
1111;25;15;24;19;17;19;17;12;8;15;19;15;205
1109;21;19;22;19;15;17;15;14;7;13;15;13;190
8500A;6;7;7;9;6;3;2;3;8;8;;;
5000C;12;10;23;13;2;;;;3;16;13;;
4121;13;8;22;15;14;8;0;4;7;14;18;4;127
5402;10;7;23;;13;2;0;0;6;15;15;5;
8096;5;5;19;16;13;8;0;8;12;13;22;4;125
1014;24;18;22;20;22;18;19;12;10;11;21;15;212
1024E;23;16;23;19;17;18;21;12;7;12;21;14;203
0367;6;9;14;8;16;8;8;8;6;17;;2;
5530E;8;7;23;13;13;1;0;3;8;;13;1;
5514;7;8;22;17;11;2;0;4;9;11;13;2;106
3013;1;5;12;14;19;11;4;10;8;11;21;4;120
4642E;8;6;22;18;11;8;0;0;2;13;16;4;108
9898;8;3;18;14;12;9;5;4;5;11;14;4;107
5270B;8;12;23;12;6;3;0;1;3;10;15;4;97
9170;13;14;22;;16;13;10;1;5;14;21;6;
C249I;8;11;5;4;1;1;0;1;1;10;12;2;56
C649I;11;17;1;9;3;2;0;2;1;13;14;1;74
C029O;16;15;3;7;5;1;0;2;2;16;10;1;78
2661;5;5;14;12;13;15;8;1;4;8;17;14;116
1549;11;6;22;15;16;15;9;2;5;9;22;12;144
9771C;5;7;17;11;16;8;5;4;5;11;18;3;110
1505;26;10;25;18;16;18;17;7;9;15;24;18;203
3191E;3;3;18;15;15;11;1;5;10;14;22;6;123
3195;6;4;19;13;15;10;0;0;5;15;17;5;109
3129;8;4;20;14;15;11;0;1;5;15;19;5;117
3196;5;4;20;16;13;12;0;1;7;15;19;5;117
3200;8;5;19;12;12;7;0;2;4;16;17;3;105
3175;6;5;19;12;13;11;1;1;5;14;17;4;108
2462;6;1;3;5;23;12;5;2;11;13;11;5;97
6155A;10;5;19;9;6;0;0;0;5;13;12;2;81
6000A;13;10;19;15;6;0;3;3;10;10;9;1;99
7178I;9;6;14;11;7;4;5;6;8;10;12;2;94
7228;9;5;14;7;4;3;0;5;6;12;10;3;78
7031;8;7;14;5;5;7;0;0;8;11;11;3;79
9262;16;10;21;14;14;11;6;1;4;7;15;7;126
9263D;19;10;22;16;18;13;7;7;6;9;23;10;160
1690A;25;16;27;19;14;16;11;3;6;13;20;14;184
1484C;22;16;24;18;12;17;10;5;7;13;22;20;186
1495;22;14;26;17;11;16;7;4;7;12;22;18;176
2867;8;1;19;18;15;17;1;0;7;11;19;9;125
C929I;11;14;8;6;3;5;0;4;1;16;14;1;83
C430E;6;6;1;6;1;1;0;2;4;7;6;0;40
C139E;16;19;4;7;9;2;0;6;2;12;16;2;95
C449C;16;15;2;10;9;4;1;1;1;11;12;0;82
C447A;21;17;13;18;20;11;4;5;2;23;20;5;159
C429I;2;5;2;0;1;1;0;0;0;5;5;1;22
2465;6;8;14;10;14;11;0;1;3;10;17;5;99
5796;9;7;25;15;5;1;0;0;3;17;16;4;102
5783;9;5;21;15;9;3;0;0;2;15;17;5;101
2030;6;5;8;11;20;14;8;4;14;11;21;9;131
0016A;3;7;15;14;8;5;6;7;10;12;18;2;107
9981A;6;10;18;14;15;9;6;5;10;11;15;4;123
9381I;6;8;16;13;16;11;8;9;12;;;3;
8368U;1;3;15;9;14;10;2;8;8;9;13;2;94
8416;8;11;9;7;7;5;2;9;12;11;16;3;100
8414A;7;10;14;8;6;5;4;6;13;12;16;4;105
2422;9;6;18;14;17;16;7;0;6;12;20;8;133
2539;5;4;20;11;10;13;4;1;4;9;17;7;105
2614;7;2;23;16;8;14;4;0;5;6;15;8;108
9390;8;8;18;12;16;10;6;6;10;11;19;4;128
9434;11;10;18;16;14;13;8;5;6;12;18;6;137
