Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;1;0;0;0;0;0;0;0;0;0;0;1
1387E;0;1;0;0;0;0;0;;0;0;0;0;
1428;0;4;0;0;0;0;0;0;0;0;0;0;4
8175;3;3;0;0;0;0;0;0;0;0;0;0;6
8178D;1;3;0;0;0;0;0;0;0;0;0;0;4
8025;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;1;11;2;0;0;0;0;0;0;1;0;0;15
1212E;0;2;0;0;0;0;0;0;0;0;0;0;2
1208H;0;1;0;0;0;0;0;0;0;0;0;0;1
1249I;1;6;0;0;0;0;0;0;0;1;0;0;8
2444;8;8;8;4;0;0;0;0;0;2;0;0;30
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;0;0;0;0;0;0;0;0;0;0;0;0;0
B228;0;0;0;0;0;0;0;0;0;0;0;0;0
B278;0;0;0;0;0;0;0;0;0;0;0;0;0
0200E;0;6;1;0;0;0;0;0;0;0;0;0;7
0076;0;1;0;0;0;;0;0;0;0;0;0;
1082;0;3;0;0;0;0;0;0;0;0;0;0;3
2331;7;14;5;3;0;0;0;0;0;2;0;0;31
3469A;0;2;0;0;0;0;0;0;0;0;0;0;2
5973;;0;0;0;0;;0;;0;;0;0;
5960;0;0;0;0;0;0;0;0;0;0;0;0;0
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
1111;0;3;0;0;0;0;0;0;0;0;0;0;3
1109;0;1;0;0;0;0;0;0;0;0;0;0;1
8500A;0;0;0;0;0;0;0;0;0;0;;;
5000C;0;0;0;0;0;;;;0;0;0;;
4121;0;4;0;0;0;0;0;0;0;0;0;0;4
5402;0;0;0;;0;0;0;0;0;0;0;0;
8096;7;6;4;2;0;0;0;0;0;2;0;0;21
1014;0;2;0;0;0;0;0;0;0;1;0;0;3
1024E;1;3;0;0;0;0;0;0;0;0;0;0;4
0367;0;4;0;0;0;0;0;0;0;0;;0;
5530E;1;0;0;0;0;0;0;0;0;;0;0;
5514;2;1;1;0;0;0;0;0;0;0;0;0;4
3013;11;13;12;3;0;0;0;0;0;3;0;1;43
4642E;0;0;0;0;0;0;0;0;0;0;0;0;0
9898;0;2;0;0;0;0;0;0;0;0;0;0;2
5270B;1;0;2;0;0;0;0;0;0;1;0;0;4
9170;1;5;1;;0;0;0;0;0;0;0;0;
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;4;8;8;0;0;0;0;0;0;1;1;0;22
1549;2;7;3;0;0;0;0;0;0;1;0;0;13
9771C;0;2;0;0;0;0;0;0;0;0;0;0;2
1505;0;9;4;0;0;0;0;0;0;0;0;0;13
3191E;5;4;4;1;0;0;0;0;0;1;0;0;15
3195;1;3;2;0;0;0;0;0;0;0;0;0;6
3129;0;2;0;0;0;0;0;0;0;0;0;0;2
3196;2;3;1;0;0;0;0;0;0;0;0;0;6
3200;1;3;2;0;0;0;0;0;0;0;0;0;6
3175;1;2;0;0;0;0;0;0;0;0;0;0;3
2462;12;20;25;13;1;0;0;0;0;5;14;5;95
6155A;0;0;0;0;0;0;0;0;0;0;0;0;0
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;0;0;0;0;0;0;0;0;0;0;0;0;0
7228;0;0;0;0;0;0;0;0;0;0;0;0;0
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9262;1;5;1;0;0;0;0;0;0;0;0;0;7
9263D;2;9;2;0;0;0;0;0;0;0;0;0;13
1690A;0;1;0;0;0;0;0;0;0;0;0;0;1
1484C;0;0;0;0;0;0;0;0;0;0;0;0;0
1495;0;0;0;0;0;0;0;0;0;0;0;0;0
2867;2;4;2;0;0;0;0;0;0;0;0;0;8
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;5;8;1;1;0;0;0;0;0;1;3;0;19
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;7;11;10;4;0;0;0;0;0;3;6;4;45
5796;0;0;0;0;0;0;0;0;0;0;0;0;0
5783;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;9;17;18;4;0;0;0;0;0;2;1;0;51
0016A;0;1;0;0;0;0;0;0;0;0;0;0;1
9981A;0;1;0;0;0;0;0;0;0;0;0;0;1
9381I;5;9;7;3;0;0;0;0;0;;;1;
8368U;3;8;2;1;0;0;0;0;0;1;0;0;15
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;0;0;0;0;0;0;0;0;0;0;0;0;0
2422;4;6;2;1;0;0;0;0;0;1;0;0;14
2539;4;4;1;0;0;0;0;0;0;0;0;0;9
2614;1;1;0;1;0;0;0;0;0;1;1;0;5
9390;1;6;2;2;0;0;0;0;0;2;0;0;13
9434;0;2;0;0;0;0;0;0;0;0;0;0;2
