Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;118.2;150.6;194.0;80.2;29.4;115.3;22.8;33.0;5.2;92.6;231.6;92.8;1165.7
1387E;101.2;139.9;228.2;81.5;24.6;105.4;31.7;;3.3;89.0;233.1;59.5;
1428;119.0;149.6;268.4;125.5;13.0;69.5;52.7;20.1;0.8;115.4;300.9;141.2;1376.1
8175;27.0;47.6;49.7;25.8;55.6;60.4;0.0;33.4;83.4;38.8;44.4;8.2;474.3
8178D;28.0;48.6;57.2;31.1;51.8;46.4;0.0;20.7;46.8;42.9;44.4;8.0;425.9
8025;68.0;27.4;19.2;10.8;3.4;28.0;0.0;15.8;42.2;61.4;21.6;7.4;305.2
8019;95.6;39.9;20.6;16.5;8.2;23.6;0.1;1.2;40.8;53.6;49.2;10.0;359.3
6325O;7.6;9.1;55.3;23.1;8.8;11.6;0.0;0.0;24.1;41.4;11.8;5.7;198.5
9091O;132.4;92.7;82.3;117.4;54.4;54.9;73.0;1.5;6.6;101.3;80.6;24.3;821.4
1212E;120.0;132.2;130.2;52.1;105.8;97.2;69.8;64.7;63.2;174.1;126.1;36.3;1171.7
1208H;96.7;119.5;127.6;55.8;90.6;97.7;60.3;58.1;50.3;166.5;119.5;45.1;1087.7
1249I;100.2;194.2;164.7;97.4;117.8;132.1;126.5;47.3;39.1;209.8;80.3;42.8;1352.2
2444;62.8;50.8;74.2;79.8;50.4;44.4;11.4;0.2;32.8;49.8;44.8;8.0;509.4
4452;38.8;24.0;160.4;71.8;24.6;19.8;5.6;0.0;7.6;60.1;67.6;12.0;492.3
B954;49.9;96.0;16.6;20.7;24.3;7.0;0.0;30.9;31.9;120.0;92.5;27.8;517.6
B893;81.0;66.9;109.9;23.9;52.8;26.3;12.9;86.2;57.4;149.2;127.1;18.1;811.7
B228;10.4;94.0;72.3;53.5;36.2;14.6;0.1;9.2;33.2;133.2;39.9;26.7;523.3
B278;13.3;64.3;49.2;41.5;27.6;19.5;0.0;20.3;48.5;122.1;24.9;20.0;451.2
0200E;63.6;105.0;112.5;83.0;30.3;53.1;51.5;36.2;44.3;201.9;201.8;4.8;988.0
0076;54.4;114.3;70.5;75.2;21.1;;17.5;83.4;31.1;140.3;104.8;4.3;
1082;261.6;271.1;112.0;160.1;78.7;48.9;55.1;41.1;9.7;175.3;80.8;28.8;1323.2
2331;50.2;50.1;124.2;79.0;45.4;41.8;45.0;0.4;39.4;15.2;106.0;32.1;628.8
3469A;41.4;48.0;231.2;111.8;45.6;9.6;1.8;0.0;24.3;105.6;108.6;23.7;751.6
5973;61.6;31.3;183.1;66.0;3.9;1.6;0.0;0.1;6.1;116.9;142.8;7.6;621.0
5960;43.8;38.4;257.6;98.6;4.8;4.6;0.0;0.0;2.1;105.2;136.3;10.0;701.4
5910;43.1;22.5;259.4;80.8;6.0;2.4;0.0;0.0;4.4;103.2;156.2;10.9;688.9
6001;82.0;72.3;;88.9;7.6;1.5;;0.0;0.3;106.3;121.1;25.0;
1111;170.9;158.1;135.3;89.4;75.9;96.6;154.6;24.6;17.4;139.2;114.3;32.1;1208.4
1109;195.2;205.2;187.5;99.7;95.2;88.7;190.4;45.9;25.8;144.3;118.7;30.2;1426.8
8500A;12.0;49.8;8.8;38.4;29.0;42.6;4.8;65.6;98.6;186.5;109.6;9.2;654.9
5000C;72.0;88.4;337.0;130.0;2.0;;0.2;0.0;1.2;163.0;159.4;;
4121;34.6;61.6;138.9;51.6;75.4;4.2;0.0;9.2;6.6;65.0;67.6;8.5;523.2
5402;47.3;28.0;215.9;54.2;25.6;3.3;0.0;0.0;42.2;122.7;101.5;12.3;653.0
8096;28.3;55.0;152.0;89.8;78.9;20.6;0.0;17.8;47.6;77.8;74.0;21.0;662.8
1014;308.9;240.0;197.8;169.1;120.9;174.6;203.3;38.0;47.4;139.2;123.8;104.9;1867.9
1024E;317.6;270.6;121.7;198.6;121.1;100.3;127.9;62.7;59.2;164.0;127.0;86.9;1757.6
0367;34.1;91.6;53.3;102.2;86.7;32.2;62.0;109.0;32.6;208.0;;10.5;
5530E;23.4;20.6;191.3;33.4;40.3;4.3;0.0;0.9;65.2;;64.9;8.4;
5514;31.8;25.1;186.8;28.2;48.2;0.9;0.0;0.6;44.8;74.3;71.2;5.5;517.4
3013;27.6;29.6;79.8;73.6;103.2;130.2;9.4;15.0;55.4;81.0;47.0;14.0;665.8
4642E;44.0;106.1;138.6;83.8;14.2;22.2;0.0;0.0;1.4;92.2;121.4;15.4;639.3
9898;46.4;42.8;56.4;153.0;79.4;34.8;9.0;8.8;41.8;121.4;43.2;15.8;652.8
5270B;51.2;32.4;266.2;78.0;61.4;15.4;0.0;47.0;40.4;66.8;62.2;7.4;728.4
9170;98.2;29.4;43.8;74.2;58.2;45.6;60.2;0.0;21.8;39.8;44.4;17.7;533.3
C249I;13.1;8.7;1.3;0.7;0.0;0.0;0.0;0.1;0.2;47.7;10.4;0.1;82.3
C649I;23.1;68.9;0.2;3.6;0.1;0.2;0.0;0.3;0.3;44.5;15.9;0.5;157.6
C029O;32.6;44.7;1.0;6.0;0.2;0.2;0.0;3.4;0.7;38.6;15.6;0.0;143.0
2661;22.8;35.1;84.8;46.8;74.0;110.0;57.9;2.0;14.1;27.1;93.2;18.7;586.5
1549;54.7;53.8;144.4;54.8;39.8;127.0;54.4;0.6;15.1;42.2;110.6;40.6;738.0
9771C;24.6;30.2;32.4;69.8;63.0;7.1;38.4;15.8;13.2;120.6;82.2;14.7;512.0
1505;109.2;140.7;304.6;120.4;29.2;78.9;38.0;19.2;5.5;147.6;155.8;76.6;1225.7
3191E;46.1;66.2;196.2;80.8;82.3;39.3;2.2;1.2;39.7;81.7;88.9;12.5;737.1
3195;50.4;73.0;140.7;78.8;78.4;19.0;0.0;0.0;9.8;57.3;70.4;11.4;589.2
3129;46.6;65.1;139.0;62.5;53.1;34.8;0.0;1.1;4.8;74.1;76.8;9.0;566.9
3196;48.9;62.3;135.8;52.6;55.5;19.4;0.0;12.8;19.1;46.5;67.1;11.1;531.1
3200;56.6;73.1;125.0;53.4;39.9;12.2;0.0;5.8;33.0;37.8;53.8;6.9;497.5
3175;50.2;50.5;123.9;56.7;51.6;30.8;0.0;13.0;15.0;48.5;56.0;9.0;505.2
2462;172.6;217.9;376.8;169.1;127.2;58.4;6.0;3.5;33.3;186.0;278.3;40.3;1669.4
6155A;42.8;65.8;193.4;39.9;15.0;0.0;0.0;0.0;8.1;162.0;76.8;2.0;605.8
6000A;43.6;88.8;32.3;111.4;3.8;0.0;0.0;0.8;19.8;93.0;15.6;0.4;409.5
7178I;56.5;11.2;12.6;14.6;16.2;22.2;0.0;9.6;34.4;56.2;66.8;6.0;306.3
7228;57.7;11.6;11.4;14.1;10.0;49.0;0.0;13.0;39.1;46.5;103.6;6.9;362.9
7031;36.3;22.1;13.5;6.2;2.2;10.4;0.0;0.0;56.5;53.7;79.0;11.6;291.5
9262;175.9;96.1;83.7;164.0;94.2;56.4;24.6;18.0;38.4;47.2;123.9;41.5;963.9
9263D;172.7;76.4;89.9;171.4;90.8;58.9;34.7;18.6;27.9;40.2;91.6;36.5;909.6
1690A;72.4;56.4;240.9;122.2;29.0;124.5;19.2;5.0;45.8;68.2;189.8;69.6;1043.0
1484C;153.6;179.3;347.1;206.9;60.9;86.2;34.8;9.7;6.9;141.8;310.5;216.9;1754.6
1495;228.0;125.0;325.1;216.8;30.3;115.3;16.7;8.5;32.6;86.5;266.2;172.6;1623.6
2867;40.4;29.9;102.1;56.2;48.5;47.1;0.0;0.1;10.7;29.7;73.0;12.9;450.6
2870;33.0;25.1;110.0;59.8;;48.8;1.4;0.0;;15.6;66.4;;
C929I;10.1;83.2;4.0;3.4;0.2;2.3;0.0;1.4;0.0;33.4;39.0;0.2;177.2
C430E;117.7;79.5;0.6;38.9;0.2;0.2;0.0;9.4;3.8;65.0;44.2;0.0;359.5
C139E;24.2;95.5;28.6;2.1;2.2;0.2;0.0;0.5;0.5;123.1;45.3;1.6;323.8
C449C;47.4;75.0;0.0;20.8;0.4;1.2;0.0;1.2;0.0;87.0;31.6;0.0;264.6
C447A;82.1;95.1;21.0;70.9;25.2;8.9;0.2;3.0;0.7;104.1;183.4;1.4;596.0
C429I;0.8;79.2;1.1;0.0;0.9;0.0;0.0;0.0;0.0;37.9;9.9;0.1;129.9
2465;89.8;65.2;86.8;104.4;61.5;50.0;14.8;2.2;11.2;51.4;78.6;17.2;633.1
5796;51.5;28.2;224.5;84.9;18.4;0.7;0.0;0.0;12.4;143.7;90.8;14.4;669.5
5783;71.2;23.7;139.1;78.9;16.5;1.8;0.0;0.0;24.3;99.4;129.5;10.3;594.7
2030;46.0;61.0;109.0;72.6;106.2;158.0;26.0;1.2;22.6;39.0;65.0;21.8;728.4
0016A;11.8;63.5;20.2;46.2;12.9;3.8;4.5;75.9;90.2;311.1;63.1;4.9;708.1
9981A;6.7;44.8;24.8;51.4;28.8;8.0;34.4;53.7;59.3;230.0;128.3;7.0;677.2
9381I;19.4;30.2;35.8;97.8;85.2;56.4;9.0;49.0;22.6;;;15.0;
8368U;14.4;29.2;33.4;49.4;65.8;27.8;37.2;73.2;72.0;138.6;31.8;13.8;586.6
3260B;39.4;47.0;107.0;47.6;60.4;28.8;0.0;6.2;4.2;57.4;43.2;8.2;449.4
8416;26.5;59.5;19.1;17.5;10.7;105.2;1.2;13.6;147.9;189.7;192.4;11.2;794.5
8414A;24.5;54.1;17.0;12.3;18.0;68.7;2.2;8.4;101.3;144.5;83.2;9.2;543.4
2422;42.4;42.6;116.0;66.8;65.4;85.4;18.4;0.0;25.8;21.6;89.4;22.4;596.2
2539;42.8;37.6;103.4;56.9;90.1;110.4;14.1;0.0;9.2;17.7;92.4;24.3;598.9
2614;26.8;37.1;95.6;42.8;36.4;63.2;15.2;0.0;3.8;18.2;85.6;17.2;441.9
9390;21.4;34.9;43.5;107.6;64.9;143.1;16.4;31.0;30.6;84.0;32.4;16.0;625.8
9434;48.4;31.2;38.2;109.0;81.6;11.2;46.8;65.8;18.0;46.0;33.8;11.6;541.6
