Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;26;41;34;49;50;42;48;73;68;66;37;35;47
1428;26;44;27;41;50;37;41;67;72;57;30;34;44
8175;61;58;50;;60;69;87;75;67;58;45;59;
8025;76;59;63;71;80;78;86;79;73;68;57;77;72
8019;76;62;;69;79;78;87;78;72;66;54;75;
6325O;68;72;60;65;76;80;80;85;66;61;61;74;71
9091O;28;26;40;42;36;44;55;57;62;45;39;35;42
1212E;30;28;31;36;40;29;33;54;52;51;39;42;39
1208H;;32;31;37;47;31;33;58;49;48;40;35;
1249I;39;26;38;38;41;27;28;50;46;50;44;42;39
2444;49;;45;54;55;61;82;84;74;54;33;53;
4452;43;67;52;59;62;62;84;85;81;63;41;38;61
B954;64;;63;62;68;80;;81;77;78;76;66;
B893;58;33;51;61;57;74;82;72;59;55;39;64;59
B228;63;34;52;62;59;73;80;75;63;57;50;62;61
B278;58;31;50;60;54;70;74;68;60;54;44;56;57
0200E;72;43;57;60;55;68;77;67;52;56;48;70;60
0076;53;36;55;60;54;61;71;63;58;50;31;40;53
1082;23;17;28;32;31;29;33;47;51;40;35;26;33
2331;29;31;29;42;51;55;70;83;81;50;30;34;49
3469A;57;71;52;61;71;69;87;88;82;67;45;57;67
5960;59;59;43;63;67;71;86;85;75;61;46;76;66
5910;57;;47;65;71;80;88;85;78;62;49;73;
1111;25;26;42;38;46;42;45;59;60;53;50;37;44
1109;24;28;39;37;41;33;38;56;48;47;45;32;39
8500A;70;52;64;68;68;78;85;72;67;66;48;76;68
5000C;51;62;48;59;72;77;85;72;50;54;53;48;61
4121;48;58;44;58;59;68;93;86;79;62;44;52;63
5402;51;66;48;70;65;69;85;85;74;69;54;81;68
8096;53;53;34;44;46;55;71;71;69;54;38;66;55
1014;26;26;35;32;32;36;47;56;60;37;31;26;37
1024E;26;24;36;36;33;34;47;53;61;38;39;32;38
0367;47;28;;53;38;;69;62;57;48;42;68;
5530E;58;65;41;59;70;80;94;87;74;62;48;80;68
5514;56;60;40;55;63;79;89;81;66;60;50;76;65
3013;45;34;42;50;51;60;79;73;68;50;36;52;53
4642E;66;75;53;64;73;76;90;89;84;65;56;80;73
9898;;;55;57;65;68;81;83;79;59;44;48;
5270B;49;64;45;57;;71;93;89;72;;44;66;
9170;45;33;49;52;48;56;73;79;79;53;38;49;55
C249I;53;50;67;63;48;;;65;;60;55;;
C649I;66;58;;;;41;;77;;;;83;
C029O;71;66;77;;;;84;;82;;;80;
2661;51;59;48;53;64;68;70;91;84;64;33;44;61
1549;32;49;33;50;54;56;62;87;80;59;28;23;51
9771C;47;56;62;57;65;71;83;81;81;63;45;26;61
1505;19;30;26;41;46;32;42;67;63;54;24;22;39
3191E;58;54;44;48;55;63;82;76;69;53;37;55;58
3129;57;53;44;50;56;65;85;83;77;57;40;54;60
3196;64;61;47;57;65;71;86;84;71;61;49;61;65
3200;60;58;46;54;62;66;86;85;74;59;48;54;63
3175;61;58;44;53;64;69;88;86;73;61;44;47;62
2462;37;21;22;40;44;50;80;81;63;41;20;60;47
6155A;55;59;39;55;71;80;87;82;62;50;;;
6000A;57;68;63;;73;70;78;69;;60;60;63;
7178I;70;65;63;69;79;80;88;77;70;63;58;77;72
7228;69;66;57;67;76;75;84;73;60;59;57;77;68
7031;69;63;;62;78;79;;78;64;;56;;
9263D;25;32;32;;37;48;65;70;74;51;28;36;
1690A;23;39;;40;;46;53;78;72;54;29;23;
1484C;26;43;33;43;61;48;53;76;78;65;30;27;49
2867;44;;49;56;63;61;84;88;84;63;43;55;
C929I;57;58;59;60;59;62;67;64;74;58;52;65;61
C430E;72;63;94;82;94;98;94;93;88;74;75;90;85
C139E;47;43;49;57;28;43;54;55;54;49;;59;
C449C;56;52;73;72;58;74;86;84;82;64;57;77;70
C447A;31;30;53;36;31;43;56;;64;43;30;45;
C429I;81;;77;73;;61;87;85;83;69;;84;
2465;41;34;35;52;55;58;81;86;78;57;31;58;56
5796;53;69;42;63;65;71;88;85;71;64;49;75;66
5783;61;77;52;69;67;76;88;86;84;68;53;83;72
2030;48;41;43;52;53;55;71;79;74;55;37;58;56
0016A;67;46;;57;55;70;75;67;65;57;51;70;
9981A;62;48;54;54;55;66;78;73;66;64;45;70;61
9381I;54;36;49;48;50;56;70;69;71;55;41;57;55
8368U;62;39;53;60;56;63;81;74;69;54;41;58;59
3260B;57;60;53;61;68;71;90;87;83;63;;;
8416;63;51;54;;;61;;61;59;57;41;62;
8414A;74;58;61;62;65;75;86;71;64;61;47;80;67
2422;34;53;48;51;60;58;73;84;83;61;36;31;56
2539;37;55;41;50;62;61;79;88;74;62;42;35;57
2614;31;47;46;53;65;;80;84;79;57;27;20;
9390;50;38;46;53;53;60;80;78;69;51;36;45;55
9434;64;53;55;58;69;71;83;86;80;62;46;56;65
