Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10240;10182;10067;10125;10182;10177;10181;10194;10203;10164;10123;10247;10174
1387E;10238;10179;10064;10122;10177;10174;10177;10189;10199;10160;10120;;
1428;10246;10180;10073;10124;10171;10169;10173;10182;10192;10160;10130;10254;10171
8175;10238;10148;10096;10132;10134;10132;;10138;10176;10144;10164;10279;
8178D;;10163;10112;10148;10152;10148;10139;10154;10190;10159;10178;10289;
8025;10216;10131;10087;10132;10144;10148;10144;10160;10183;10140;10151;10251;10157
8019;10218;10132;10089;10133;10144;10147;10143;10159;10182;10140;;;
6325O;10221;10134;10102;10129;10140;10142;10144;10149;10174;10138;;10254;
9091O;10239;10178;10073;10130;10174;10167;10164;10187;10206;10170;10151;10271;10176
1212E;10226;10179;10056;10123;;10177;;10197;10210;;;;
1208H;10218;10172;10050;10118;10175;10172;10171;10191;10204;10160;10115;10235;10165
1249I;10227;10180;10056;10119;10177;10173;10174;10192;10205;10167;10125;10245;10170
2444;10248;10167;10087;10121;10139;10131;10125;10136;10169;10148;10154;10274;10158
4452;10248;10158;10108;10132;10147;10145;10152;10139;10163;10138;10159;10274;10164
B954;10213;10130;10082;10137;10147;10149;10146;10162;10185;10139;10148;10248;10157
B893;10206;10126;10068;10140;10144;10149;10147;10162;10187;10137;10144;10239;10154
B228;10201;10123;;;10139;;;;;10129;10139;10235;
B278;10207;;10072;10136;10145;10149;10146;10162;10186;10138;10146;10243;
0200E;10186;10118;10046;10122;10131;10134;10132;10150;10179;10131;10135;10224;10141
0076;10198;10127;10056;10134;10145;;10148;10165;10193;10142;10143;;
1082;10224;10172;10061;10124;10178;10174;10173;10194;10209;10166;10135;10252;10172
2331;10240;10167;10070;10118;10151;10144;10137;10156;10184;10160;10150;10275;10163
3469A;10245;10157;10100;10129;10143;10138;10142;10134;10162;10138;10156;10274;10160
5973;10243;10161;10142;10150;10158;10166;10171;10150;10174;10146;10171;10263;10175
5960;10240;10156;10135;10144;10152;10158;10162;;10168;10141;;;
5910;10242;10160;10138;10148;10155;10163;10168;10147;10171;10143;10168;10262;10172
1111;10221;10173;10057;10123;10182;10177;10176;10197;10211;10166;10128;10245;10171
1109;10221;10171;10056;10122;10180;10175;10175;10195;10210;10165;10127;10246;10170
8500A;10206;10129;;10131;10144;10146;10145;10162;10189;;;10237;
5000C;10231;10150;;10148;10151;10157;10156;10153;10176;10149;10165;10257;
4121;10247;10157;10105;10131;10138;10131;10129;10132;10167;10142;10164;10284;10161
5402;10244;;10120;;10145;10143;10147;10136;10167;10140;10166;10268;
8096;;10139;10090;10128;10134;10130;10125;10137;10173;10143;10161;10274;
1014;10216;10161;10057;10121;10171;10168;10166;10188;10205;10160;10132;10246;10166
1024E;10220;10167;10060;10123;10176;10171;10171;10191;10207;10163;10135;10248;10169
0367;10186;10122;10042;;10135;;10135;10154;;10137;;10230;
5530E;10243;10151;10123;10128;10133;10127;10132;10131;10165;10142;10171;10275;10160
5514;10244;10153;10124;;10136;10128;10129;10129;10166;10142;10169;10272;
3013;10240;10157;10083;10124;10140;10136;10128;10145;10180;10154;10160;10280;10161
4642E;10242;10156;10126;10140;10153;10157;10162;10146;10170;10141;10165;10263;10168
9898;;10132;10064;10126;10136;;10129;10150;10183;10144;10153;10256;
5270B;10244;10157;10119;10132;;10136;10138;10131;10165;10140;10167;10268;
9170;10229;10165;10068;10121;10158;10153;10146;10168;10193;10159;10150;10265;10165
C249I;;;10187;10177;10175;10185;10175;10152;10167;10158;10179;10234;
C649I;10238;10172;;10183;10180;10189;10177;10156;10169;10161;10183;10230;
C029O;10234;10170;;10176;10175;10187;10174;;10168;;10180;10236;
2661;10240;10167;10071;10113;10145;10140;10142;10153;10177;10154;10145;10270;10160
1549;10250;10175;10080;10115;10152;10148;10152;10163;10183;10158;10146;10277;10167
9771C;10214;10135;10064;10129;10139;10138;10134;10157;10185;10146;10154;10260;10155
1505;10247;10186;10074;10124;10175;10171;10173;10189;10200;10167;10135;10260;10175
3191E;10231;10145;;10119;10131;10123;10116;10123;10159;10136;10150;10263;
3195;10239;10151;;10123;10134;10128;10123;10130;10164;10142;10156;10273;
3129;10241;10153;10085;10124;10135;10129;10124;10132;10167;10143;10156;10278;10156
3196;10239;10152;10088;10124;;10129;10124;10130;10164;10140;10155;10273;
3200;10238;10150;10086;10123;10132;10127;10123;10130;10164;10140;10155;10275;10154
3175;10241;10154;10087;10124;10133;10130;10124;10132;10166;10142;;10278;
2462;10246;10169;10099;10129;10144;10135;10123;10131;10171;10149;10161;10259;10160
6155A;10231;10147;10124;10142;10146;10149;10146;10154;;10137;10164;10260;
6000A;10229;10146;10129;10145;10148;10153;10154;10151;10174;10145;10163;10256;10166
7178I;10223;10135;10091;10133;10139;10143;10137;10154;10180;10141;10155;10256;10157
7228;10226;10139;10094;10136;10142;10145;10138;10156;10181;10143;10157;10259;10160
9263D;10233;10165;;10127;;10156;;10172;10197;10156;10149;10263;
1690A;10242;10167;10070;10112;10151;10152;;10163;10176;10148;10129;10256;
1484C;10234;;10064;10109;10153;10153;10160;10161;10175;10141;10124;10245;
1495;10250;10174;10081;10123;;;10171;;10185;10153;10135;10259;
2867;10251;;10087;10120;10143;10137;;10144;10170;10149;10151;10280;
2870;10263;10183;10101;10128;;10141;;10137;10163;10152;10160;10292;
C929I;10246;10177;10197;;10192;10201;10190;10170;10179;10165;10189;10226;
C430E;10236;10174;10161;10163;10144;10148;10121;10124;10144;10147;10175;10220;10163
C139E;;10162;;10181;10179;;10182;10160;10167;;10174;10214;
C449C;10242;10172;10189;10185;10183;10190;10179;10158;10169;10159;10182;10227;10186
C447A;10247;10178;10194;10191;10186;10194;10185;;10173;10164;10188;10232;
C429I;10240;10172;10189;10185;;10193;;10159;10170;10162;10183;;
2465;10248;10166;10086;10117;10139;10131;10122;10135;10164;10143;10149;10269;10156
5796;10241;;10129;10139;10147;10151;10155;;;10139;10166;10262;
5783;10240;10153;10123;10137;10147;10148;;10137;10165;10138;10164;;
2030;10232;10151;10070;10115;;10134;10127;10143;10175;10145;10149;10262;
0016A;10200;10126;10057;10131;10142;10145;10144;10162;;10140;10146;10239;
9981A;10205;10129;10062;10130;10143;10144;10143;10160;10189;10143;10149;10245;10154
9381I;10240;10158;;10125;10141;10138;10124;10150;10183;10154;10160;10277;
