Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;9975(06);9751(28);9679(01);9872(03);10028(21);9989(30);10009(01);10026(28);10043(03);9871(30);9892(06);9962(12);9679(01/mar)
1387E;9928(06);9705(28);9632(01);9820(03);9982(21);9945(30);9966(01);9984(28);9999(02);9827(30);9848(06);;
1428;9620(06);9399(28);9341(01);9529(10);9677(21);9643(30);9665(01);9693(28);9692(03);9528(30);9562(05);9621(13);9341(01/mar)
8175;9138(06);9142(28);9087(01);9151(10);9281(09);9280(30);;9313(07);9320(04);9193(28);9205(19);9257(13);
8178D;;9178(28);9127(01);9197(10);9325(09);9322(30);9350(01);9356(07);9363(03);9239(28);9249(19);9305(13);
8025;9856(06);9864(28);9803(01);9862(11);9988(25);9983(30);9993(01);10015(13);10014(03);9883(28);9883(19);9948(13);9803(01/mar)
8019;9916(06);9924(28);9862(01);9925(10);10045(09);10040(30);10048(01);10070(13);10070(04);9944(28);;;
6325O;9929(06);9947(28);9902(01);9955(10);10063(09);10047(29);10068(01);10069(07);10079(04);9959(28);;10045(13);
9091O;9407(07);9319(28);9206(01);9371(10);9513(21);9502(30);9506(01);9525(07);9550(03);9413(30);9412(20);9466(13);9206(01/mar)
1212E;9883(07);9700(28);9587(01);9801(03);;9912(30);;9973(28);9983(17);;;;
1208H;10019(07);9857(28);9718(01);9939(03);10101(21);10051(30);10075(01);10116(06);10128(17);9933(30);9959(05);10019(13);9718(01/mar)
1249I;9645(06);9468(28);9347(01);9563(10);9718(21);9683(30);9700(01);9735(06);9741(17);9565(30);9573(05);9658(13);9347(01/mar)
2444;8699(07);8626(28);8548(01);8666(10);8844(09);8825(29);8851(01);8859(08);8855(03);8713(30);8724(05);8797(13);8548(01/mar)
4452;9793(06);9674(28);9604(01);9760(10);9878(16);9832(29);9881(17);9864(27);9876(02);9771(30);9779(18);9887(13);9604(01/mar)
B954;9936(06);9951(28);9890(01);9915(11);10071(09);10050(30);10066(01);10092(13);10089(04);9941(28);9944(19);10007(13);9890(01/mar)
B893;9894(06);9891(28);9817(24);9855(11);9975(03);9964(11);9986(01);10022(13);10010(04);9793(29);9856(19);9925(13);9793(29/oct)
B228;9968(06);9942(28);;;10079(03);;;;;9928(29);9949(19);10026(13);
B278;9967(06);;9911(01);9929(11);10081(03);10064(30);10078(01);10108(13);10089(03);9926(29);9955(19);10017(13);
0200E;9508(06);9492(28);9410(01);9448(11);9600(03);9609(12);9621(01);9653(07);9636(05);9430(29);9523(19);9550(13);9410(01/mar)
0076;9979(06);9973(28);9874(01);9916(11);10067(03);;10085(01);10110(13);10098(03);9905(29);9994(19);;
