Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10.5;6.9;10.1;12.0;14.0;16.5;19.8;20.6;18.7;12.0;11.3;12.4;6.9
1387E;9.5;6.2;10.0;12.0;13.7;16.1;20.5;20.4;19.6;11.9;10.8;12.4;6.2
1428;7.4;5.5;7.0;9.8;11.6;13.1;18.2;20.6;20.8;9.2;8.6;9.7;5.5
8175;7.1;2.2;7.4;8.4;17.1;15.9;30.6;28.6;22.1;9.1;11.4;5.8;2.2
8178D;7.6;2.6;8.0;8.2;17.5;16.4;30.5;29.2;22.4;8.8;10.8;6.4;2.6
8025;14.1;9.5;14.1;16.9;18.3;24.6;29.1;28.9;26.3;14.9;14.7;15.1;9.5
8019;14.3;9.7;14.6;16.4;18.9;24.4;;29.5;26.3;15.3;;;
6325O;13.8;13.8;15.1;16.7;19.2;21.7;23.4;28.5;;16.0;17.7;16.4;
9091O;4.6;2.7;4.0;8.0;10.9;17.0;21.4;19.0;19.6;6.7;7.1;4.5;2.7
1212E;9.6;4.2;;12.0;;15.5;;21.4;18.1;8.2;10.2;11.5;
1208H;10.9;6.2;9.6;12.1;14.4;15.8;20.8;20.7;18.5;9.0;12.6;11.6;6.2
1249I;5.9;2.4;5.9;10.4;11.8;13.7;17.7;18.9;17.2;4.0;9.2;10.0;2.4
2444;0.4;-0.7;3.6;6.8;10.8;13.6;23.0;24.1;20.5;4.4;7.0;6.3;-0.7
4452;8.6;11.1;13.6;12.5;19.0;21.2;26.3;32.2;28.5;13.0;14.0;10.7;8.6
B954;13.5;9.4;12.6;14.9;17.2;23.0;28.5;26.2;26.6;16.0;16.5;15.1;9.4
B893;12.5;5.8;9.3;16.5;14.1;23.2;28.8;26.6;;14.4;14.6;12.9;
B228;12.9;8.0;11.7;15.7;17.5;22.0;28.3;28.5;26.9;15.5;15.6;15.0;8.0
B278;12.1;7.2;11.0;16.3;17.3;22.7;29.9;29.4;27.0;15.8;15.3;15.8;7.2
0200E;9.6;1.7;10.3;11.3;14.6;19.6;26.2;21.4;22.9;9.1;11.0;10.3;1.7
0076;12.2;5.1;10.0;15.0;16.8;;27.2;26.1;24.2;13.1;12.6;11.7;
1082;8.3;3.0;8.0;10.5;12.9;19.5;21.2;21.6;19.4;10.6;9.1;11.8;3.0
2331;1.3;1.3;2.6;5.9;11.5;15.4;20.8;19.2;19.6;5.5;5.9;6.2;1.3
3469A;7.3;8.2;11.0;9.2;16.9;18.2;25.1;29.9;26.4;11.8;12.6;7.0;7.0
5973;12.3;12.4;14.5;15.3;17.3;19.5;23.6;25.1;24.8;16.1;16.8;15.7;12.3
5960;11.2;11.9;14.4;15.1;18.6;20.2;27.4;;27.3;12.9;15.5;;
5910;10.3;12.5;15.0;15.5;18.4;21.7;24.5;26.1;26.2;15.0;15.6;15.0;10.3
6001;12.2;10.5;;;;19.0;;23.6;23.7;15.1;;14.6;
1111;10.0;5.0;8.6;11.5;13.4;16.9;21.0;21.0;18.2;10.5;11.0;10.2;5.0
1109;9.5;5.2;9.0;12.0;14.1;18.2;21.0;22.0;19.2;10.1;11.7;11.3;5.2
8500A;11.2;8.1;14.7;14.3;19.4;23.5;25.6;27.5;24.7;15.0;14.3;14.1;8.1
5000C;12.4;10.3;14.7;15.3;18.3;20.6;24.9;25.3;23.5;14.7;16.3;15.7;10.3
4121;4.5;4.8;9.4;8.8;14.7;18.9;27.8;31.2;27.1;9.2;11.5;4.2;4.2
5402;7.5;8.7;12.9;13.5;17.5;20.4;29.5;33.1;23.1;13.2;14.6;10.3;7.5
8096;3.1;2.3;4.7;4.3;15.3;16.0;28.0;23.5;24.7;6.6;8.4;7.2;2.3
1014;8.5;2.9;8.5;12.0;14.4;17.5;22.5;22.2;18.5;9.6;9.1;7.0;2.9
1024E;7.0;0.1;6.7;10.5;12.6;16.3;20.7;19.5;16.0;9.0;8.2;6.6;0.1
0367;;4.7;7.8;;15.0;;26.6;23.9;;9.7;;10.7;
5530E;7.0;8.0;12.3;13.5;15.8;22.6;28.9;33.6;21.4;11.0;12.0;11.1;7.0
5514;6.4;6.2;9.2;;15.2;21.0;28.0;32.3;20.2;10.6;12.5;11.5;
3013;2.9;1.1;4.2;3.6;12.7;16.3;24.1;26.3;21.5;4.6;8.0;6.4;1.1
4642E;12.7;10.1;15.1;15.4;19.6;21.7;24.8;27.2;25.8;12.8;14.6;15.4;10.1
9898;3.8;3.2;6.9;6.6;14.9;17.6;27.3;26.8;22.2;7.1;7.1;3.8;3.2
5270B;6.7;5.9;9.2;10.7;;18.8;26.1;30.9;23.4;;11.5;9.3;
9170;2.3;3.3;6.0;10.0;14.3;20.1;23.4;23.8;22.5;8.7;9.4;6.1;2.3
C249I;;;19.9;;21.6;22.5;24.6;25.5;25.2;22.6;20.9;20.1;
C649I;16.1;17.2;;;20.0;22.8;;26.0;;21.8;19.6;;
C029O;15.7;16.7;20.9;21.1;21.7;;27.5;26.7;27.7;;19.3;19.9;
2661;0.8;0.7;2.3;8.4;11.0;13.6;19.1;22.0;21.1;5.8;4.0;4.3;0.7
1549;4.0;1.8;6.5;10.5;11.1;14.8;21.8;24.1;23.0;9.0;7.1;2.7;1.8
9771C;4.6;4.1;11.2;10.4;18.9;21.1;29.2;28.4;25.1;12.0;10.2;4.0;4.0
1505;5.8;3.1;5.0;10.1;11.3;14.2;17.9;19.4;18.4;6.6;9.0;4.9;3.1
3191E;0.4;1.0;6.2;5.3;13.2;16.0;24.3;27.7;18.7;6.0;5.3;5.2;0.4
3195;4.7;2.8;8.5;7.6;15.9;18.6;27.5;30.4;23.6;9.0;9.2;8.0;2.8
3129;4.7;3.3;9.6;8.0;16.3;19.6;28.5;31.4;24.2;9.3;9.0;7.8;3.3
3196;3.5;2.5;8.7;7.1;16.4;19.6;27.6;31.2;22.0;9.5;9.5;8.0;2.5
3200;3.5;3.6;9.0;7.4;16.4;18.8;27.4;31.2;24.0;9.6;10.8;6.8;3.5
3175;4.7;3.6;8.5;7.4;16.6;19.4;28.0;32.2;24.1;9.4;10.3;7.6;3.6
2462;-3.9;-7.3;-4.7;-0.8;3.8;6.4;17.0;18.9;15.6;-4.0;0.1;-0.7;-7.3
6155A;9.4;13.0;15.3;13.0;19.8;23.6;27.0;29.3;24.5;14.2;15.6;15.2;9.4
6000A;12.9;10.3;15.2;15.8;19.0;22.0;25.8;27.9;23.6;17.9;17.8;15.9;10.3
7178I;14.3;11.5;15.6;18.6;21.3;24.5;32.0;30.7;25.6;13.3;14.8;15.4;11.5
7228;13.5;11.6;16.0;19.6;21.3;24.2;31.5;30.8;25.0;14.5;14.8;14.8;11.6
7031;13.5;11.0;13.0;18.0;20.0;23.4;27.1;28.8;25.5;16.0;16.5;15.0;11.0
9262;3.2;3.3;4.1;7.8;12.1;16.6;21.8;21.6;19.4;5.2;6.0;5.2;3.2
9263D;3.1;3.0;3.1;7.5;11.8;18.2;22.4;22.4;19.7;5.5;;4.9;
1690A;7.1;6.8;9.5;11.7;15.4;16.1;23.0;26.5;27.2;11.5;11.7;11.5;6.8
1484C;8.7;8.4;10.7;11.1;12.8;14.2;19.1;21.4;22.2;11.6;11.2;11.6;8.4
1495;8.2;8.3;9.4;9.7;12.6;13.5;18.8;22.5;22.5;10.0;10.2;10.6;8.2
2867;2.0;1.2;7.8;8.1;13.8;14.2;;26.0;24.9;8.5;8.3;6.8;
2870;3.7;2.3;8.3;8.7;15.1;15.0;23.1;26.7;26.0;9.7;9.1;8.6;2.3
C929I;19.0;17.7;19.3;19.7;20.4;21.1;23.6;24.3;24.7;22.0;20.3;20.6;17.7
C430E;-1.9;-2.1;5.1;1.4;6.3;13.0;17.3;16.3;11.8;7.2;0.0;8.2;-2.1
C139E;;17.1;;20.2;20.4;21.6;24.2;25.0;24.4;21.6;20.4;21.4;
C449C;17.8;17.4;20.5;20.7;22.2;23.4;25.6;26.8;26.8;21.9;21.2;20.8;17.4
C447A;12.0;12.5;14.3;13.5;16.5;16.9;20.6;21.1;21.2;16.6;15.2;15.4;12.0
C429I;;17.7;20.6;20.7;;21.7;;26.9;27.2;24.0;21.8;22.0;
2465;1.1;0.1;2.7;6.3;11.8;13.7;24.1;25.8;21.8;5.3;7.4;6.5;0.1
