Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;9.3;6.6;7.6;10.2;12.1;14.7;17.0;16.8;16.0;12.6;10.5;10.7;12.0
1387E;6.7;3.6;5.6;7.9;10.2;13.8;15.9;14.7;14.1;9.6;8.2;7.8;9.8
1428;4.7;2.2;3.9;6.5;8.7;12.3;14.6;14.0;13.7;8.8;6.8;6.9;8.6
8175;0.9;-0.5;4.0;6.2;8.6;13.6;16.3;18.4;15.3;8.1;4.8;0.1;8.0
8178D;2.1;0.7;4.7;7.3;9.9;14.9;18.4;19.5;16.4;9.5;6.2;1.8;9.3
8025;7.8;6.1;9.6;12.0;14.4;18.4;21.9;22.6;20.5;14.1;9.9;7.3;13.7
8019;8.0;6.5;8.6;11.5;14.3;18.5;;23.3;21.1;14.8;;;
6325O;8.5;8.0;10.5;12.6;14.7;18.7;20.6;23.9;;16.5;11.7;9.5;
9091O;2.2;0.4;3.5;6.2;6.7;11.4;14.5;12.8;11.3;7.0;5.0;1.7;6.9
1212E;7.3;4.1;;8.7;;14.0;;16.0;15.3;9.8;8.2;8.1;
1208H;8.7;5.8;7.7;10.5;12.6;15.8;18.7;18.2;17.2;12.0;9.6;9.5;12.2
1249I;5.5;2.3;4.8;7.7;9.4;13.3;16.0;15.8;14.9;9.3;7.0;6.9;9.4
2444;-0.7;-2.3;1.5;5.2;7.4;11.7;13.6;15.0;13.0;6.4;3.8;0.8;6.3
4452;4.2;3.1;7.2;9.2;11.3;15.8;16.3;19.0;18.1;11.9;8.2;4.3;10.7
B954;8.7;5.8;10.1;12.0;13.9;18.5;21.8;23.2;21.0;15.2;11.5;7.5;14.1
B893;8.0;5.5;8.6;11.4;13.1;17.5;20.9;21.6;;15.8;11.8;8.0;
B228;10.3;6.6;10.3;13.2;15.2;19.5;23.2;24.0;21.8;16.4;12.6;9.9;15.3
B278;6.2;3.3;7.6;10.0;12.1;16.8;19.9;20.9;19.0;13.0;8.8;5.3;11.9
0200E;7.0;3.3;6.5;11.1;12.8;17.5;20.7;21.4;18.6;13.4;9.5;8.1;12.5
0076;7.7;4.6;8.1;12.1;15.0;;22.6;23.4;20.5;15.0;10.3;7.8;
1082;6.3;3.0;7.1;10.4;10.6;14.7;17.9;16.6;15.3;10.8;8.9;6.9;10.7
2331;0.2;-2.0;1.6;4.5;5.4;10.1;12.8;12.2;10.6;5.6;3.6;1.7;5.5
3469A;4.2;3.1;6.3;8.8;10.8;15.6;17.2;20.2;18.4;11.9;8.5;4.4;10.8
5973;9.8;8.9;12.2;13.7;16.1;18.5;20.4;22.8;22.4;17.6;13.6;11.5;15.6
5960;4.6;2.4;8.9;10.0;11.2;14.4;15.0;;18.2;12.8;9.3;;
5910;6.6;4.9;10.7;11.7;13.4;16.5;18.2;21.1;20.4;15.4;11.3;7.7;13.2
6001;9.7;8.5;;;;17.0;;20.7;20.9;16.4;;11.2;
1111;9.1;5.6;8.2;10.7;12.0;15.5;18.3;18.2;16.7;12.1;10.3;10.3;12.3
1109;7.8;4.6;7.8;10.8;11.9;15.5;18.9;17.9;16.4;11.8;9.0;8.3;11.7
8500A;8.0;5.5;9.0;11.6;14.4;19.1;22.3;22.7;20.3;14.6;10.9;8.4;13.9
5000C;11.4;10.1;12.1;12.9;15.1;18.2;19.9;21.5;21.2;17.0;13.6;13.2;15.5
4121;2.6;1.2;5.3;7.7;11.0;16.1;19.0;19.9;16.9;10.1;6.5;2.1;9.9
5402;3.4;2.2;7.1;9.6;12.0;16.9;17.8;20.7;19.1;13.0;8.7;4.4;11.2
8096;0.9;-0.9;2.8;6.1;8.8;13.6;16.1;17.6;14.6;7.7;4.7;0.5;7.7
1014;7.2;3.7;7.5;10.9;12.2;16.0;19.5;18.4;16.7;11.6;8.1;7.8;11.6
1024E;6.9;3.1;6.6;10.5;10.9;15.0;18.0;17.4;16.1;11.7;9.3;8.7;11.2
0367;;0.0;3.3;;10.5;;17.6;18.5;;11.0;;2.7;
5530E;0.8;0.3;5.9;8.0;9.5;14.4;14.8;17.1;15.3;8.7;4.2;-0.3;8.2
5514;1.5;0.2;5.3;;9.0;14.5;15.8;18.5;15.6;9.5;5.2;1.5;
3013;-1.7;-4.0;1.2;2.8;6.0;9.6;11.5;11.7;10.3;3.6;1.8;-2.6;4.2
4642E;5.8;4.6;9.4;10.5;12.6;16.1;17.7;20.1;19.5;14.2;10.2;7.1;12.3
9898;3.3;0.1;3.3;7.5;9.5;14.2;17.5;17.0;15.2;9.5;6.3;3.5;8.9
5270B;5.1;3.9;6.6;10.3;;16.7;18.6;22.6;19.0;;8.6;6.9;
9170;3.3;2.0;4.2;6.9;9.6;13.7;16.8;16.4;14.2;8.9;5.6;3.2;8.7
C249I;;;16.2;;16.8;18.8;20.4;21.6;21.7;20.1;17.0;16.3;
C649I;15.2;14.0;;;16.9;18.5;;21.5;;19.7;17.0;;
C029O;13.2;12.7;15.3;15.1;16.1;;19.8;21.2;21.1;;16.0;14.3;
2661;-0.2;-2.1;0.4;4.2;6.4;11.4;12.5;12.1;12.0;5.5;2.9;1.4;5.5
1549;2.7;0.2;3.0;7.0;9.2;13.9;15.5;14.4;13.1;6.9;5.1;3.2;7.9
9771C;2.7;0.1;4.3;8.2;11.8;16.2;19.3;19.0;16.6;10.5;6.3;3.0;9.8
1505;3.4;0.7;3.2;5.6;7.8;12.1;14.6;12.7;12.5;7.0;5.5;4.6;7.5
3191E;2.2;0.1;2.4;6.3;9.2;14.2;17.2;19.0;16.3;9.2;5.2;4.5;8.8
3195;3.5;2.0;5.1;8.6;11.7;16.4;19.5;21.3;18.4;11.2;7.3;4.1;10.8
3129;1.0;0.1;5.2;7.2;10.2;14.8;16.9;18.6;16.0;9.3;6.0;1.2;8.9
3196;2.7;1.0;4.3;7.7;11.1;15.6;18.2;20.5;17.6;10.7;6.7;3.2;9.9
3200;2.4;0.6;4.6;8.0;11.6;16.1;19.3;21.1;18.1;11.1;6.9;3.0;10.2
3175;0.7;-0.9;4.1;6.5;9.6;14.2;15.9;17.9;15.7;8.9;5.5;1.0;8.3
2462;-2.5;-5.3;-4.2;0.8;3.6;9.0;11.4;14.0;11.5;4.1;0.1;1.5;3.7
6155A;8.6;7.3;10.3;11.7;14.4;18.8;21.1;22.8;21.5;15.7;11.3;8.5;14.3
6000A;10.8;9.1;12.7;13.3;15.4;18.8;22.0;23.2;22.1;17.0;13.0;11.4;15.7
7178I;6.7;5.7;9.4;11.8;14.6;18.7;22.3;23.2;21.0;14.9;9.7;6.8;13.7
7228;5.4;4.7;8.5;10.5;13.3;17.6;21.3;22.1;20.0;13.5;8.7;5.1;12.6
7031;7.1;6.0;9.3;11.8;14.7;18.8;21.8;23.5;21.9;15.2;10.4;6.9;14.0
9262;3.7;2.0;4.5;8.3;9.8;14.4;17.4;16.8;15.2;10.5;7.2;4.6;9.5
9263D;2.2;0.0;3.2;6.3;8.0;12.6;15.5;15.1;13.3;8.6;;2.6;
1690A;4.5;2.0;5.2;7.8;10.2;14.7;17.1;16.1;14.7;8.6;7.2;6.0;9.5
1484C;6.5;4.5;6.1;8.6;10.4;13.8;15.9;16.1;15.3;11.1;9.2;8.7;10.5
1495;5.6;3.7;5.4;8.1;10.3;13.5;15.4;16.2;15.6;10.5;8.4;8.0;10.1
2867;-0.2;-2.5;2.1;4.5;7.1;11.7;;12.1;11.0;5.2;3.7;-0.4;
2870;1.4;-0.3;3.4;6.2;8.5;13.1;15.1;15.1;13.7;7.5;5.3;2.2;7.6
C929I;17.5;16.0;17.5;17.6;18.1;19.7;21.0;22.0;22.3;20.9;19.0;18.5;19.2
C430E;0.7;-2.0;3.4;1.8;3.7;8.3;14.7;13.0;10.7;6.1;2.9;4.5;5.7
C139E;;14.6;;16.3;16.8;18.8;20.6;21.5;21.8;19.9;17.3;17.2;
C449C;15.8;14.9;16.8;16.8;17.8;19.3;20.9;22.3;22.1;20.3;17.8;16.6;18.5
C447A;10.3;9.3;10.9;11.1;11.8;13.7;15.7;17.4;17.2;14.6;12.4;11.8;13.0
C429I;;13.8;16.0;15.8;;18.5;;21.4;21.1;19.4;16.8;16.3;
2465;0.6;-1.1;2.0;5.9;7.8;12.4;14.6;15.8;14.2;7.5;4.8;2.9;7.3
5796;5.3;2.8;8.1;9.7;11.2;15.2;16.3;20.3;19.4;13.4;9.6;6.2;11.5
5783;6.1;4.8;9.1;10.9;13.1;16.9;17.9;21.3;20.2;14.7;10.4;7.2;12.7
2030;-0.2;-1.8;1.3;4.3;6.5;10.7;13.2;13.0;11.4;5.9;3.4;0.8;5.7
0016A;5.9;2.7;6.4;10.0;13.5;17.8;21.2;21.4;18.7;12.7;8.0;5.0;11.9
9981A;8.3;5.7;8.1;10.8;13.9;18.8;21.5;21.8;19.0;13.4;9.3;6.9;13.1
9381I;0.0;-2.2;2.4;4.1;7.2;11.0;14.1;14.0;11.9;5.6;3.3;-0.6;5.9
8368U;-1.2;-2.1;1.7;4.1;7.5;11.4;14.0;14.7;12.8;5.8;3.3;-1.3;5.9
3260B;2.6;1.1;5.3;7.9;11.3;15.8;19.1;20.2;17.7;10.6;7.3;2.3;10.1
8416;9.1;6.6;10.7;12.8;15.0;19.4;23.0;23.7;21.0;15.4;11.6;8.8;14.8
8414A;5.7;3.5;8.2;10.3;13.0;17.7;21.4;22.3;19.4;13.3;9.5;5.8;12.5
2422;1.2;-0.5;3.0;6.4;8.8;13.1;15.1;15.3;13.8;7.5;5.1;2.7;7.6
2539;-0.4;-2.7;1.4;4.2;6.6;;12.7;12.9;11.9;5.2;3.4;1.0;
2614;2.1;-0.5;3.7;6.7;8.8;13.4;15.6;15.5;14.1;7.5;5.3;3.5;8.0
9390;0.4;-1.7;2.7;5.1;7.9;11.8;15.1;15.0;12.8;6.5;4.1;0.2;6.7
9434;4.1;2.6;5.8;9.0;12.3;16.9;20.2;19.6;17.6;11.4;7.6;4.3;11.0
