Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1387;Min;3.0;3.0;0.0;2.0;4.0;2.0;1.0;1.0;1.0;4.0;1.0;5.0;103.0
1387;Q1;8.0;7.2;7.0;8.2;7.2;2.2;3.0;3.0;3.0;7.4;8.4;11.0;118.4
1387;Q2;12.4;10.8;10.0;11.4;9.0;5.0;4.0;5.0;7.0;12.4;12.4;13.4;130.0
1387;Q3;15.6;13.6;13.6;15.0;11.6;8.0;6.6;6.0;9.0;15.0;16.6;15.0;135.2
1387;Q4;19.8;16.0;16.0;17.0;15.0;9.8;8.0;9.0;12.0;16.8;19.8;18.8;140.8
1387;Max;25.0;23.0;26.0;27.0;21.0;15.0;12.0;12.0;16.0;22.0;25.0;25.0;144.0
1387;Mn;14.0;12.0;11.0;12.0;10.5;6.5;5.0;6.0;8.0;14.0;15.0;14.0;131.5
1387;Md;14.0;12.0;11.5;13.3;11.1;6.7;5.5;5.7;7.9;12.9;14.3;14.6;129.6
1387;S;5.72;4.92;5.46;5.46;4.34;3.74;2.91;2.86;4.27;4.76;5.95;4.99;10.97
1387;Cv;0.41;0.41;0.47;0.41;0.39;0.56;0.53;0.50;0.54;0.37;0.42;0.34;0.08
1387E;N;30;30;30;30;30;30;30;29;29;29;29;29;28
1387E;Min;4.0;3.0;0.0;2.0;4.0;2.0;1.0;0.0;2.0;3.0;1.0;5.0;104.0
1387E;Q1;7.0;8.0;7.2;9.0;7.0;3.2;2.0;3.0;5.0;10.0;8.0;11.0;118.2
1387E;Q2;13.0;10.4;11.0;11.4;10.0;5.4;4.4;5.0;7.0;14.0;13.0;13.0;131.6
1387E;Q3;15.6;13.0;12.0;15.0;11.6;7.0;7.0;6.0;9.0;15.0;15.0;16.0;134.4
1387E;Q4;18.8;16.0;15.8;17.8;16.6;9.8;9.0;10.0;12.0;17.0;19.0;18.0;143.2
1387E;Max;24.0;24.0;27.0;28.0;21.0;18.0;11.0;12.0;19.0;22.0;27.0;26.0;146.0
1387E;Mn;13.5;12.5;12.0;13.0;11.0;7.0;6.0;5.0;8.0;14.0;14.0;15.0;133.0
1387E;Md;13.6;12.0;11.6;13.5;11.8;6.7;5.6;5.9;8.2;13.3;13.9;14.6;130.9
1387E;S;5.74;5.10;5.26;5.81;4.73;3.85;2.99;3.16;4.20;4.93;6.17;5.09;11.69
1387E;Cv;0.42;0.42;0.45;0.43;0.40;0.58;0.53;0.54;0.51;0.37;0.44;0.35;0.09
1428;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1428;Min;3.0;3.0;0.0;4.0;3.0;2.0;1.0;0.0;2.0;0.0;1.0;3.0;112.0
1428;Q1;7.2;7.2;9.0;8.2;9.0;4.0;2.0;2.0;4.0;10.2;8.6;11.2;125.8
1428;Q2;15.0;11.4;11.0;13.0;11.0;5.4;5.0;4.4;7.0;12.0;14.0;15.0;135.4
1428;Q3;16.6;15.0;13.6;15.6;13.6;7.6;6.6;6.0;9.0;16.0;15.6;16.0;144.6
