Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;29;29
1387;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1387;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1387;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1387;Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1387;Q4;0.0;0.0;0.0;0.0;0.0;1.0;0.8;0.0;0.8;0.0;0.0;0.0;3.0
1387;Max;0.0;0.0;0.0;0.0;1.0;3.0;3.0;2.0;2.0;0.0;0.0;0.0;5.0
1387;Mn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1387;Md;0.0;0.0;0.0;0.0;0.1;0.4;0.4;0.2;0.3;0.0;0.0;0.0;1.4
1387;S;0.00;0.00;0.00;0.00;0.35;0.82;0.85;0.57;0.58;0.00;0.00;0.00;1.30
1387;Cv;-;-;-;-;2.59;1.89;2.32;2.44;2.19;-;-;-;0.90
1387E;N;29;29;30;30;30;30;29;28;29;29;27;29;25
1387E;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1387E;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
1387E;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4
1387E;Q3;0.0;0.0;0.0;0.0;0.0;0.6;1.0;1.0;1.0;0.0;0.0;0.0;4.0
1387E;Q4;0.0;0.0;0.0;0.0;0.8;2.0;2.0;2.0;1.0;0.0;0.0;0.0;6.0
1387E;Max;0.0;0.0;0.0;0.0;3.0;4.0;8.0;3.0;4.0;0.0;0.0;0.0;11.0
1387E;Mn;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;3.0
1387E;Md;0.0;0.0;0.0;0.0;0.3;0.8;1.4;0.9;0.8;0.0;0.0;0.0;3.8
1387E;S;0.00;0.00;0.00;0.00;0.70;1.14;1.94;1.04;1.18;0.00;0.00;0.00;2.73
1387E;Cv;-;-;-;-;2.34;1.48;1.37;1.22;1.56;-;-;-;0.73
1428;N;30;30;28;28;29;28;30;29;28;27;28;28;26
1428;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0
