Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;22;29;25;27;26;24;25;23;29;25;23;26;6
1387;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387;Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387;Q4;1.4;1.0;1.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;
1387;Max;3.0;3.0;3.0;3.0;1.0;1.0;0.0;0.0;1.0;2.0;3.0;4.0;
1387;Mn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387;Md;0.7;0.5;0.5;0.3;0.0;0.0;0.0;0.0;0.0;0.2;0.3;0.5;
1387;S;1.09;0.87;0.82;0.66;0.20;0.20;0.00;0.00;0.19;0.50;0.78;1.03;
1387;Cv;1.59;1.68;1.71;2.53;5.10;4.90;-;-;5.39;2.50;2.23;1.91;
1387E;N;26;26;24;24;26;24;24;20;22;25;22;22;12
1387E;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387E;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387E;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387E;Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387E;Q4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;
1387E;Max;3.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;
1387E;Mn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1387E;Md;0.4;0.3;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.2;0.3;
1387E;S;0.81;0.55;0.59;0.28;0.00;0.20;0.00;0.00;0.00;0.33;0.50;0.46;
1387E;Cv;1.91;1.78;2.82;3.39;-;4.90;-;-;-;2.76;2.76;1.67;
1428;N;19;27;22;21;19;18;23;20;22;18;23;15;2
1428;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1428;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1428;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1428;Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1428;Q4;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.8;
1428;Max;2.0;2.0;2.0;2.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;5.0;
1428;Mn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1428;Md;0.5;0.1;0.2;0.1;0.1;0.0;0.0;0.0;0.1;0.3;0.1;0.7;
1428;S;0.70;0.46;0.53;0.44;0.23;0.00;0.00;0.00;0.29;0.59;0.29;1.59;
1428;Cv;1.47;3.08;2.33;4.58;4.36;-;-;-;3.24;1.78;3.31;2.38;
8175;N;8;9;6;6;8;7;6;8;7;6;10;10;2
8175;Min;;;;;;;;;;;;;
8175;Q1;;;;;;;;;;;;;
8175;Q2;;;;;;;;;;;;;
8175;Q3;;;;;;;;;;;;;
8175;Q4;;;;;;;;;;;;;
8175;Max;;;;;;;;;;;;;
8175;Mn;;;;;;;;;;;;;
8175;Md;;;;;;;;;;;;;
8175;S;;;;;;;;;;;;;
8175;Cv;;;;;;;;;;;;;
8178D;N;12;8;11;11;11;10;10;11;8;8;7;13;1
8178D;Min;;;;;;;;;;;;;
8178D;Q1;;;;;;;;;;;;;
8178D;Q2;;;;;;;;;;;;;
8178D;Q3;;;;;;;;;;;;;
8178D;Q4;;;;;;;;;;;;;
8178D;Max;;;;;;;;;;;;;
8178D;Mn;;;;;;;;;;;;;
8178D;Md;;;;;;;;;;;;;
8178D;S;;;;;;;;;;;;;
8178D;Cv;;;;;;;;;;;;;
8025;N;30;30;30;30;28;29;29;30;29;28;29;29;25
8025;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8025;Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8025;Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8025;Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
