Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;26;30;28;28;24;22;23;25;28;30;29;28;20
1387;Min;5.0;3.0;2.0;5.0;5.0;3.0;3.0;2.0;1.0;3.0;3.0;6.0;91.0
1387;Q1;11.0;6.2;7.0;6.0;8.0;6.6;5.0;5.0;4.6;9.2;10.0;10.0;108.0
1387;Q2;12.0;10.0;11.0;10.0;12.0;7.0;7.0;6.0;6.0;11.0;12.0;12.0;123.4
1387;Q3;13.0;13.0;13.0;14.0;14.0;10.8;8.0;8.0;7.0;12.6;14.0;15.0;134.0
1387;Q4;16.6;16.8;15.4;16.0;15.0;11.0;10.2;10.8;10.2;15.0;18.0;17.6;158.2
1387;Max;21.0;20.0;25.0;21.0;21.0;14.0;16.0;16.0;14.0;19.0;22.0;25.0;169.0
1387;Mn;12.0;11.0;12.0;11.5;12.5;8.0;8.0;7.0;7.0;12.0;13.0;13.5;126.0
1387;Md;13.2;11.3;12.0;11.5;12.2;8.7;7.8;7.6;7.1;11.7;13.3;14.1;129.6
1387;S;3.87;4.71;5.22;4.56;4.11;2.91;3.26;3.37;3.41;3.56;4.70;4.89;22.89
1387;Cv;0.29;0.42;0.43;0.40;0.34;0.33;0.42;0.44;0.48;0.30;0.35;0.35;0.18
1387E;N;23;21;23;22;23;23;23;22;23;21;21;22;18
1387E;Min;2.0;1.0;0.0;3.0;3.0;3.0;3.0;1.0;1.0;4.0;0.0;4.0;60.0
1387E;Q1;6.0;4.0;5.8;6.0;5.0;5.0;4.0;3.0;2.8;6.0;4.8;6.0;79.8
1387E;Q2;7.6;6.0;7.6;7.0;7.6;5.6;5.6;5.0;4.6;7.8;7.0;7.2;85.2
1387E;Q3;8.4;10.0;9.0;8.0;10.0;7.0;6.0;6.0;7.0;8.2;10.0;9.8;96.0
1387E;Q4;12.0;12.0;10.6;11.0;11.0;9.2;7.2;8.0;8.0;11.0;14.8;12.4;105.2
1387E;Max;16.0;15.0;21.0;15.0;20.0;12.0;10.0;12.0;9.0;16.0;18.0;17.0;122.0
1387E;Mn;8.0;8.0;8.0;7.5;9.0;6.0;6.0;6.0;6.0;8.0;9.0;9.0;93.0
1387E;Md;8.7;7.9;8.4;8.2;8.9;6.8;5.9;5.6;5.5;8.4;9.0;9.3;91.9
1387E;S;3.28;3.99;4.25;3.19;4.03;2.56;1.79;2.77;2.48;2.94;4.98;3.55;15.31
1387E;Cv;0.38;0.50;0.50;0.39;0.45;0.38;0.31;0.50;0.45;0.35;0.55;0.38;0.17
1428;N;27;28;28;28;28;29;29;30;28;26;27;27;19
1428;Min;2.0;3.0;0.0;3.0;5.0;3.0;1.0;1.0;0.0;2.0;0.0;7.0;89.0
1428;Q1;7.0;6.0;5.0;7.0;7.8;5.0;5.0;3.0;3.0;7.4;6.6;8.6;107.0
1428;Q2;12.0;8.6;9.0;9.0;10.6;7.0;6.0;4.4;5.6;11.0;12.0;11.2;117.0
1428;Q3;13.0;11.8;11.0;12.4;14.4;9.0;7.0;6.0;8.0;13.0;13.0;16.0;121.0
1428;Q4;17.0;15.0;14.6;15.0;16.2;11.0;9.0;7.8;11.0;14.6;15.0;17.0;137.0
1428;Max;23.0;21.0;25.0;24.0;23.0;16.0;12.0;13.0;13.0;20.0;21.0;21.0;146.0
1428;Mn;13.0;11.0;10.0;10.0;13.0;8.0;7.0;5.0;7.0;12.0;13.0;15.0;119.0
1428;Md;12.3;10.8;10.8;11.1;12.4;8.4;6.6;5.7;6.8;11.3;11.8;13.3;119.6
1428;S;5.17;4.73;5.57;5.05;4.52;3.21;2.48;2.99;3.49;4.18;4.77;4.22;15.33
1428;Cv;0.42;0.44;0.52;0.46;0.37;0.38;0.38;0.53;0.52;0.37;0.41;0.32;0.13
8175;N;28;28;27;25;28;28;28;27;27;26;26;27;22
8175;Min;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;38.0
8175;Q1;3.0;4.0;4.0;4.0;4.6;0.0;0.0;1.0;0.6;2.0;3.0;5.0;46.4
8175;Q2;5.2;5.6;6.0;5.0;6.0;1.0;0.0;1.0;3.0;5.0;5.8;7.2;55.2
8175;Q3;8.0;8.0;8.0;6.6;7.0;2.0;1.0;1.0;3.0;7.0;8.0;9.8;65.4
8175;Q4;11.2;10.2;9.4;9.8;9.0;3.2;1.0;2.4;4.4;9.6;11.2;11.4;70.4
8175;Max;13.0;13.0;14.0;16.0;14.0;12.0;2.0;4.0;7.0;13.0;19.0;17.0;105.0
8175;Mn;7.0;6.0;7.0;6.0;7.0;1.5;0.0;1.0;3.0;5.0;6.5;8.0;61.5
8175;Md;6.8;6.5;7.0;6.6;6.5;2.4;0.5;1.5;2.7;5.8;7.3;8.4;61.1
8175;S;4.15;3.40;3.38;3.57;2.95;2.96;0.69;1.12;1.89;3.63;4.28;3.51;14.99
8175;Cv;0.61;0.52;0.49;0.54;0.45;1.22;1.29;0.76;0.69;0.62;0.59;0.42;0.25
8178D;N;6;5;4;4;6;5;4;3;2;2;2;2;1
8178D;Min;;;;;;;;;;;;;
8178D;Q1;;;;;;;;;;;;;
8178D;Q2;;;;;;;;;;;;;
8178D;Q3;;;;;;;;;;;;;
8178D;Q4;;;;;;;;;;;;;
8178D;Max;;;;;;;;;;;;;
8178D;Mn;;;;;;;;;;;;;
8178D;Md;;;;;;;;;;;;;
8178D;S;;;;;;;;;;;;;
8178D;Cv;;;;;;;;;;;;;
8025;N;30;30;30;30;28;29;29;29;30;29;29;30;25
8025;Min;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;25.0
8025;Q1;1.2;2.2;3.2;2.2;2.0;0.0;0.0;0.0;1.0;2.0;3.0;2.2;38.4
8025;Q2;4.0;4.4;5.0;4.4;4.0;1.0;0.0;1.0;2.0;3.0;4.0;4.0;46.0
8025;Q3;6.0;6.0;7.0;6.0;5.0;2.0;1.0;1.0;3.0;4.0;5.0;5.0;48.6
8025;Q4;6.8;8.0;8.0;8.0;7.2;4.0;1.0;2.0;4.0;7.0;8.0;7.0;52.0
8025;Max;10.0;12.0;14.0;12.0;13.0;9.0;2.0;4.0;7.0;10.0;10.0;10.0;65.0
8025;Mn;5.0;5.0;5.5;5.0;4.0;2.0;0.0;1.0;2.5;4.0;5.0;4.5;47.0
8025;Md;4.6;5.3;6.2;5.2;4.9;2.3;0.6;1.2;2.8;4.1;5.0;4.7;45.9
8025;S;2.72;2.90;3.05;2.90;2.92;2.14;0.73;1.17;1.96;2.69;2.54;2.26;9.16
8025;Cv;0.59;0.55;0.49;0.55;0.60;0.94;1.25;1.00;0.71;0.66;0.50;0.48;0.20
8019;N;30;30;30;30;30;29;30;30;30;30;29;28;26
8019;Min;0.0;1.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;39.0
8019;Q1;2.2;3.2;5.0;3.2;4.0;1.0;0.0;0.0;1.0;4.0;3.0;4.0;47.4
8019;Q2;4.0;5.0;6.0;5.0;5.0;3.0;0.0;1.0;3.0;4.4;4.0;5.0;58.0
8019;Q3;7.0;7.0;8.0;7.6;6.0;4.0;1.0;2.0;4.0;5.0;6.0;6.4;64.2
8019;Q4;8.0;8.8;10.0;10.0;9.6;4.0;2.0;3.0;6.0;8.0;9.0;9.0;69.6
8019;Max;11.0;11.0;14.0;16.0;13.0;9.0;3.0;4.0;8.0;12.0;13.0;10.0;75.0
