Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;26;30;28;28;24;22;23;25;28;30;29;28;20
1387;Min;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;21.0
1387;Q1;1.0;1.0;1.8;0.0;0.0;1.6;2.0;2.2;3.0;1.2;0.0;1.0;39.2
1387;Q2;2.0;1.4;3.0;2.0;1.0;3.0;4.6;3.0;4.0;2.0;1.0;2.0;47.2
1387;Q3;4.0;3.0;4.0;3.4;3.0;5.0;6.0;5.6;6.0;4.0;3.0;5.0;51.2
1387;Q4;6.0;7.0;7.2;6.0;4.0;7.0;8.2;8.8;7.2;5.0;4.0;8.0;56.8
1387;Max;16.0;12.0;13.0;12.0;7.0;10.0;10.0;13.0;15.0;13.0;11.0;15.0;67.0
1387;Mn;3.0;3.0;4.0;2.0;2.0;3.5;6.0;4.0;5.5;3.0;2.0;3.0;49.0
1387;Md;3.6;3.6;4.4;3.5;2.3;4.3;5.4;5.2;5.7;3.5;2.7;4.6;48.6
1387;S;3.74;3.33;3.56;3.53;2.01;2.76;2.68;3.28;3.44;2.62;2.81;4.25;10.28
1387;Cv;1.04;0.92;0.80;1.01;0.86;0.65;0.50;0.63;0.60;0.74;1.06;0.92;0.21
1387E;N;23;21;23;22;23;23;23;22;23;21;21;22;18
1387E;Min;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;34.0
1387E;Q1;1.8;2.0;1.0;0.6;0.8;2.8;3.8;2.6;2.8;2.0;0.0;2.0;47.8
1387E;Q2;3.0;3.0;5.0;3.0;1.6;5.0;5.0;4.2;4.0;2.0;2.0;3.2;61.8
1387E;Q3;5.0;6.2;6.0;5.6;4.0;6.0;6.4;9.8;8.0;4.0;3.2;7.8;64.4
1387E;Q4;6.2;10.6;8.6;8.4;7.0;9.0;9.0;11.4;9.2;5.0;5.0;9.4;69.8
1387E;Max;18.0;14.0;16.0;16.0;11.0;12.0;10.0;13.0;15.0;9.0;12.0;17.0;81.0
1387E;Mn;3.0;4.0;6.0;4.0;3.0;6.0;6.0;5.5;7.0;4.0;3.0;4.0;63.0
1387E;Md;4.4;5.7;5.9;4.9;3.5;6.0;5.9;6.9;6.3;3.5;3.3;5.7;60.9
1387E;S;3.86;4.27;4.55;4.19;3.07;3.23;2.76;4.14;3.74;2.20;3.35;4.25;11.49
1387E;Cv;0.88;0.75;0.77;0.86;0.88;0.54;0.47;0.60;0.59;0.63;1.01;0.75;0.19
1428;N;27;28;28;28;28;29;29;30;28;26;27;27;19
1428;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;33.0
1428;Q1;1.0;1.0;2.0;0.0;1.0;2.0;5.0;4.0;3.0;0.4;0.0;2.0;50.0
1428;Q2;3.0;2.6;3.0;2.0;2.0;4.0;5.0;5.0;4.0;2.0;2.0;2.2;53.0
1428;Q3;4.0;5.0;4.4;4.0;4.4;6.0;7.0;7.0;7.0;5.0;3.0;5.0;57.0
1428;Q4;6.2;7.4;8.0;5.2;6.0;8.0;10.0;10.0;9.2;6.0;5.0;9.0;73.0
1428;Max;17.0;12.0;16.0;13.0;10.0;10.0;15.0;16.0;16.0;11.0;11.0;15.0;88.0
1428;Mn;4.0;3.5;4.0;3.5;2.0;6.0;6.0;6.0;5.0;3.5;3.0;3.0;56.0
1428;Md;4.1;4.4;5.0;3.7;3.4;5.2;7.0;6.8;6.4;3.7;3.3;5.1;58.8
1428;S;3.93;3.47;3.89;3.33;2.91;2.98;3.47;3.50;3.72;3.11;3.37;4.43;12.99
1428;Cv;0.95;0.80;0.78;0.91;0.85;0.58;0.50;0.52;0.58;0.83;1.03;0.86;0.22
8175;N;28;28;27;25;28;28;28;27;27;26;26;27;22
8175;Min;0.0;1.0;1.0;0.0;0.0;1.0;5.0;6.0;2.0;1.0;0.0;0.0;69.0
8175;Q1;3.0;3.0;3.0;3.2;1.8;4.0;14.0;9.6;3.6;3.0;2.0;2.6;77.6
8175;Q2;4.6;5.0;5.2;4.4;3.0;7.6;16.6;11.2;6.0;4.0;4.0;5.0;94.0
8175;Q3;8.4;7.0;7.0;6.0;5.4;9.0;18.0;15.0;7.0;6.2;5.2;7.0;96.0
8175;Q4;13.0;9.0;9.4;8.0;7.0;13.2;19.0;17.0;10.4;8.6;9.0;8.0;108.2
8175;Max;19.0;13.0;23.0;14.0;13.0;20.0;22.0;26.0;15.0;12.0;14.0;13.0;125.0
8175;Mn;6.0;7.0;6.0;5.0;4.5;8.0;17.0;14.0;6.0;5.0;5.0;5.0;95.5
8175;Md;7.3;6.3;6.7;5.8;4.6;8.9;16.5;13.4;7.0;5.6;5.4;5.6;94.5
8175;S;4.83;3.25;4.59;3.16;3.20;4.85;3.44;4.23;3.54;3.07;3.66;3.19;15.23
8175;Cv;0.66;0.52;0.69;0.54;0.69;0.55;0.21;0.32;0.51;0.55;0.67;0.57;0.16
8178D;N;6;5;4;4;6;5;4;3;2;2;2;2;1
8178D;Min;;;;;;;;;;;;;
8178D;Q1;;;;;;;;;;;;;
8178D;Q2;;;;;;;;;;;;;
8178D;Q3;;;;;;;;;;;;;
8178D;Q4;;;;;;;;;;;;;
8178D;Max;;;;;;;;;;;;;
8178D;Mn;;;;;;;;;;;;;
8178D;Md;;;;;;;;;;;;;
8178D;S;;;;;;;;;;;;;
8178D;Cv;;;;;;;;;;;;;
8025;N;30;30;30;30;28;29;29;29;30;29;29;30;25
8025;Min;2.0;0.0;1.0;0.0;1.0;2.0;7.0;4.0;2.0;1.0;1.0;0.0;70.0
8025;Q1;4.0;3.2;4.0;2.2;2.0;5.0;11.0;10.0;4.0;3.0;3.0;2.4;83.0
8025;Q2;7.0;4.4;6.0;5.0;3.0;9.0;14.0;12.0;5.0;4.0;4.0;5.4;93.8
8025;Q3;9.0;6.0;7.0;6.6;6.0;11.0;17.0;13.0;6.0;6.0;6.0;7.0;99.0
8025;Q4;11.0;9.8;9.6;8.0;9.0;13.0;19.0;17.0;10.6;8.0;9.0;11.8;107.6
8025;Max;17.0;13.0;14.0;12.0;12.0;19.0;22.0;20.0;14.0;10.0;11.0;15.0;115.0
8025;Mn;8.0;5.0;6.0;5.0;5.0;11.0;16.0;12.0;6.0;5.0;6.0;6.0;98.0
8025;Md;8.0;6.1;6.5;5.5;5.4;9.9;15.2;12.7;6.5;5.4;5.7;7.0;95.2
8025;S;3.91;3.28;2.87;2.97;3.39;3.89;4.26;3.66;3.41;2.46;2.91;4.28;12.23
8025;Cv;0.49;0.54;0.44;0.54;0.63;0.39;0.28;0.29;0.52;0.45;0.51;0.61;0.13
8019;N;30;30;30;30;30;29;30;30;30;30;29;28;26
8019;Min;1.0;0.0;1.0;0.0;0.0;2.0;8.0;5.0;1.0;0.0;1.0;0.0;67.0
8019;Q1;3.2;3.0;4.0;2.2;2.0;6.0;10.0;9.0;3.0;2.2;2.0;3.0;75.0
8019;Q2;6.0;5.0;5.0;4.0;4.0;8.0;14.0;10.0;4.0;3.4;4.0;5.0;83.8
8019;Q3;8.6;6.6;6.0;5.0;6.2;10.0;15.0;11.6;6.0;5.0;7.0;6.0;89.2
8019;Q4;11.0;8.8;7.8;8.0;8.8;11.0;18.0;13.0;8.8;6.8;7.0;10.0;91.6
8019;Max;15.0;12.0;15.0;10.0;10.0;18.0;23.0;18.0;13.0;9.0;11.0;14.0;97.0
8019;Mn;7.0;5.5;5.0;5.0;5.0;8.0;15.0;11.0;5.0;4.0;6.0;6.0;86.0
8019;Md;7.4;5.7;5.8;4.9;5.1;8.8;14.5;11.2;5.6;4.4;5.5;6.1;84.4
8019;S;3.93;2.84;2.78;2.71;3.15;3.40;3.81;3.19;3.08;2.27;2.77;3.58;9.03
8019;Cv;0.53;0.50;0.48;0.56;0.61;0.39;0.26;0.28;0.55;0.52;0.51;0.58;0.11
6325O;N;28;30;29;29;28;28;29;29;29;28;30;29;23
6325O;Min;1.0;1.0;1.0;0.0;1.0;7.0;12.0;6.0;5.0;1.0;0.0;0.0;86.0
6325O;Q1;2.8;4.0;2.0;3.0;3.8;9.0;17.0;12.0;6.0;2.0;2.2;2.0;99.8
6325O;Q2;5.0;5.4;5.0;5.0;6.0;12.0;18.0;15.0;8.0;4.0;4.0;4.0;106.6
6325O;Q3;7.0;7.0;7.0;7.0;8.0;13.4;20.0;16.0;9.0;6.0;6.6;6.0;110.0
6325O;Q4;11.0;8.0;9.0;8.0;9.0;17.0;22.0;18.0;12.0;8.0;8.8;10.0;115.2
6325O;Max;18.0;13.0;10.0;15.0;14.0;22.0;24.0;21.0;19.0;12.0;11.0;18.0;127.0
6325O;Mn;6.0;6.0;6.0;6.0;7.0;12.0;19.0;15.0;9.0;5.5;5.5;5.0;107.0
6325O;Md;7.1;6.1;5.7;6.1;6.9;13.1;19.0;15.0;9.3;5.4;5.4;6.2;108.0
6325O;S;4.53;2.65;2.89;3.38;3.22;3.99;3.02;3.60;3.24;2.90;2.92;4.34;9.06
6325O;Cv;0.63;0.44;0.51;0.55;0.47;0.30;0.16;0.24;0.35;0.54;0.54;0.70;0.08
9091O;N;30;30;30;30;30;30;29;30;30;29;30;30;28
9091O;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
9091O;Q1;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;16.0
9091O;Q2;1.0;1.0;1.0;0.0;1.0;2.0;3.0;2.0;1.4;1.0;1.0;1.0;21.6
9091O;Q3;2.0;2.0;2.6;1.0;1.0;3.0;5.0;3.0;3.0;2.0;1.0;1.0;25.8
9091O;Q4;3.0;3.8;4.0;3.8;2.8;4.0;6.0;4.0;4.0;3.0;2.8;3.0;34.4
9091O;Max;7.0;5.0;14.0;12.0;7.0;8.0;9.0;9.0;15.0;10.0;6.0;8.0;52.0
9091O;Mn;1.5;1.0;2.0;1.0;1.0;2.5;4.0;2.0;2.5;1.0;1.0;1.0;23.5
9091O;Md;1.6;1.7;2.5;2.0;1.4;2.7;3.9;2.7;3.0;1.7;1.5;1.5;25.8
9091O;S;1.59;1.60;3.04;3.06;1.74;2.02;2.53;2.07;2.99;2.05;1.61;1.85;9.89
9091O;Cv;1.02;0.92;1.20;1.53;1.21;0.74;0.66;0.78;1.01;1.19;1.10;1.26;0.38
1212E;N;30;30;30;30;30;30;30;29;29;29;28;28;28
1212E;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;12.0
1212E;Q1;1.0;1.2;1.0;0.2;0.2;0.2;1.0;1.0;2.0;1.0;1.0;1.0;28.0
1212E;Q2;2.0;2.0;2.0;1.0;1.0;1.4;2.0;2.0;3.0;2.0;1.6;2.0;31.6
