Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;26;30;28;28;24;22;23;25;28;30;29;28;20
1387;Min;10.0;5.0;6.0;8.0;10.0;9.0;12.0;12.0;9.0;10.0;7.0;5.0;150.0
1387;Q1;11.0;10.2;12.0;11.8;13.0;15.0;14.8;15.0;15.0;14.0;11.0;8.8;160.6
1387;Q2;12.8;13.0;13.0;14.0;16.0;16.2;17.0;16.4;16.6;15.0;13.0;12.0;180.4
1387;Q3;15.0;14.0;15.0;15.4;18.0;17.0;18.0;20.0;18.0;17.0;15.0;13.4;194.8
1387;Q4;17.6;15.0;17.2;19.0;20.0;21.0;21.0;22.0;20.2;18.8;17.0;15.2;210.6
1387;Max;20.0;23.0;23.0;22.0;22.0;24.0;26.0;25.0;22.0;20.0;21.0;19.0;222.0
1387;Mn;14.0;14.0;14.0;14.5;16.5;17.0;17.0;19.0;17.0;15.5;15.0;13.0;187.0
1387;Md;14.2;13.3;14.5;15.0;16.5;17.0;17.8;18.2;17.1;15.8;14.0;12.3;187.1
1387;S;3.22;3.55;3.66;3.63;3.38;3.28;3.53;3.76;2.95;2.47;3.32;3.80;22.52
1387;Cv;0.23;0.27;0.25;0.24;0.20;0.19;0.20;0.21;0.17;0.16;0.24;0.31;0.12
1387E;N;23;21;23;22;23;23;23;22;23;21;21;22;18
1387E;Min;11.0;10.0;10.0;8.0;11.0;11.0;14.0;8.0;13.0;13.0;10.0;8.0;174.0
1387E;Q1;15.0;12.0;13.8;14.6;16.0;14.8;15.8;15.0;15.0;17.4;13.4;14.0;201.8
1387E;Q2;17.6;13.8;16.0;16.0;19.2;17.0;18.0;18.2;17.2;18.8;17.8;15.2;211.4
1387E;Q3;18.0;14.2;18.0;18.8;20.0;18.0;21.0;20.0;19.0;20.0;18.2;17.0;218.4
1387E;Q4;21.2;16.6;20.0;20.0;21.0;19.2;22.0;23.0;20.4;21.0;21.0;18.4;225.0
1387E;Max;24.0;24.0;22.0;22.0;23.0;23.0;25.0;25.0;25.0;24.0;23.0;22.0;233.0
1387E;Mn;18.0;14.0;18.0;18.0;20.0;18.0;19.0;19.0;18.0;19.0;18.0;16.0;216.0
1387E;Md;17.9;14.7;16.7;17.0;18.7;17.3;19.2;18.5;18.2;19.1;17.7;16.0;212.3
1387E;S;3.47;3.48;3.27;3.48;2.84;3.25;3.10;4.46;3.30;2.52;3.69;3.00;14.52
1387E;Cv;0.19;0.24;0.20;0.21;0.15;0.19;0.16;0.24;0.18;0.13;0.21;0.19;0.07
1428;N;27;28;28;28;28;29;29;30;28;26;27;27;19
1428;Min;7.0;7.0;6.0;6.0;8.0;9.0;12.0;9.0;12.0;10.0;9.0;8.0;167.0
1428;Q1;11.6;10.8;11.6;11.8;13.0;14.0;15.0;15.0;14.0;14.0;13.0;10.2;172.0
1428;Q2;14.0;12.0;14.6;14.0;14.0;16.0;17.0;17.0;15.6;15.0;15.0;12.2;185.0
1428;Q3;15.0;13.0;17.0;17.0;15.4;17.0;18.0;19.6;18.4;16.2;15.0;13.0;191.0
1428;Q4;18.0;17.0;19.0;19.0;17.4;19.0;20.0;22.8;20.0;19.0;17.0;14.4;197.0
1428;Max;20.0;21.0;22.0;22.0;21.0;21.0;26.0;26.0;22.0;23.0;19.0;17.0;205.0
1428;Mn;15.0;12.0;16.0;15.5;15.0;17.0;17.0;19.0;16.0;15.5;15.0;13.0;190.0
1428;Md;14.6;13.1;15.3;15.3;15.2;16.4;17.4;18.6;16.8;16.0;15.0;12.5;186.8
