Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;29;29;27;28;29;26;29;26;30;27;29;28;19
1387;Min;17;20;23;27;26;30;26;42;31;29;22;13;35
1387;Q1;25;31;34;36;32;42;45;50;43;37;27;21;40
1387;Q2;33;34;39;41;42;46;48;55;48;42;30;30;42
1387;Q3;37;40;45;45;49;52;56;59;52;46;36;36;44
1387;Q4;43;54;52;52;54;58;58;63;62;51;47;43;48
1387;Max;54;63;70;64;59;63;63;66;71;59;65;54;50
1387;Mn;36;37;41;42;44;47;51;58;49;44;34;34;44
1387;Md;35;41;43;43;44;49;51;56;51;44;37;33;43
1387;S;9.89;12.20;11.90;9.49;9.60;8.63;8.33;6.68;9.90;7.83;11.39;11.57;4.10
1387;Cv;0.28;0.30;0.28;0.22;0.22;0.18;0.16;0.12;0.19;0.18;0.31;0.35;0.09
1387E;N;29;28;29;28;28;28;27;27;28;27;29;28;24
1387E;Min;20;24;20;25;27;30;31;33;36;28;16;14;37
1387E;Q1;26;30;34;34;34;41;45;50;40;36;27;25;39
1387E;Q2;29;32;38;39;38;44;49;54;44;39;32;32;41
1387E;Q3;34;43;44;46;46;50;53;59;50;42;37;36;43
1387E;Q4;42;52;50;52;52;54;57;64;56;49;45;43;46
1387E;Max;57;59;68;62;61;60;64;66;66;61;58;59;48
1387E;Mn;33;36;42;43;41;47;53;57;47;41;33;35;43
1387E;Md;34;39;42;43;42;47;51;55;48;41;36;34;43
1387E;S;9.76;11.34;10.70;9.89;9.79;8.01;8.12;8.31;8.35;7.83;10.65;10.47;3.43
1387E;Cv;0.29;0.29;0.26;0.23;0.23;0.17;0.16;0.15;0.17;0.19;0.30;0.31;0.08
1428;N;27;29;28;28;27;29;28;30;29;30;30;28;18
1428;Min;10;15;13;18;19;30;33;35;32;21;11;6;38
1428;Q1;20;24;32;30;29;40;46;46;39;31;19;19;39
1428;Q2;25;29;37;40;38;48;50;53;46;34;28;28;40
1428;Q3;35;45;44;45;45;52;55;57;51;40;35;32;43
1428;Q4;38;52;49;49;52;58;59;63;56;46;45;40;45
1428;Max;64;60;73;67;64;65;70;72;71;59;61;53;47
1428;Mn;29;36;40;40;42;51;52;55;50;35;32;29;41
1428;Md;32;38;41;41;41;49;52;55;49;38;32;30;42
1428;S;12.95;13.80;12.83;11.17;12.23;9.42;8.95;8.58;10.32;9.61;13.49;12.31;3.03
1428;Cv;0.41;0.36;0.32;0.27;0.30;0.19;0.17;0.16;0.21;0.25;0.42;0.41;0.07
8175;N;27;26;27;24;28;28;28;26;27;28;28;27;19
8175;Min;31;36;39;33;39;47;70;66;57;41;31;27;56
8175;Q1;37;41;49;52;56;68;76;69;62;46;40;38;58
8175;Q2;44;50;54;59;59;69;79;75;66;58;46;42;60
8175;Q3;55;58;60;64;63;73;81;79;70;62;55;47;61
8175;Q4;61;64;67;72;68;80;83;82;73;65;62;53;63
8175;Max;79;76;85;75;72;84;86;87;78;75;68;73;67
8175;Mn;47;56;57;62;63;71;80;78;69;60;50;44;61
8175;Md;50;54;58;60;61;71;79;77;68;58;50;45;61
8175;S;12.36;12.34;10.46;10.63;7.49;8.22;3.91;5.82;6.00;9.92;10.82;9.76;2.96
8175;Cv;0.25;0.23;0.18;0.18;0.12;0.12;0.05;0.08;0.09;0.17;0.22;0.21;0.05
8178D;N;9;7;8;6;8;7;8;7;6;7;6;6;3
8178D;Min;;;;;;;;;;;;;
8178D;Q1;;;;;;;;;;;;;
8178D;Q2;;;;;;;;;;;;;
8178D;Q3;;;;;;;;;;;;;
8178D;Q4;;;;;;;;;;;;;
8178D;Max;;;;;;;;;;;;;
8178D;Mn;;;;;;;;;;;;;
8178D;Md;;;;;;;;;;;;;
8178D;S;;;;;;;;;;;;;
8178D;Cv;;;;;;;;;;;;;
8025;N;30;30;30;30;30;30;30;28;30;27;30;30;27
8025;Min;40;44;47;40;45;51;64;60;51;45;40;36;59
8025;Q1;51;49;54;57;57;62;70;67;60;56;50;47;61
8025;Q2;56;57;60;60;61;68;72;70;66;62;55;51;62
8025;Q3;63;62;64;64;65;71;75;75;70;64;59;58;64
8025;Q4;67;69;67;68;69;73;77;77;73;68;63;65;65
8025;Max;81;76;77;78;75;78;79;81;78;77;73;68;68
8025;Mn;59;59;63;63;63;70;74;74;67;64;58;53;63
8025;Md;59;59;61;62;63;68;73;72;67;62;57;55;63
8025;S;9.71;9.24;7.43;7.62;6.73;6.43;3.55;5.50;6.94;7.04;7.73;8.91;2.13
8025;Cv;0.16;0.16;0.12;0.12;0.11;0.09;0.05;0.08;0.10;0.11;0.14;0.16;0.03
8019;N;30;30;30;29;27;27;30;30;29;29;29;26;20
8019;Min;44;40;41;38;50;55;64;62;49;46;43;37;56
8019;Q1;50;47;51;57;61;64;69;68;58;57;52;48;63
8019;Q2;60;54;58;62;65;70;76;72;63;61;56;53;65
8019;Q3;64;62;63;67;68;75;80;77;67;65;58;56;66
8019;Q4;69;71;66;70;72;78;81;80;73;69;63;64;68
8019;Max;75;78;77;79;77;81;85;85;80;77;73;75;70
8019;Mn;62;59;61;64;66;74;77;74;67;64;57;55;66
8019;Md;60;59;59;63;66;71;76;74;65;63;57;56;65
8019;S;9.46;10.87;8.17;9.53;6.84;7.26;5.71;6.11;8.25;7.31;6.74;9.71;3.27
8019;Cv;0.16;0.18;0.14;0.15;0.10;0.10;0.07;0.08;0.13;0.12;0.12;0.17;0.05
6325O;N;28;30;30;29;30;29;29;30;30;27;30;29;22
6325O;Min;43;46;48;47;46;60;67;61;58;44;41;42;61
6325O;Q1;55;54;56;58;62;68;74;73;62;57;51;50;65
6325O;Q2;60;60;61;67;67;74;76;74;68;62;58;55;66
6325O;Q3;67;66;65;69;69;76;79;76;71;65;63;62;67
6325O;Q4;70;70;69;73;73;78;79;79;74;68;69;68;68
6325O;Max;81;77;79;81;81;84;84;83;80;78;75;81;70
6325O;Mn;65;63;64;68;69;75;77;76;69;64;60;60;67
6325O;Md;63;62;62;66;68;74;77;75;69;62;60;59;66
6325O;S;9.49;8.22;7.24;8.55;7.07;5.69;3.92;4.65;5.43;7.73;9.32;9.14;2.26
6325O;Cv;0.15;0.13;0.12;0.13;0.10;0.08;0.05;0.06;0.08;0.12;0.16;0.15;0.03
9091O;N;30;29;29;29;30;30;29;30;29;30;30;29;24
9091O;Min;15;19;22;25;20;31;32;30;35;18;19;14;31
9091O;Q1;20;25;32;32;37;41;46;46;39;33;24;19;38
9091O;Q2;25;34;37;40;42;46;52;52;46;41;29;26;41
9091O;Q3;31;39;41;42;46;50;56;56;50;46;33;28;42
9091O;Q4;35;45;48;46;52;56;58;59;54;50;37;30;44
9091O;Max;44;56;67;57;57;60;64;67;56;57;48;45;47
9091O;Mn;28;37;39;41;44;49;54;54;48;42;32;26;42
9091O;Md;28;36;40;41;43;48;53;52;47;42;31;26;41
9091O;S;7.54;9.86;9.33;8.24;8.87;7.67;7.31;8.45;6.49;9.29;7.54;7.00;3.75
9091O;Cv;0.27;0.27;0.23;0.20;0.21;0.16;0.14;0.16;0.14;0.22;0.24;0.26;0.09
1212E;N;30;30;30;30;29;30;29;29;29;29;28;28;26
1212E;Min;13;16;25;23;21;24;18;24;28;22;15;13;33
1212E;Q1;25;27;29;30;29;28;30;33;39;31;26;25;34
1212E;Q2;29;35;35;34;36;32;36;39;43;36;31;27;37
1212E;Q3;36;40;40;40;38;39;40;48;46;41;33;31;38
1212E;Q4;44;47;47;44;44;42;43;49;50;46;39;39;41
1212E;Max;56;54;65;60;52;46;54;52;68;51;58;47;45
1212E;Mn;35;37;38;38;37;35;38;43;45;38;32;29;37
1212E;Md;34;37;38;38;37;35;37;42;45;38;33;31;37
1212E;S;9.78;9.65;9.29;8.31;7.67;6.73;7.40;8.03;7.63;7.45;9.37;8.56;3.18
1212E;Cv;0.29;0.26;0.24;0.22;0.21;0.19;0.20;0.19;0.17;0.20;0.28;0.28;0.09
1208H;N;6;9;5;8;9;7;4;4;4;8;8;6;3
1208H;Min;;;;;;;;;;;;;
1208H;Q1;;;;;;;;;;;;;
1208H;Q2;;;;;;;;;;;;;
1208H;Q3;;;;;;;;;;;;;
1208H;Q4;;;;;;;;;;;;;
1208H;Max;;;;;;;;;;;;;
1208H;Mn;;;;;;;;;;;;;
1208H;Md;;;;;;;;;;;;;
1208H;S;;;;;;;;;;;;;
1208H;Cv;;;;;;;;;;;;;
1249I;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1249I;Min;18;20;28;23;16;23;24;21;25;20;20;20;34
1249I;Q1;32;32;33;34;28;30;31;33;37;34;31;30;36
1249I;Q2;36;37;38;38;38;35;35;40;41;41;35;35;39
1249I;Q3;42;45;43;42;40;39;41;43;47;44;39;40;40
1249I;Q4;46;50;50;45;42;43;45;49;52;47;43;45;42
1249I;Max;62;56;68;58;47;50;54;53;60;52;60;59;45
1249I;Mn;39;41;40;41;39;36;39;42;44;43;37;38;39
1249I;Md;39;41;41;40;37;36;38;41;44;40;37;38;39
1249I;S;9.02;9.65;9.05;7.93;7.82;6.92;7.61;8.15;8.05;8.05;8.81;8.95;2.75
1249I;Cv;0.23;0.24;0.22;0.20;0.21;0.19;0.20;0.20;0.18;0.20;0.24;0.24;0.07
2444;N;26;26;23;23;25;22;25;25;25;25;28;24;14
2444;Min;30;31;34;38;37;42;62;57;53;32;25;16;
2444;Q1;33;42;45;44;49;63;72;68;59;44;36;31;
2444;Q2;39;51;57;52;54;68;78;75;63;49;42;37;
2444;Q3;49;54;61;60;58;74;80;77;67;55;45;45;
2444;Q4;55;58;65;64;66;77;81;82;72;63;54;50;
2444;Max;67;65;83;72;71;84;87;88;74;74;59;65;
2444;Mn;44;53;60;59;56;72;79;76;65;51;43;43;
2444;Md;45;51;57;56;56;69;77;75;65;53;44;40;
2444;S;10.62;8.92;11.26;9.80;8.76;10.11;5.69;6.93;5.87;10.08;9.26;11.72;
2444;Cv;0.24;0.18;0.20;0.18;0.16;0.15;0.07;0.09;0.09;0.19;0.21;0.29;
4452;N;30;30;30;30;30;30;30;30;30;30;30;30;30
4452;Min;22;32;36;44;51;49;69;68;53;36;30;15;56
4452;Q1;37;45;50;54;57;67;78;75;62;49;36;29;59
4452;Q2;42;51;58;58;62;74;82;81;69;54;47;34;62
4452;Q3;51;57;66;64;70;80;86;84;71;63;55;38;63
4452;Q4;59;61;71;72;74;85;87;85;77;70;65;50;64
4452;Max;76;73;85;76;84;88;90;89;83;80;75;66;69
4452;Mn;48;55;64;61;66;78;84;82;70;61;53;37;63
4452;Md;48;54;61;61;66;75;83;81;70;59;51;39;62
4452;S;12.55;9.99;11.22;9.14;9.07;9.95;5.04;5.42;7.73;10.64;13.26;12.11;3.14
4452;Cv;0.26;0.19;0.18;0.15;0.14;0.13;0.06;0.07;0.11;0.18;0.26;0.31;0.05
B954;N;23;25;25;22;27;25;27;26;23;20;24;25;9
B954;Min;36;33;41;52;45;52;65;61;52;44;42;38;
B954;Q1;42;44;50;57;55;61;71;69;59;49;47;46;
B954;Q2;50;52;55;58;59;67;72;70;62;60;50;49;
B954;Q3;57;56;62;61;64;70;75;72;64;62;53;53;
B954;Q4;61;64;63;69;68;74;76;77;70;67;59;57;
B954;Max;73;79;72;74;74;76;80;83;76;71;65;66;
B954;Mn;56;55;59;60;62;69;74;72;63;61;52;51;
B954;Md;53;55;57;62;61;67;74;72;63;59;52;51;
B954;S;9.42;10.36;7.91;6.64;7.66;6.70;3.47;5.10;6.26;8.31;6.05;6.76;
B954;Cv;0.18;0.19;0.14;0.11;0.13;0.10;0.05;0.07;0.10;0.14;0.12;0.13;
B893;N;28;30;29;29;30;29;30;30;28;27;29;29;22
B893;Min;27;31;39;31;41;57;62;54;46;33;30;30;49
B893;Q1;35;39;45;47;54;62;71;68;53;43;39;37;52
B893;Q2;47;44;48;53;60;66;76;73;59;52;46;43;57
B893;Q3;52;51;57;58;64;72;78;76;63;58;50;46;59
B893;Q4;56;59;66;65;67;76;81;78;66;61;55;53;63
B893;Max;60;69;78;73;74;82;85;84;74;69;70;60;65
B893;Mn;50;48;53;56;63;71;77;75;62;55;47;44;57
B893;Md;48;48;54;55;60;69;76;73;60;53;47;45;58
