Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;29;30;30;30;29;28;28;29;28;28;29;28;23
1387;Min;10032;10049;10077;10071;10116;10129;10165;10141;10123;10104;10073;10076;10165
1387;Q1;10151;10155;10143;10137;10140;10168;10179;10168;10151;10122;10124;10136;10173
1387;Q2;10201;10190;10188;10153;10161;10180;10185;10176;10172;10143;10168;10185;10179
1387;Q3;10235;10214;10206;10163;10168;10192;10188;10183;10183;10174;10192;10223;10187
1387;Q4;10263;10249;10233;10178;10192;10200;10196;10190;10193;10196;10228;10241;10193
1387;Max;10333;10288;10275;10202;10221;10208;10220;10206;10217;10230;10257;10291;10201
1387;Mn;10218;10203;10195;10159;10166;10185;10187;10180;10175;10155;10179;10209;10185
1387;Md;10212;10198;10189;10156;10164;10182;10188;10179;10173;10161;10175;10193;10183
1387;S;63.48;53.77;46.32;28.02;26.41;19.10;12.85;14.63;22.06;36.80;49.11;59.73;10.07
1387;Cv;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00
1387E;N;29;28;30;30;30;29;30;28;29;30;29;29;24
1387E;Min;10034;10057;10078;10075;10117;10130;10157;10144;10126;10107;10078;10077;10155
1387E;Q1;10154;10161;10145;10134;10136;10169;10179;10165;10160;10121;10133;10119;10173
1387E;Q2;10205;10185;10191;10152;10159;10177;10183;10177;10171;10148;10172;10181;10177
1387E;Q3;10233;10217;10205;10165;10168;10191;10188;10184;10185;10174;10194;10225;10186
1387E;Q4;10268;10251;10231;10179;10187;10198;10195;10188;10193;10204;10228;10240;10192
1387E;Max;10332;10291;10273;10200;10219;10205;10216;10202;10211;10229;10259;10289;10201
1387E;Mn;10222;10201;10194;10161;10166;10182;10187;10179;10174;10160;10182;10209;10183
1387E;Md;10214;10199;10190;10156;10163;10182;10186;10178;10175;10163;10177;10191;10182
1387E;S;62.66;55.13;45.68;27.60;26.60;18.16;12.61;13.65;20.36;36.77;48.86;61.97;11.03
1387E;Cv;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00
1428;N;30;30;28;28;27;28;29;29;28;27;27;28;23
1428;Min;10045;10063;10090;10080;10122;10136;10156;10145;10131;10117;10091;10086;10158
1428;Q1;10163;10171;10147;10140;10138;10162;10171;10163;10155;10132;10135;10122;10174
1428;Q2;10217;10192;10191;10153;10155;10173;10179;10175;10168;10152;10175;10186;10180
1428;Q3;10244;10225;10213;10165;10168;10184;10185;10178;10181;10179;10191;10235;10186
1428;Q4;10274;10250;10233;10184;10182;10196;10190;10185;10189;10206;10231;10251;10193
1428;Max;10328;10296;10268;10202;10210;10201;10212;10199;10208;10226;10262;10291;10200
1428;Mn;10231;10210;10196;10157;10164;10177;10183;10176;10175;10160;10177;10213;10183
1428;Md;10221;10205;10192;10157;10162;10177;10181;10175;10173;10168;10181;10198;10183
1428;S;59.96;52.46;43.44;26.33;23.00;17.11;11.70;11.68;18.73;33.23;46.43;61.69;9.75
1428;Cv;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00
8175;N;27;27;27;27;28;29;29;28;27;28;28;27;22
8175;Min;10114;10101;10127;10116;10101;10115;10102;10116;10130;10130;10136;10119;10147
8175;Q1;10187;10181;10154;10135;10126;10131;10129;10127;10146;10153;10166;10165;10169
8175;Q2;10224;10201;10182;10142;10146;10138;10137;10136;10151;10169;10184;10207;10174
8175;Q3;10262;10216;10190;10150;10150;10148;10143;10142;10159;10181;10201;10226;10178
8175;Q4;10275;10250;10212;10164;10160;10156;10150;10148;10174;10200;10220;10251;10180
8175;Max;10334;10292;10272;10172;10171;10172;10155;10162;10183;10212;10250;10285;10185
8175;Mn;10237;10209;10187;10146;10149;10140;10141;10139;10152;10175;10191;10219;10177
8175;Md;10235;10210;10186;10147;10144;10144;10139;10138;10157;10176;10192;10213;10173
8175;S;50.07;44.68;31.67;15.44;17.57;13.77;11.73;10.81;14.02;23.20;29.90;45.70;9.45
8175;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8178D;N;18;19;18;18;19;17;19;20;19;18;20;18;11
8178D;Min;10156;10097;10133;10112;10091;10121;10116;10110;10135;10132;10125;10133;
8178D;Q1;10179;10162;10155;10125;10126;10128;10124;10117;10138;10151;10154;10174;
8178D;Q2;10208;10196;10169;10134;10142;10140;10130;10125;10144;10169;10174;10205;
8178D;Q3;10244;10209;10182;10141;10147;10144;10135;10138;10158;10175;10191;10215;
8178D;Q4;10276;10237;10203;10155;10153;10149;10137;10141;10165;10192;10210;10245;
8178D;Max;10335;10282;10260;10167;10165;10165;10142;10150;10172;10207;10220;10274;
8178D;Mn;10221;10200;10175;10138;10142;10142;10135;10136;10149;10172;10182;10210;
8178D;Md;10229;10200;10179;10139;10140;10140;10131;10131;10152;10171;10181;10210;
8178D;S;50.87;46.19;29.71;16.62;18.09;11.59;7.36;11.86;12.73;20.82;27.57;38.42;
8178D;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
8025;N;30;30;30;30;30;30;30;29;30;30;30;30;29
8025;Min;10104;10085;10121;10105;10103;10117;10144;10124;10136;10124;10120;10108;10141
8025;Q1;10173;10163;10151;10136;10139;10148;10150;10144;10149;10145;10153;10160;10170
8025;Q2;10200;10191;10178;10143;10145;10163;10155;10150;10155;10162;10170;10189;10174
8025;Q3;10239;10206;10192;10154;10161;10168;10165;10160;10172;10175;10187;10215;10177
8025;Q4;10257;10243;10206;10164;10171;10176;10174;10167;10181;10196;10200;10237;10182
8025;Max;10328;10283;10270;10182;10195;10191;10185;10186;10199;10226;10255;10266;10191
8025;Mn;10209;10198;10184;10152;10150;10166;10159;10155;10165;10166;10176;10197;10176
8025;Md;10217;10200;10184;10148;10153;10163;10161;10156;10165;10171;10178;10197;10175
8025;S;50.90;46.15;33.75;17.57;20.12;17.07;11.71;13.44;17.89;25.96;31.23;44.61;10.67
8025;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8019;N;29;30;30;29;29;28;29;30;28;29;29;27;22
8019;Min;10143;10086;10112;10104;10094;10115;10141;10126;10128;10115;10120;10103;10142
8019;Q1;10172;10157;10147;10132;10131;10145;10145;10140;10144;10140;10143;10158;10166
8019;Q2;10198;10187;10175;10140;10144;10160;10153;10144;10151;10155;10166;10186;10170
8019;Q3;10238;10204;10184;10146;10154;10166;10160;10157;10168;10175;10183;10212;10173
