Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;20;21;14;19;20;23;22;21;21;20;16;18;5
1387;Min;9.1;9.4;;13.0;15.6;17.7;20.1;20.7;18.5;14.8;12.6;10.0;
1387;Q1;9.9;10.0;;13.5;15.9;18.7;20.7;21.0;19.5;16.6;13.4;11.0;
1387;Q2;10.8;10.5;;13.8;16.7;19.3;20.9;21.5;20.3;17.2;14.0;11.6;
1387;Q3;11.2;11.2;;14.5;17.0;19.5;21.3;21.7;20.5;17.4;14.3;11.9;
1387;Q4;11.5;11.9;;14.7;17.2;20.1;21.6;22.0;20.7;17.9;14.7;12.5;
1387;Max;12.0;12.2;;15.0;17.9;20.4;22.3;23.4;21.5;19.2;15.5;13.1;
1387;Mn;11.1;11.0;;14.3;17.0;19.4;21.1;21.6;20.4;17.3;14.1;11.8;
1387;Md;10.8;10.9;;14.1;16.8;19.4;21.1;21.6;20.2;17.2;14.1;11.7;
1387;S;0.83;0.87;;0.60;0.66;0.72;0.58;0.60;0.74;0.98;0.71;0.80;
1387;Cv;0.08;0.08;;0.04;0.04;0.04;0.03;0.03;0.04;0.06;0.05;0.07;
1387E;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1387E;Min;;;;;;;;;;;;;
1387E;Q1;;;;;;;;;;;;;
1387E;Q2;;;;;;;;;;;;;
1387E;Q3;;;;;;;;;;;;;
1387E;Q4;;;;;;;;;;;;;
1387E;Max;;;;;;;;;;;;;
1387E;Mn;;;;;;;;;;;;;
1387E;Md;;;;;;;;;;;;;
1387E;S;;;;;;;;;;;;;
1387E;Cv;;;;;;;;;;;;;
1428;N;15;17;14;13;15;16;16;14;11;15;13;14;3
1428;Min;4.8;5.9;;;13.8;17.0;18.9;;;12.6;;;
1428;Q1;7.1;6.6;;;14.0;18.0;19.7;;;13.8;;;
1428;Q2;8.0;7.6;;;14.5;18.4;20.2;;;15.1;;;
1428;Q3;8.2;8.4;;;14.8;18.6;21.1;;;15.4;;;
1428;Q4;9.1;9.3;;;16.1;19.4;22.2;;;16.0;;;
1428;Max;9.4;9.6;;;17.4;19.9;23.6;;;17.9;;;
1428;Mn;8.1;8.0;;;14.7;18.5;20.7;;;15.3;;;
1428;Md;7.9;7.9;;;15.0;18.5;20.9;;;15.2;;;
1428;S;1.21;1.19;;;1.05;0.76;1.31;;;1.32;;;
1428;Cv;0.15;0.15;;;0.07;0.04;0.06;;;0.09;;;
8175;N;0;0;0;0;0;0;0;0;0;0;0;0;0
8175;Min;;;;;;;;;;;;;
8175;Q1;;;;;;;;;;;;;
8175;Q2;;;;;;;;;;;;;
8175;Q3;;;;;;;;;;;;;
8175;Q4;;;;;;;;;;;;;
8175;Max;;;;;;;;;;;;;
8175;Mn;;;;;;;;;;;;;
8175;Md;;;;;;;;;;;;;
8175;S;;;;;;;;;;;;;
8175;Cv;;;;;;;;;;;;;
8178D;N;2;2;2;2;2;1;0;1;1;1;1;1;0
8178D;Min;;;;;;;;;;;;;
8178D;Q1;;;;;;;;;;;;;
8178D;Q2;;;;;;;;;;;;;
8178D;Q3;;;;;;;;;;;;;
8178D;Q4;;;;;;;;;;;;;
8178D;Max;;;;;;;;;;;;;
8178D;Mn;;;;;;;;;;;;;
8178D;Md;;;;;;;;;;;;;
8178D;S;;;;;;;;;;;;;
8178D;Cv;;;;;;;;;;;;;
8025;N;0;0;0;0;0;0;0;0;0;0;0;0;0
8025;Min;;;;;;;;;;;;;
8025;Q1;;;;;;;;;;;;;
8025;Q2;;;;;;;;;;;;;
8025;Q3;;;;;;;;;;;;;
8025;Q4;;;;;;;;;;;;;
8025;Max;;;;;;;;;;;;;
8025;Mn;;;;;;;;;;;;;
8025;Md;;;;;;;;;;;;;
8025;S;;;;;;;;;;;;;
8025;Cv;;;;;;;;;;;;;
8019;N;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;Min;;;;;;;;;;;;;
8019;Q1;;;;;;;;;;;;;
8019;Q2;;;;;;;;;;;;;
8019;Q3;;;;;;;;;;;;;
8019;Q4;;;;;;;;;;;;;
8019;Max;;;;;;;;;;;;;
8019;Mn;;;;;;;;;;;;;
8019;Md;;;;;;;;;;;;;
8019;S;;;;;;;;;;;;;
8019;Cv;;;;;;;;;;;;;
6325O;N;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;Min;;;;;;;;;;;;;
6325O;Q1;;;;;;;;;;;;;
6325O;Q2;;;;;;;;;;;;;
6325O;Q3;;;;;;;;;;;;;
6325O;Q4;;;;;;;;;;;;;
6325O;Max;;;;;;;;;;;;;
6325O;Mn;;;;;;;;;;;;;
6325O;Md;;;;;;;;;;;;;
6325O;S;;;;;;;;;;;;;
6325O;Cv;;;;;;;;;;;;;
9091O;N;6;7;8;8;7;8;9;7;6;9;7;7;0
9091O;Min;;;;;;;;;;;;;
9091O;Q1;;;;;;;;;;;;;
9091O;Q2;;;;;;;;;;;;;
9091O;Q3;;;;;;;;;;;;;
9091O;Q4;;;;;;;;;;;;;
9091O;Max;;;;;;;;;;;;;
9091O;Mn;;;;;;;;;;;;;
9091O;Md;;;;;;;;;;;;;
9091O;S;;;;;;;;;;;;;
9091O;Cv;;;;;;;;;;;;;
1212E;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1212E;Min;;;;;;;;;;;;;
1212E;Q1;;;;;;;;;;;;;
1212E;Q2;;;;;;;;;;;;;
1212E;Q3;;;;;;;;;;;;;
1212E;Q4;;;;;;;;;;;;;
1212E;Max;;;;;;;;;;;;;
1212E;Mn;;;;;;;;;;;;;
1212E;Md;;;;;;;;;;;;;
1212E;S;;;;;;;;;;;;;
1212E;Cv;;;;;;;;;;;;;
1208H;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1208H;Min;;;;;;;;;;;;;
1208H;Q1;;;;;;;;;;;;;
1208H;Q2;;;;;;;;;;;;;
1208H;Q3;;;;;;;;;;;;;
1208H;Q4;;;;;;;;;;;;;
1208H;Max;;;;;;;;;;;;;
1208H;Mn;;;;;;;;;;;;;
1208H;Md;;;;;;;;;;;;;
1208H;S;;;;;;;;;;;;;
1208H;Cv;;;;;;;;;;;;;
1249I;N;30;30;28;28;30;29;28;26;30;29;29;30;21
1249I;Min;4.6;4.7;6.6;8.3;11.3;16.1;18.3;18.7;17.5;12.8;9.2;4.7;12.7
1249I;Q1;5.8;6.1;9.1;11.0;14.1;17.0;19.3;19.8;18.0;14.3;10.1;7.5;13.2
1249I;Q2;6.6;7.1;9.8;11.8;14.9;17.9;19.8;20.4;18.7;15.0;10.7;8.0;13.4
1249I;Q3;7.6;8.0;10.4;12.4;15.7;18.2;20.0;20.9;19.4;15.8;11.4;8.5;13.7
1249I;Q4;8.4;8.9;11.3;13.3;16.3;18.9;20.9;21.6;20.0;16.6;12.1;9.1;14.3
1249I;Max;8.8;9.9;13.6;15.0;17.3;19.8;21.4;22.7;21.1;17.9;14.3;10.4;14.7
1249I;Mn;7.1;7.6;10.4;12.3;15.3;18.1;19.9;20.7;19.1;15.3;11.1;8.4;13.4
