Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;22;29;24;27;26;24;24;23;29;25;23;26;6
1387;Min;192.0;237.0;197.0;231.0;168.0;200.0;229.0;203.0;146.0;162.0;141.0;190.0;
1387;Q1;236.4;281.0;271.0;295.0;247.4;252.0;250.0;221.4;199.0;228.4;231.8;271.6;
1387;Q2;280.2;305.0;310.0;332.2;287.0;281.0;262.0;240.8;238.0;256.4;272.6;317.2;
1387;Q3;307.2;337.0;333.0;355.8;313.8;306.0;281.0;261.2;267.0;275.0;327.8;331.2;
1387;Q4;371.2;377.0;369.0;385.8;347.4;334.0;301.0;294.8;288.0;287.8;342.6;369.0;
1387;Max;422.0;464.0;422.0;460.0;374.0;370.0;343.0;335.0;321.0;394.0;411.0;420.0;
1387;Mn;285.0;319.0;318.0;351.0;299.0;289.0;271.5;251.0;264.0;264.0;317.0;329.5;
1387;Md;300.1;326.6;317.9;344.0;298.4;291.5;274.6;257.2;249.7;263.8;290.4;317.7;
1387;S;64.34;57.53;59.40;53.76;50.78;44.59;28.00;40.12;45.36;45.01;67.48;54.87;
1387;Cv;0.21;0.18;0.19;0.16;0.17;0.15;0.10;0.16;0.18;0.17;0.23;0.17;
1387E;N;10;11;13;11;9;9;11;8;10;11;10;9;4
1387E;Min;;;;;;;;;;;;;
1387E;Q1;;;;;;;;;;;;;
1387E;Q2;;;;;;;;;;;;;
1387E;Q3;;;;;;;;;;;;;
1387E;Q4;;;;;;;;;;;;;
1387E;Max;;;;;;;;;;;;;
1387E;Mn;;;;;;;;;;;;;
1387E;Md;;;;;;;;;;;;;
1387E;S;;;;;;;;;;;;;
1387E;Cv;;;;;;;;;;;;;
1428;N;14;20;16;15;15;12;17;15;17;13;17;9;0
1428;Min;;152.0;136.0;146.0;156.0;;154.0;150.0;142.0;;132.0;;
1428;Q1;;191.0;194.6;168.0;184.4;;166.6;175.6;155.4;;166.0;;
1428;Q2;;211.8;235.4;221.8;231.8;;208.8;193.6;198.0;;216.6;;
1428;Q3;;244.6;264.0;279.8;259.8;;250.6;236.6;203.0;;254.2;;
1428;Q4;;310.8;328.4;335.4;299.6;;271.4;252.8;237.2;;297.0;;
1428;Max;;358.0;377.0;364.0;328.0;;291.0;272.0;263.0;;313.0;;
1428;Mn;;218.0;252.5;240.0;245.0;;240.0;220.0;203.0;;222.0;;
1428;Md;;242.5;257.0;250.2;244.7;;222.6;214.1;199.5;;227.7;;
1428;S;;61.09;69.19;75.65;53.48;;48.46;40.64;37.34;;59.65;;
1428;Cv;;0.25;0.27;0.30;0.22;;0.22;0.19;0.19;;0.26;;
8175;N;2;4;3;3;4;4;3;4;3;2;4;5;1
8175;Min;;;;;;;;;;;;;
8175;Q1;;;;;;;;;;;;;
8175;Q2;;;;;;;;;;;;;
8175;Q3;;;;;;;;;;;;;
8175;Q4;;;;;;;;;;;;;
8175;Max;;;;;;;;;;;;;
8175;Mn;;;;;;;;;;;;;
8175;Md;;;;;;;;;;;;;
8175;S;;;;;;;;;;;;;
8175;Cv;;;;;;;;;;;;;
8178D;N;2;1;2;3;2;2;2;2;0;1;0;0;0
8178D;Min;;;;;;;;;;;;;
8178D;Q1;;;;;;;;;;;;;
8178D;Q2;;;;;;;;;;;;;
8178D;Q3;;;;;;;;;;;;;
8178D;Q4;;;;;;;;;;;;;
8178D;Max;;;;;;;;;;;;;
8178D;Mn;;;;;;;;;;;;;
8178D;Md;;;;;;;;;;;;;
8178D;S;;;;;;;;;;;;;
8178D;Cv;;;;;;;;;;;;;
8025;N;28;28;27;27;25;27;28;25;27;25;27;28;23
8025;Min;99.0;118.0;117.0;107.0;120.0;119.0;93.0;84.0;86.0;108.0;84.0;74.0;138.0
8025;Q1;116.4;123.4;138.4;146.6;141.2;140.8;130.0;130.6;120.8;116.2;117.0;106.6;140.8
8025;Q2;131.6;139.2;155.2;152.0;146.4;149.0;140.6;138.8;132.0;125.0;124.0;124.0;142.0
8025;Q3;141.8;156.0;158.6;156.8;155.8;152.8;145.4;146.0;139.0;131.8;129.8;132.0;145.0
8025;Q4;152.0;165.4;167.4;166.0;164.0;163.4;156.4;151.6;148.0;137.0;142.4;140.8;147.0
8025;Max;183.0;183.0;191.0;188.0;173.0;183.0;164.0;164.0;159.0;154.0;167.0;188.0;154.0
8025;Mn;136.0;146.0;156.0;154.0;150.0;151.0;141.5;142.0;137.0;129.0;128.0;128.0;143.0
8025;Md;136.4;146.8;153.5;155.0;151.8;151.1;140.9;139.5;132.6;128.4;129.3;127.6;144.0
8025;S;19.92;19.60;16.45;15.88;12.75;15.20;16.07;15.88;17.15;12.49;18.14;23.60;3.91
8025;Cv;0.15;0.13;0.11;0.10;0.08;0.10;0.11;0.11;0.13;0.10;0.14;0.18;0.03
8019;N;5;6;6;6;4;6;5;6;5;5;8;8;0
8019;Min;;;;;;;;;;;;;
8019;Q1;;;;;;;;;;;;;
8019;Q2;;;;;;;;;;;;;
8019;Q3;;;;;;;;;;;;;
8019;Q4;;;;;;;;;;;;;
8019;Max;;;;;;;;;;;;;
8019;Mn;;;;;;;;;;;;;
8019;Md;;;;;;;;;;;;;
8019;S;;;;;;;;;;;;;
8019;Cv;;;;;;;;;;;;;
6325O;N;6;7;9;5;4;6;9;10;4;7;7;5;0
6325O;Min;;;;;;;;;;;;;
6325O;Q1;;;;;;;;;;;;;
6325O;Q2;;;;;;;;;;;;;
6325O;Q3;;;;;;;;;;;;;
6325O;Q4;;;;;;;;;;;;;
6325O;Max;;;;;;;;;;;;;
6325O;Mn;;;;;;;;;;;;;
6325O;Md;;;;;;;;;;;;;
6325O;S;;;;;;;;;;;;;
6325O;Cv;;;;;;;;;;;;;
9091O;N;24;26;27;26;25;27;24;24;25;25;24;23;4
